iter	Cox
0	-4363.458182
1	-4348.087808
2	-4332.761226
3	-4317.133475
4	-4301.112061
5	-4285.574821
6	-4271.900115
7	-4257.785562
8	-4244.480245
9	-4230.407392
10	-4216.080038
11	-4201.481753
12	-4188.453344
13	-4175.718754
14	-4162.593668
15	-4149.908349
16	-4137.512496
17	-4124.577516
18	-4112.67389
19	-4100.525652
20	-4088.210906
21	-4075.84234
22	-4064.38053
23	-4053.821298
24	-4043.037656
25	-4031.820417
26	-4020.383632
27	-4009.529833
28	-3998.706073
29	-3988.569417
30	-3978.098024
31	-3967.827375
32	-3958.175236
33	-3948.833409
34	-3939.391021
35	-3930.083913
36	-3920.753577
37	-3911.790318
38	-3903.136583
39	-3893.984742
40	-3885.200809
41	-3876.81424
42	-3868.362962
43	-3860.152694
44	-3852.221336
45	-3844.809636
46	-3837.110918
47	-3829.540802
48	-3821.889934
49	-3814.384424
50	-3805.506035
51	-3796.909146
52	-3788.500039
53	-3780.67144
54	-3773.92923
55	-3767.096394
56	-3759.178723
57	-3752.649666
58	-3746.217938
59	-3740.125371
60	-3732.372465
61	-3724.965509
62	-3718.859824
63	-3711.857609
64	-3705.829713
65	-3699.967475
66	-3694.191195
67	-3688.635204
68	-3681.552145
69	-3675.935605
70	-3670.607783
71	-3663.81829
72	-3658.829589
73	-3653.616151
74	-3647.592311
75	-3641.566397
76	-3635.186059
77	-3630.281552
78	-3624.045864
79	-3618.126486
80	-3612.122459
81	-3607.45716
82	-3601.826502
83	-3596.10439
84	-3591.753073
85	-3586.341234
86	-3581.043792
87	-3575.266339
88	-3569.861128
89	-3564.25208
90	-3558.510354
91	-3553.273675
92	-3547.954468
93	-3543.227296
94	-3537.633383
95	-3532.750294
96	-3527.674974
97	-3524.148747
98	-3519.08754
99	-3513.812562
100	-3509.072953
101	-3504.193327
102	-3499.711951
103	-3495.007307
104	-3490.247964
105	-3485.740184
106	-3481.127178
107	-3476.919595
108	-3472.90016
109	-3468.451285
110	-3464.509461
111	-3460.310435
112	-3456.387509
113	-3452.162896
114	-3447.847956
115	-3443.433291
116	-3439.543291
117	-3435.438588
118	-3431.634204
119	-3427.544099
120	-3423.572384
121	-3419.657722
122	-3415.982964
123	-3412.324348
124	-3408.767278
125	-3404.721096
126	-3400.893137
127	-3397.349551
128	-3393.930192
129	-3390.424267
130	-3386.816386
131	-3383.841886
132	-3380.371088
133	-3376.609524
134	-3373.214138
135	-3369.855732
136	-3366.50218
137	-3363.481562
138	-3360.461111
139	-3357.197903
140	-3353.705705
141	-3350.385183
142	-3346.862116
143	-3344.658169
144	-3341.4034
145	-3338.377426
146	-3335.062707
147	-3331.859128
148	-3329.213862
149	-3326.47833
150	-3323.604399
151	-3320.298019
152	-3317.144084
153	-3314.331957
154	-3311.106693
155	-3308.544929
156	-3305.782133
157	-3303.02748
158	-3299.920553
159	-3297.348554
160	-3294.485213
161	-3291.755788
162	-3289.359257
163	-3286.797184
164	-3283.632388
165	-3281.126223
166	-3278.544767
167	-3276.2049
168	-3273.916405
169	-3271.243107
170	-3268.832808
171	-3266.451552
172	-3264.088038
173	-3261.74765
174	-3259.465086
175	-3257.22361
176	-3254.43807
177	-3251.818592
178	-3249.597215
179	-3247.371076
180	-3245.266491
181	-3242.356306
182	-3239.586745
183	-3237.167984
184	-3234.775032
185	-3232.192968
186	-3229.694666
187	-3226.874645
188	-3224.490928
189	-3222.050415
190	-3219.365691
191	-3216.915333
192	-3214.308988
193	-3212.000163
194	-3209.750414
195	-3207.848716
196	-3205.709126
197	-3203.622112
198	-3201.65786
199	-3199.174761
200	-3197.407789
201	-3195.120859
202	-3192.843016
203	-3190.39037
204	-3188.00749
205	-3186.176757
206	-3184.180082
207	-3182.272134
208	-3180.027203
209	-3178.204384
210	-3176.44474
211	-3174.251611
212	-3172.163375
213	-3170.150562
214	-3168.389038
215	-3166.483491
216	-3164.801609
217	-3162.469403
218	-3160.28753
219	-3158.196309
220	-3156.359383
221	-3154.621905
222	-3152.711383
223	-3150.909895
224	-3149.356872
225	-3147.847982
226	-3145.624017
227	-3143.941968
228	-3142.255566
229	-3140.124942
230	-3137.990827
231	-3135.847602
232	-3134.004177
233	-3131.892549
234	-3129.920458
235	-3127.751204
236	-3125.529873
237	-3124.002832
238	-3122.338534
239	-3120.381267
240	-3118.613027
241	-3116.979897
242	-3114.964842
243	-3112.9539
244	-3110.982588
245	-3109.143825
246	-3107.194305
247	-3105.292232
248	-3103.39579
249	-3101.484977
250	-3099.401227
251	-3097.869069
252	-3096.551909
253	-3094.761456
254	-3092.516329
255	-3090.544393
256	-3089.14875
257	-3087.331058
258	-3085.42617
259	-3083.694717
260	-3081.930639
261	-3080.242322
262	-3078.48274
263	-3077.186685
264	-3075.286273
265	-3073.525353
266	-3071.955852
267	-3070.184945
268	-3068.301033
269	-3066.488389
270	-3064.608367
271	-3062.983305
272	-3061.384307
273	-3059.749629
274	-3058.178867
275	-3056.192521
276	-3054.430746
277	-3052.687878
278	-3050.886858
279	-3049.326521
280	-3047.810683
281	-3046.124142
282	-3044.390829
283	-3042.518103
284	-3040.89179
285	-3038.898834
286	-3036.882007
287	-3035.435297
288	-3033.653233
289	-3031.966598
290	-3030.044521
291	-3028.535799
292	-3026.97432
293	-3025.196675
294	-3023.305914
295	-3021.705763
296	-3020.05496
297	-3018.23871
298	-3016.573579
299	-3014.954618
300	-3013.441531
301	-3011.889729
302	-3010.105715
303	-3008.783644
304	-3007.51043
305	-3005.895575
306	-3004.108954
307	-3002.516691
308	-3000.914245
309	-2999.294695
310	-2997.55595
311	-2996.056186
312	-2994.330962
313	-2992.827072
314	-2991.30204
315	-2989.846033
316	-2988.177536
317	-2986.838749
318	-2985.149747
319	-2983.662607
320	-2982.010967
321	-2980.516311
322	-2979.007301
323	-2977.345438
324	-2975.736077
325	-2974.151092
326	-2972.496068
327	-2971.195557
328	-2969.803547
329	-2968.255656
330	-2966.972967
331	-2965.523671
332	-2964.218308
333	-2962.596439
334	-2961.156134
335	-2959.636576
336	-2958.110445
337	-2956.679252
338	-2955.163964
339	-2953.677339
340	-2952.139195
341	-2950.645501
342	-2949.175351
343	-2947.708824
344	-2946.265018
345	-2944.841349
346	-2943.487286
347	-2942.154709
348	-2940.788147
349	-2939.413832
350	-2938.015844
351	-2936.709338
352	-2935.45795
