iter	Passed	Remaining
0	217	21518
1	283	13912
2	347	11224
3	421	10111
4	495	9416
5	567	8886
6	643	8542
7	718	8259
8	798	8075
9	874	7872
10	954	7723
11	1023	7504
12	1097	7345
13	1166	7166
14	1236	7006
15	1308	6868
16	1386	6769
17	1467	6685
18	1545	6590
19	1618	6475
20	1687	6347
21	1761	6245
22	1836	6147
23	1907	6040
24	1973	5921
25	2040	5807
26	2114	5715
27	2208	5678
28	2284	5592
29	2354	5492
30	2429	5408
31	2500	5314
32	2581	5241
33	2655	5154
34	2732	5075
35	2805	4987
36	2874	4893
37	2938	4794
38	3008	4705
39	3077	4616
40	3155	4540
41	3226	4456
42	3298	4372
43	3370	4289
44	3441	4206
45	3511	4121
46	3582	4040
47	3657	3962
48	3728	3881
49	3800	3800
50	3871	3719
51	3943	3640
52	4018	3563
53	4099	3491
54	4175	3416
55	4249	3338
56	4325	3263
57	4426	3205
58	4498	3126
59	4573	3049
60	4647	2971
61	4720	2893
62	4791	2813
63	4862	2735
64	4932	2656
65	5013	2582
66	5088	2506
67	5163	2429
68	5235	2352
69	5312	2276
70	5389	2201
71	5468	2126
72	5546	2051
73	5625	1976
74	5695	1898
75	5767	1821
76	5843	1745
77	5912	1667
78	5986	1591
79	6059	1514
80	6136	1439
81	6213	1363
82	6286	1287
83	6364	1212
84	6437	1136
85	6508	1059
86	6605	986
87	6691	912
88	6769	836
89	6853	761
90	6941	686
91	7018	610
92	7091	533
93	7160	457
94	7232	380
95	7308	304
96	7381	228
97	7454	152
98	7527	76
99	7597	0
