feature,importance,cohort,model,combined_importance,combined_importance_norm
ltxtrach,0.092150269494147,CHD,XGBoost,0.092150269494147,1.0
txbun_r,0.0429481554426782,CHD,XGBoost,0.0429481554426782,0.46606652024393797
neuroth,0.0294040026509266,CHD,XGBoost,0.0294040026509266,0.31908753834728854
lstp_r,0.0267332960192889,CHD,XGBoost,0.0267332960192889,0.2901054567288801
txnomcsd,0.0241744227239417,CHD,XGBoost,0.0241744227239417,0.2623369726062186
txbcdc,0.0238550638141203,CHD,XGBoost,0.0238550638141203,0.25887134074670803
bmi_txpl,0.0230598394686929,CHD,XGBoost,0.0230598394686929,0.25024169321781053
lpace,0.0224175296698949,CHD,XGBoost,0.0224175296698949,0.24327144991495406
lsalt,0.0207205099509803,CHD,XGBoost,0.0207205099509803,0.22485566308947563
anxinj,0.0202492145403721,CHD,XGBoost,0.0202492145403721,0.21974124060112754
lbnp,0.0197884833580505,CHD,XGBoost,0.0197884833580505,0.21474145943010384
egfr_tx,0.0185603071484248,CHD,XGBoost,0.0185603071484248,0.20141348745164195
txast,0.0176970034016335,CHD,XGBoost,0.0176970034016335,0.19204505313744677
drisk,0.0175849987317895,CHD,XGBoost,0.0175849987317895,0.19082959635735441
durcarst,0.0170106697299527,CHD,XGBoost,0.0170106697299527,0.1845970698005734
hxhep,0.0167637656155636,CHD,XGBoost,0.0167637656155636,0.1819177058036533
lldl_r,0.0166655774531187,CHD,XGBoost,0.0166655774531187,0.1808521835541374
txbnp,0.0161325457924466,CHD,XGBoost,0.0161325457924466,0.17506780914483677
lssab_r,0.0156833835950735,CHD,XGBoost,0.0156833835950735,0.17019357274988375
lcreat_r,0.015645220533815,CHD,XGBoost,0.015645220533815,0.16977943330712364
lsast,0.0152768091427207,CHD,XGBoost,0.0152768091427207,0.16578149175886045
chd_papvr,0.0150019863297704,CHD,XGBoost,0.0150019863297704,0.16279915850624033
txbun_r_high,0.0145267988193296,CHD,XGBoost,0.0145267988193296,0.15764249957242157
txecmo,0.0142497246686213,CHD,XGBoost,0.0142497246686213,0.15463573516218945
lsbco,0.013431403628357,CHD,XGBoost,0.013431403628357,0.14575544599150747
lbun_r,0.013264430704481,CHD,XGBoost,0.013264430704481,0.143943482501953
lchol_r,0.0129238031499282,CHD,XGBoost,0.0129238031499282,0.14024704670830146
txsa_r,0.0121393007057587,CHD,XGBoost,0.0121393007057587,0.13173375153861855
txicu,0.0120398678582249,CHD,XGBoost,0.0120398678582249,0.13065472216540422
lsbpam,0.0117603629725163,CHD,XGBoost,0.0117603629725163,0.12762157980735228
lsbrs,0.011640371147734,CHD,XGBoost,0.011640371147734,0.12631944769812473
ecmo_combined,0.0115467550381578,CHD,XGBoost,0.0115467550381578,0.12530354063577864
lsbrp,0.0115011668427058,CHD,XGBoost,0.0115011668427058,0.12480882482320148
esteject,0.0110210081020602,CHD,XGBoost,0.0110210081020602,0.1195982188935455
egfr_listing,0.0105364095230307,CHD,XGBoost,0.0105364095230307,0.1143394325471824
lscntry,0.0105057344204861,CHD,XGBoost,0.0105057344204861,0.11400655123589606
txalt,0.0104448544928051,CHD,XGBoost,0.0104448544928051,0.11334589198861231
