feature,importance,cohort,model,combined_importance,combined_importance_norm
ltxtrach,0.0767887632196945,Combined,XGBoost,0.0767887632196945,1.0
txnomcsd,0.0665932764673354,Combined,XGBoost,0.0665932764673354,0.8672268399063863
chd_papvr,0.0327186957375635,Combined,XGBoost,0.0327186957375635,0.4260870258315599
txsa_r,0.0274087276906287,Combined,XGBoost,0.0274087276906287,0.35693669934768546
egfr_tx,0.0230714378095131,Combined,XGBoost,0.0230714378095131,0.300453306475391
chd_anom,0.0222506781942775,Combined,XGBoost,0.0222506781942775,0.28976476845469923
txbun_r,0.0203085210508108,Combined,XGBoost,0.0203085210508108,0.2644725634232138
donisch,0.0191207137589971,Combined,XGBoost,0.0191207137589971,0.24900405941286327
txecmo,0.0181075881956454,Combined,XGBoost,0.0181075881956454,0.2358103899113358
txast,0.0177331283945227,Combined,XGBoost,0.0177331283945227,0.23093389776037665
lsalt,0.0166057352255641,Combined,XGBoost,0.0166057352255641,0.21625215108693302
lbun_r,0.0163338608712296,Combined,XGBoost,0.0163338608712296,0.21271160240591494
lbnp,0.0147140927962542,Combined,XGBoost,0.0147140927962542,0.19161778597939944
height_listing,0.0143215038052608,Combined,XGBoost,0.0143215038052608,0.18650520212555885
neuroth,0.0141437272948542,Combined,XGBoost,0.0141437272948542,0.18419006508007763
prim_dx,0.0141294271995961,Combined,XGBoost,0.0141294271995961,0.18400383867586811
sec_dx,0.0139947747007938,Combined,XGBoost,0.0139947747007938,0.18225029436604434
durcarst,0.0139029160580858,Combined,XGBoost,0.0139029160580858,0.18105404326293448
lpace,0.0136831514530365,Combined,XGBoost,0.0136831514530365,0.17819210623159373
bmi_txpl,0.0133297613356835,Combined,XGBoost,0.0133297613356835,0.1735899990672689
txdcd,0.0122669000462001,Combined,XGBoost,0.0122669000462001,0.15974863419930602
lstp_r,0.0120015966324507,Combined,XGBoost,0.0120015966324507,0.15629365716066873
chd_unk,0.0118103313028045,Combined,XGBoost,0.0118103313028045,0.15380285874659627
hxhep,0.0112267038821565,Combined,XGBoost,0.0112267038821565,0.14620243133798927
lsast,0.0110724787042769,Combined,XGBoost,0.0110724787042769,0.1441939971425021
chd_iivc,0.0110120453018828,Combined,XGBoost,0.0110120453018828,0.1434069887331962
lsbaosat,0.010660666545893,Combined,XGBoost,0.010660666545893,0.13883107500237474
txbci,0.0104986756575884,Combined,XGBoost,0.0104986756575884,0.13672150998905186
txalt,0.010477605295271,Combined,XGBoost,0.010477605295271,0.13644711616586816
lssab_r,0.0103069105561389,Combined,XGBoost,0.0103069105561389,0.1342242031773657
txtp_r,0.0101796504614733,Combined,XGBoost,0.0101796504614733,0.13256692821512278
age_listing,0.0095583477465397,Combined,XGBoost,0.0095583477465397,0.1244758652928559
height_donor,0.0092215561475322,Combined,XGBoost,0.0092215561475322,0.12008991629607456
drisk,0.0090324803038949,Combined,XGBoost,0.0090324803038949,0.11762763098622589
lldl_r,0.0089801464568043,Combined,XGBoost,0.0089801464568043,0.11694610096938124
age_txpl,0.0089283874446686,Combined,XGBoost,0.0089283874446686,0.11627205687796102
lsbili_t_r,0.0089231433900255,Combined,XGBoost,0.0089231433900255,0.1162037649245134
tdsacl1,0.0087459709548101,Combined,XGBoost,0.0087459709548101,0.11389649459241409
ter_dx,0.008562955479719,Combined,XGBoost,0.008562955479719,0.11151313187868618
egfr_change,0.0084806573996955,Combined,XGBoost,0.0084806573996955,0.11044138548542753
lsbpam,0.0083969872670699,Combined,XGBoost,0.0083969872670699,0.10935177120962242
egfr_listing,0.0083968654677526,Combined,XGBoost,0.0083968654677526,0.109350185048937
txbili_t_r,0.0083486353523621,Combined,XGBoost,0.0083486353523621,0.10872209685779746
egfr_tx_cat,0.0082662187908316,Combined,XGBoost,0.0082662187908316,0.10764880751083007
esteject,0.0082157648531679,Combined,XGBoost,0.0082157648531679,0.10699175906326813
lcreat_r,0.0080456825616993,Combined,XGBoost,0.0080456825616993,0.10477682182066678
lsbpcw,0.0080320386895579,Combined,XGBoost,0.0080320386895579,0.1045991412386477
lchol_r,0.0079765703015208,Combined,XGBoost,0.0079765703015208,0.10387679091405133
injdrugs,0.0079434539143099,Combined,XGBoost,0.0079434539143099,0.10344552485607156
lsbco,0.007881791545437,Combined,XGBoost,0.007881791545437,0.10264251193741727
lsbrs,0.0077508194039199,Combined,XGBoost,0.0077508194039199,0.10093689595891289
height_txpl,0.007654120138243,Combined,XGBoost,0.007654120138243,0.09967760668763968
txbnp,0.0075507153852998,Combined,XGBoost,0.0075507153852998,0.09833099360771083
txcreat_r,0.0073700121598459,Combined,XGBoost,0.0073700121598459,0.09597774271686234
lsbci,0.0073398212546151,Combined,XGBoost,0.0073398212546151,0.09558457444633787
fracshor,0.0072140366334709,Combined,XGBoost,0.0072140366334709,0.09394651419025161
lsbrp,0.0071795941097134,Combined,XGBoost,0.0071795941097134,0.09349797820251915
hxple,0.0070000396641786,Combined,XGBoost,0.0070000396641786,0.09115968757240325
lpacebiv,0.0069843306275822,Combined,XGBoost,0.0069843306275822,0.09095511289327401
dmhothr,0.0069323977198064,Combined,XGBoost,0.0069323977198064,0.09027880420436833
chd_lvotoas,0.0067206106110397,Combined,XGBoost,0.0067206106110397,0.08752075602275129
cprmin,0.0064462965360091,Combined,XGBoost,0.0064462965360091,0.08394843549655945
lsfprab,0.0063321053449349,Combined,XGBoost,0.0063321053449349,0.08246135345113705
hxdmd,0.006329346369871,Combined,XGBoost,0.006329346369871,0.08242542403974638
chd_patrd,0.0061277397369292,Combined,XGBoost,0.0061277397369292,0.07979995353483672
weight_listing,0.0059633370875547,Combined,XGBoost,0.0059633370875547,0.07765898078724681
chd_ctga,0.0059020038263689,Combined,XGBoost,0.0059020038263689,0.07686025375201219
txpge,0.0058654898838073,Combined,XGBoost,0.0058654898838073,0.07638474221841537
chd_ahih,0.0058288473956411,Combined,XGBoost,0.0058288473956411,0.07590755666899632
ecmo_combined,0.0057899632459324,Combined,XGBoost,0.0057899632459324,0.07540117854701184
chd_tapvr,0.0057570958277042,Combined,XGBoost,0.0057570958277042,0.07497315474704301
txbrs,0.0055662160269687,Combined,XGBoost,0.0055662160269687,0.0724873769752434
lcrp_r,0.0055609353501416,Combined,XGBoost,0.0055609353501416,0.07241860810066221
lscntry,0.0055144334374757,Combined,XGBoost,0.0055144334374757,0.07181302584205938
txmilrin,0.0054550375472071,Combined,XGBoost,0.0054550375472071,0.07103952868208213
txbaosat,0.0054037949083159,Combined,XGBoost,0.0054037949083159,0.07037220918450676
ltg_r,0.0053277546190096,Combined,XGBoost,0.0053277546190096,0.06938195636471922
don_levo,0.0052787457692132,Combined,XGBoost,0.0052787457692132,0.0687437269188798
slicu,0.0051746120019075,Combined,XGBoost,0.0051746120019075,0.06738762007538539
lsldpt,0.0050287402653468,Combined,XGBoost,0.0050287402653468,0.06548797056360256
chd_pspl,0.0050260895237716,Combined,XGBoost,0.0050260895237716,0.06545345064865594
chd_sv,0.004925811803802,Combined,XGBoost,0.004925811803802,0.0641475601021094
lebvpcr,0.0049148184327151,Combined,XGBoost,0.0049148184327151,0.06400439630279872
don_mil,0.004878951743541,Combined,XGBoost,0.004878951743541,0.06353731378095258
aaschool,0.0048292172825755,Combined,XGBoost,0.0048292172825755,0.06288963489044605
chd_ar,0.004790915171636,Combined,XGBoost,0.004790915171636,0.06239083650727746
chd_tr,0.0046828703163118,Combined,XGBoost,0.0046828703163118,0.06098379658640934
hxpb,0.0046193602261215,Combined,XGBoost,0.0046193602261215,0.06015672127581219
rdopdose,0.004525924309702,Combined,XGBoost,0.004525924309702,0.05893992974926841
hxfonlvr,0.0044694140670741,Combined,XGBoost,0.0044694140670741,0.0582040116245524
don_epi,0.004453043324879,Combined,XGBoost,0.004453043324879,0.05799081972630209
don_oth,0.0043577436806609,Combined,XGBoost,0.0043577436806609,0.05674975735959297
txsa_r_low,0.004323618710273,Combined,XGBoost,0.004323618710273,0.05630535678642229
atrskshs,0.0043026246104841,Combined,XGBoost,0.0043026246104841,0.056031956110221326
lsfprat,0.0041948507793809,Combined,XGBoost,0.0041948507793809,0.054628445666969935
incarctn,0.0041642608491369,Combined,XGBoost,0.0041642608491369,0.05423008099795604
txbili_d_r,0.0040992256753724,Combined,XGBoost,0.0040992256753724,0.05338314492244675
txtg_r,0.0040989540493918,Combined,XGBoost,0.0040989540493918,0.05337960760827198
txvent,0.0040818984391535,Combined,XGBoost,0.0040818984391535,0.05315749685243777
txpbnp_r,0.0039697118425031,Combined,XGBoost,0.0039697118425031,0.051696520116434996
chd_avsep,0.0038717587493466,Combined,XGBoost,0.0038717587493466,0.05042090257749568
hxsurg,0.0038242688987287,Combined,XGBoost,0.0038242688987287,0.049802454661072935
lhdl_r,0.0038077670053412,Combined,XGBoost,0.0038077670053412,0.049587554815111255
lspbnp_r,0.0037961832663654,Combined,XGBoost,0.0037961832663654,0.049436702809035074
mthrhiv,0.0037498557411401,Combined,XGBoost,0.0037498557411401,0.04883339155250714
chd_bivc,0.0037186316273939,Combined,XGBoost,0.0037186316273939,0.0484267680774439
