feature,importance,cohort,model,combined_importance,causal_responsibility,shap_importance,rule_frequency,total_rules
ltxtrach,0.0767887632196945,Combined,XGBoost,0.0767887632196945,1.0,1.0,0,0
txnomcsd,0.0665932764673354,Combined,XGBoost,0.0665932764673354,0.8672268399063863,0.8672268399063863,0,0
chd_papvr,0.0327186957375635,Combined,XGBoost,0.0327186957375635,0.4260870258315599,0.4260870258315599,0,0
txsa_r,0.0274087276906287,Combined,XGBoost,0.0274087276906287,0.35693669934768546,0.35693669934768546,0,0
egfr_tx,0.0230714378095131,Combined,XGBoost,0.0230714378095131,0.300453306475391,0.300453306475391,0,0
chd_anom,0.0222506781942775,Combined,XGBoost,0.0222506781942775,0.28976476845469923,0.28976476845469923,0,0
txbun_r,0.0203085210508108,Combined,XGBoost,0.0203085210508108,0.2644725634232138,0.2644725634232138,0,0
donisch,0.0191207137589971,Combined,XGBoost,0.0191207137589971,0.24900405941286327,0.24900405941286327,0,0
txecmo,0.0181075881956454,Combined,XGBoost,0.0181075881956454,0.2358103899113358,0.2358103899113358,0,0
txast,0.0177331283945227,Combined,XGBoost,0.0177331283945227,0.23093389776037665,0.23093389776037665,0,0
