feature,importance,cohort,model,combined_importance,importance_xgb,combined_importance_norm
prim_dx,8.403450655731467,Myocardio,CatBoost,5.046684395769451,0.0115350058264284,1.0
txicu,5.468736633272253,Myocardio,CatBoost,3.282432942786256,0.0029774070572612,0.6504137539367161
lldl_r,4.565680197133925,Myocardio,CatBoost,2.7436008308414404,0.0104817814027138,0.5436442257299374
egfr_tx_cat,3.6642038433464057,Myocardio,CatBoost,2.1993967541150785,0.0021861202680888,0.43581024324778367
rdobdose,3.619994228308842,Myocardio,CatBoost,2.1728161664701715,0.0020490737121654,0.4305433025080003
donor_age,3.469872087162648,Myocardio,CatBoost,2.084033262958038,0.0052750266511221,0.41295097920231494
txvad,3.4464974943812354,Myocardio,CatBoost,2.069837031083748,0.0048463361375174,0.41013799729954525
egfr_tx,3.288398762890424,Myocardio,CatBoost,1.9777596258247845,0.0118009202263251,0.39189286880762875
txnomcsd,2.878997495277741,Myocardio,CatBoost,1.7647692524309484,0.0934268881607598,0.34968884797121935
don_epi,2.819048696412041,Myocardio,CatBoost,1.6930138369114,0.0039615476604389,0.33547051968033204
lcreat_r,2.8010309486797382,Myocardio,CatBoost,1.6853669295658114,0.0118709008949216,0.3339552857671515
drpr,2.793713634459347,Myocardio,CatBoost,1.6769959761005826,0.0019194885624359,0.3322965821889674
lvldl_r,2.731703316484108,Myocardio,CatBoost,1.6397030414893885,0.0017026289973097,0.32490699098678005
weight_txpl,2.5776334983655302,Myocardio,CatBoost,1.548194685694035,0.004036466686792,0.30677461958823105
txchol_r,2.524642654653741,Myocardio,CatBoost,1.5166139538793615,0.0045709027177918,0.30051690078949916
lbun_r,2.486332536945675,Myocardio,CatBoost,1.497022536409702,0.0130575356057426,0.2966348634094556
txtdsxm,2.479261116643688,Myocardio,CatBoost,1.4881395990834054,0.0014573227429813,0.29487471028124673
txvasopr,2.4462437057723427,Myocardio,CatBoost,1.4677462234634056,0.0,0.29083376497523644
hxmarfns,2.4005562395968782,Myocardio,CatBoost,1.440450805404557,0.00029265411607515046,0.28542518066159683
txtcdc,2.396511117655312,Myocardio,CatBoost,1.439211810863333,0.0032628506753647,0.28517967401920347
txbdsxn,2.377240101419902,Myocardio,CatBoost,1.4268710596439462,0.0013174969800129,0.2827343554195836
height_txpl,2.3681504370067814,Myocardio,CatBoost,1.4230830148765812,0.0054818816812806,0.2819837547340046
weight_listing,2.341560930489471,Myocardio,CatBoost,1.4121969902686322,0.0181510799373741,0.27982669006456057
txbun_r,2.229690504347889,Myocardio,CatBoost,1.3433987647188887,0.0139611552753888,0.26619432866557635
lschool,2.187853713813148,Myocardio,CatBoost,1.3133998715129116,0.0017191080625568,0.2602500510263555
lsrhfcl,2.160240045714934,Myocardio,CatBoost,1.2979275792547065,0.0044588795643651,0.2571842178882311
ltg_r,2.147164360110397,Myocardio,CatBoost,1.2926334347218338,0.0108370466389892,0.2561351836872197
hcab,2.092703304014229,Myocardio,CatBoost,1.2557984180857378,0.000441089193000834,0.24883632888524831
roprdsc1,2.0656578280587885,Myocardio,CatBoost,1.2402625424069635,0.0021696139292262,0.24575789669880177
txsa_r,2.0054292483252687,Myocardio,CatBoost,1.211977495802187,0.0217998670175644,0.24015321758938737
