feature,causal_responsibility,shap_importance,rule_frequency,total_rules
donor_age,0.021204150407330206,0.4000278795332463,119,2245
lldl_r,0.021099858557537637,0.7765439747815082,61,2245
txicu,0.009512167201290314,0.7118271788965586,30,2245
egfr_tx,0.007393532614567777,0.158080768759092,105,2245
sec_dx,0.006172110082216842,0.374496949583157,37,2245
weight_txpl,0.005505770301329519,0.2168500759032416,57,2245
lbun_r,0.005411612815791898,0.1735581538778973,70,2245
ltg_r,0.004068300135767523,0.14051282776612445,65,2245
txtp_r,0.003334050945564656,0.08805816909167827,85,2245
lsbram,0.0033307428505773397,0.10104753648035307,74,2245
durcarst,0.0030641896906783346,0.12979445010514834,53,2245
txbun_r,0.0029095648268986493,0.11459601818223628,57,2245
lchol_r,0.0022037881841967593,0.08995462679130409,55,2245
txtg_r,0.002131283491957365,0.090277951687628,53,2245
weight_listing,0.001965372757441046,0.06685245212810831,66,2245
egfr_change,0.0016434012817978468,0.10248432993433795,36,2245
lbnp,0.0013673386796072338,0.06018971246506352,51,2245
txcreat_r,0.0013483149220617685,0.06726593333397045,45,2245
txbram,0.0012766258342658751,0.10235803564024606,28,2245
txtdsxm,0.0012564236154276472,0.0705167754158767,40,2245
lcreat_r,0.0009176188905002014,0.06645336803783716,31,2245
lssab_r,0.0009092044041267142,0.0637863714770148,32,2245
age_txpl,0.0008437496341754611,0.11838862054524439,16,2245
txtcdc,0.0006976806340322048,0.039157325585057495,40,2245
txbili_t_r,0.0006874375047308554,0.05511775707574179,28,2245
txbnp,0.0006311284955928719,0.05667533890423989,25,2245
lvldl_r,0.0006052008883870284,0.06175799974676722,22,2245
lsbili_t_r,0.0005806182121489675,0.05213951545097728,25,2245
lsbrp,0.0005768740389465868,0.0417768457237125,31,2245
lsbpcw,0.000514669369875812,0.05023620588570426,23,2245
lstp_r,0.0005097977832324083,0.032699886381621614,35,2245
height_listing,0.0005039580659448665,0.09428215483718544,12,2245
lsbrs,0.000499484064779987,0.037378057514369026,30,2245
lsalt,0.0004855159874005632,0.04036975524867646,27,2245
txalt,0.00043801309861605,0.05784349449370778,17,2245
lsbpam,0.000426917840513014,0.05637826776186567,17,2245
lsbili_d_r,0.0003913025481877905,0.05856494804543931,15,2245
egfr_tx_cat,0.0003412929229065106,0.1277004353208527,6,2245
txnomcsd,0.00033189023737081175,0.0620911319081227,12,2245
