feature,importance,cohort,model,combined_importance,importance_xgb,causal_responsibility,shap_importance,rule_frequency,total_rules
prim_dx,8.403450655731467,Myocardio,CatBoost,5.046684395769451,0.0115350058264284,1.0,1.0,0,0
txicu,5.468736633272253,Myocardio,CatBoost,3.282432942786256,0.0029774070572612,0.6504137539367161,0.6504137539367161,0,0
lldl_r,4.565680197133925,Myocardio,CatBoost,2.7436008308414404,0.0104817814027138,0.5436442257299374,0.5436442257299374,0,0
egfr_tx_cat,3.6642038433464057,Myocardio,CatBoost,2.1993967541150785,0.0021861202680888,0.43581024324778367,0.43581024324778367,0,0
rdobdose,3.619994228308842,Myocardio,CatBoost,2.1728161664701715,0.0020490737121654,0.4305433025080003,0.4305433025080003,0,0
donor_age,3.469872087162648,Myocardio,CatBoost,2.084033262958038,0.0052750266511221,0.41295097920231494,0.41295097920231494,0,0
txvad,3.4464974943812354,Myocardio,CatBoost,2.069837031083748,0.0048463361375174,0.41013799729954525,0.41013799729954525,0,0
egfr_tx,3.288398762890424,Myocardio,CatBoost,1.9777596258247845,0.0118009202263251,0.39189286880762875,0.39189286880762875,0,0
txnomcsd,2.878997495277741,Myocardio,CatBoost,1.7647692524309484,0.0934268881607598,0.34968884797121935,0.34968884797121935,0,0
don_epi,2.819048696412041,Myocardio,CatBoost,1.6930138369114,0.0039615476604389,0.33547051968033204,0.33547051968033204,0,0
