feature,importance,cohort,model,combined_importance,causal_responsibility,shap_importance,rule_frequency,total_rules
ltxtrach,0.092150269494147,CHD,XGBoost,0.092150269494147,1.0,1.0,0,0
txbun_r,0.0429481554426782,CHD,XGBoost,0.0429481554426782,0.46606652024393797,0.46606652024393797,0,0
neuroth,0.0294040026509266,CHD,XGBoost,0.0294040026509266,0.31908753834728854,0.31908753834728854,0,0
lstp_r,0.0267332960192889,CHD,XGBoost,0.0267332960192889,0.2901054567288801,0.2901054567288801,0,0
txnomcsd,0.0241744227239417,CHD,XGBoost,0.0241744227239417,0.2623369726062186,0.2623369726062186,0,0
txbcdc,0.0238550638141203,CHD,XGBoost,0.0238550638141203,0.25887134074670803,0.25887134074670803,0,0
bmi_txpl,0.0230598394686929,CHD,XGBoost,0.0230598394686929,0.25024169321781053,0.25024169321781053,0,0
lpace,0.0224175296698949,CHD,XGBoost,0.0224175296698949,0.24327144991495406,0.24327144991495406,0,0
lsalt,0.0207205099509803,CHD,XGBoost,0.0207205099509803,0.22485566308947563,0.22485566308947563,0,0
anxinj,0.0202492145403721,CHD,XGBoost,0.0202492145403721,0.21974124060112754,0.21974124060112754,0,0
