feature,causal_responsibility,shap_importance,rule_frequency,total_rules
donor_age,0.021204150407330206,0.4000278795332463,119,2245
lldl_r,0.021099858557537637,0.7765439747815082,61,2245
txicu,0.009512167201290314,0.7118271788965586,30,2245
egfr_tx,0.007393532614567777,0.158080768759092,105,2245
sec_dx,0.006172110082216842,0.374496949583157,37,2245
weight_txpl,0.005505770301329519,0.2168500759032416,57,2245
lbun_r,0.005411612815791898,0.1735581538778973,70,2245
ltg_r,0.004068300135767523,0.14051282776612445,65,2245
txtp_r,0.003334050945564656,0.08805816909167827,85,2245
lsbram,0.0033307428505773397,0.10104753648035307,74,2245
durcarst,0.0030641896906783346,0.12979445010514834,53,2245
txbun_r,0.0029095648268986493,0.11459601818223628,57,2245
lchol_r,0.0022037881841967593,0.08995462679130409,55,2245
txtg_r,0.002131283491957365,0.090277951687628,53,2245
weight_listing,0.001965372757441046,0.06685245212810831,66,2245
egfr_change,0.0016434012817978468,0.10248432993433795,36,2245
lbnp,0.0013673386796072338,0.06018971246506352,51,2245
txcreat_r,0.0013483149220617685,0.06726593333397045,45,2245
txbram,0.0012766258342658751,0.10235803564024606,28,2245
txtdsxm,0.0012564236154276472,0.0705167754158767,40,2245
