Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,N_Splits
CHD,Simple_Calculator,0.4174894472373744,0.026986509075175625,0.37461855209359635,0.460916613190694,25
CHD,CatBoost,0.5770749306300413,0.023948844927333696,0.5340615752547151,0.6211040474663676,25
CHD,XGBoost,0.4723896037586236,0.031974377672270016,0.4293659656135129,0.5377539860414918,25
CHD,AORSF,0.3953142663642693,0.029856460432737944,0.3488112390448491,0.45114731593054813,25
CHD,RSF,0.4051754282418676,0.02489403758084624,0.3602823254828541,0.4550246190193221,25
Combined,Simple_Calculator,0.34870375020770433,0.024592828530834672,0.3112925197212947,0.3933896867533779,25
Combined,CatBoost,0.5667892093844378,0.06396749324304911,0.4296602655094647,0.6474834929515247,24
Combined,XGBoost,0.4343530824888794,0.01986757714811667,0.40376464100098086,0.46894512500475566,25
Combined,AORSF,0.3470137416630616,0.023130202184914503,0.3158671288200142,0.39545635349149644,25
Combined,RSF,0.3733640796815315,0.02129896167089197,0.32567916946571496,0.40484871659398647,25
Myocardio,Simple_Calculator,0.4384366748179649,0.03255474457004104,0.37430936343826715,0.49415743119717664,25
Myocardio,CatBoost,0.5670562282496843,0.041818348179865746,0.48315850173840325,0.6385822428695958,25
Myocardio,XGBoost,0.47772750326553143,0.039644797244930724,0.4024966939670873,0.5351730367037577,25
Myocardio,AORSF,0.39629783347039144,0.03524806927298468,0.34151849512581023,0.4523464708506696,25
Myocardio,RSF,0.38006721581228053,0.03890084059101309,0.3240590405028104,0.45369825189379387,25
