feature,importance,cohort,model
ecmo_combined,0.0031244087282601063,CHD,AORSF
txecmo,0.002866482971161392,CHD,AORSF
txbun_r_high,0.002137606141948314,CHD,AORSF
txbun_r,0.0020602384063933914,CHD,AORSF
txcntry,0.0019079098337254287,CHD,AORSF
lsbaosat,0.0018173183315402333,CHD,AORSF
txbcdc,0.0017668717273876873,CHD,AORSF
lbun_r,0.0017344054449371206,CHD,AORSF
txvent,0.001637192288049091,CHD,AORSF
txast,0.0015874954294520462,CHD,AORSF
lscntry,0.0015793023505105163,CHD,AORSF
efind,0.0014045598589928763,CHD,AORSF
txtcdc,0.0013952200822273662,CHD,AORSF
drhtype,0.0013506795839802277,CHD,AORSF
hbsab,0.0012782689680224425,CHD,AORSF
txfcpra,0.0012692684184917723,CHD,AORSF
hxmed,0.0012456462621600842,CHD,AORSF
txsa_r_low,0.0011797862010144919,CHD,AORSF
txbdsxn,0.0011771108297823907,CHD,AORSF
txsa_r,0.0011729971984824846,CHD,AORSF
txbaosat,0.001148315016088892,CHD,AORSF
weight_listing,0.0011434805793336259,CHD,AORSF
txtdsxm,0.0011212963555340654,CHD,AORSF
txalt,0.001111637719957246,CHD,AORSF
txaboinc,0.001080974785398451,CHD,AORSF
txnomcsd,0.0010550246051880604,CHD,AORSF
lssab_r,0.0010450942915282465,CHD,AORSF
chd_hlh,0.0010184163326313548,CHD,AORSF
lsfprat,0.0010111244086321105,CHD,AORSF
age_txpl_months,0.0010071049585896827,CHD,AORSF
age_listing,9.944259166092153e-4,CHD,AORSF
lsaboinc,9.324151910628291e-4,CHD,AORSF
height_txpl,9.29488622569595e-4,CHD,AORSF
lstp_r,9.136365704068765e-4,CHD,AORSF
dhxnone,8.613955601927658e-4,CHD,AORSF
weight_donor,8.504593164230334e-4,CHD,AORSF
rabotype,8.431350064400167e-4,CHD,AORSF
lscstat,8.350726554855049e-4,CHD,AORSF
lshemo,8.188045395609366e-4,CHD,AORSF
lsfprab,7.878840982872431e-4,CHD,AORSF
txvad,7.809440266813468e-4,CHD,AORSF
txbili_t_r,7.766159235017214e-4,CHD,AORSF
hxneuro,7.447133548792002e-4,CHD,AORSF
height_donor,7.326774736865622e-4,CHD,AORSF
don_dop,7.323267123482574e-4,CHD,AORSF
rdopdose,7.108444389363499e-4,CHD,AORSF
dhbcab,7.07042192465023e-4,CHD,AORSF
dhbsab,7.047433378535718e-4,CHD,AORSF
txtg_r,7.044935894893561e-4,CHD,AORSF
ttrmax,6.940276308804629e-4,CHD,AORSF
pacemake,6.751707149353145e-4,CHD,AORSF
dhbsag,6.60781294649707e-4,CHD,AORSF
slnomcsd,6.59277128685694e-4,CHD,AORSF
weight_txpl,6.573753177796517e-4,CHD,AORSF
hxple,6.467829708141121e-4,CHD,AORSF
egfr_tx_cat,6.436112727143741e-4,CHD,AORSF
lsrhfcl,6.387484102075296e-4,CHD,AORSF
txivino,6.340808454449613e-4,CHD,AORSF
hxsurg,6.296462069386585e-4,CHD,AORSF
txinhosp,6.296039089466087e-4,CHD,AORSF
height_listing,6.236436537939449e-4,CHD,AORSF
hxgiot,6.206662819057258e-4,CHD,AORSF
age_txpl,6.163662631127935e-4,CHD,AORSF
txalt_high,6.115057171720576e-4,CHD,AORSF
cpr,6.06752395726285e-4,CHD,AORSF
donspxm,0.00060176388204791805,CHD,AORSF
txbpam,5.926805877871702e-4,CHD,AORSF
bicaval,5.917856567641684e-4,CHD,AORSF
slinods,5.914359565724735e-4,CHD,AORSF
txhemo,5.852437932520218e-4,CHD,AORSF
lsprocm,5.80763855821044e-4,CHD,AORSF
dcmv,5.781157489576756e-4,CHD,AORSF
ltg_r,5.722905876956194e-4,CHD,AORSF
lcreat_r,5.72201490216102e-4,CHD,AORSF
cmv,5.677258541302859e-4,CHD,AORSF
txsilden,5.576857566403048e-4,CHD,AORSF
bmi_txpl,5.529004247503878e-4,CHD,AORSF
donor_age,5.396596648729612e-4,CHD,AORSF
tdsaunk,5.300130036698438e-4,CHD,AORSF
spschool,5.29067900017984e-4,CHD,AORSF
chd_sv,5.276918051749021e-4,CHD,AORSF
hxrenins,5.270000458262254e-4,CHD,AORSF
donspecp,5.263899558629224e-4,CHD,AORSF
don_epi,5.196784484269069e-4,CHD,AORSF
txsvcsat,5.169392104575494e-4,CHD,AORSF
lsnyha,5.144863036733526e-4,CHD,AORSF
esteject,5.128666149603503e-4,CHD,AORSF
donisch,5.061928340275591e-4,CHD,AORSF
txmcsd,5.0283394495135e-4,CHD,AORSF
lsmilrin,5.013658572816933e-4,CHD,AORSF
ebv,4.956078943662568e-4,CHD,AORSF
egfr_listing,4.955351782042659e-4,CHD,AORSF
txcreat_r,4.922438573237406e-4,CHD,AORSF
chd_patr,4.915169847901049e-4,CHD,AORSF
roprdsc1,4.884883715540117e-4,CHD,AORSF
atrial,4.874105169828784e-4,CHD,AORSF
txbili_t_r_high,4.8645183708254515e-4,CHD,AORSF
lsbili_t_r,4.809313341187449e-4,CHD,AORSF
cprmin,4.807648412161463e-4,CHD,AORSF
draboat,4.795252363301315e-4,CHD,AORSF
txidtsys,4.787466686521707e-4,CHD,AORSF
txmilrin,4.783640507619962e-4,CHD,AORSF
dmechod,4.772707529547736e-4,CHD,AORSF
chd_heter,4.769424573771212e-4,CHD,AORSF
lsdcd,4.7060749166945537e-4,CHD,AORSF
txbili_d_r,4.700770253507423e-4,CHD,AORSF
hxshock,4.6702182029736543e-4,CHD,AORSF
txchol_r,4.653918206963438e-4,CHD,AORSF
chd_dex,4.6520896931892677e-4,CHD,AORSF
don_vpr,4.647148522279758e-4,CHD,AORSF
chd_lvotoas,4.542922790159005e-4,CHD,AORSF
txedp,0.00045131415964583884,CHD,AORSF
lshemagt,4.4935829089500575e-4,CHD,AORSF
txldpt,4.4596637878756984e-4,CHD,AORSF
chd_si,4.4294790846046263e-4,CHD,AORSF
lsbrs,4.417689419385561e-4,CHD,AORSF
txcstat,4.4016109082466436e-4,CHD,AORSF
hxvtach,4.399394385949967e-4,CHD,AORSF
txbpcw,4.370962697093067e-4,CHD,AORSF
hxgi,4.368328874044605e-4,CHD,AORSF
don_oth,4.267607566484611e-4,CHD,AORSF
statlist,4.2544544929478333e-4,CHD,AORSF
don_t3,4.2434061574625975e-4,CHD,AORSF
txbrs,4.243064346850873e-4,CHD,AORSF
dabotype,4.22078143190182e-4,CHD,AORSF
drpr,4.2033294073316323e-4,CHD,AORSF
lsdopa,4.190031099574437e-4,CHD,AORSF
lcrp_r,4.15249755393035e-4,CHD,AORSF
lsbram,4.1207892405666747e-4,CHD,AORSF
txpbnp_r,4.116543480697281e-4,CHD,AORSF
txbnp,4.115756079752916e-4,CHD,AORSF
hxvfib,4.104808190311569e-4,CHD,AORSF
hxtrach,4.0953147553743645e-4,CHD,AORSF
donspac,4.094638455074834e-4,CHD,AORSF
don_nsyn,4.0640032193449573e-4,CHD,AORSF
lsbrp,4.058760140216522e-4,CHD,AORSF
don_t4,4.050644805027509e-4,CHD,AORSF
chd_ar,4.0453548127257266e-4,CHD,AORSF
txbram,4.030648459270949e-4,CHD,AORSF
ltxtrach,3.9930808285745876e-4,CHD,AORSF
egfr_tx,3.9923525787398444e-4,CHD,AORSF
lchol_r,3.9486245762388063e-4,CHD,AORSF
fracshor,3.9016067907794456e-4,CHD,AORSF
slivino,3.8881169096681493e-4,CHD,AORSF
hlatxpre,3.8866182748412847e-4,CHD,AORSF
lspbnp_r,3.871536922129862e-4,CHD,AORSF
txhemagt,3.861242776221396e-4,CHD,AORSF
slecmo,3.857054603330548e-4,CHD,AORSF
lspge,3.8541988806890175e-4,CHD,AORSF
txcrp_r,3.8506114587319977e-4,CHD,AORSF
chd_patrd,3.8397375234772374e-4,CHD,AORSF
tdsacl2,3.839561183381312e-4,CHD,AORSF
dtime,3.804816147810948e-4,CHD,AORSF
lldl_r,3.7837251569242163e-4,CHD,AORSF
dptxecho,3.770536802807778e-4,CHD,AORSF
slicu,3.76952619780936e-4,CHD,AORSF
slhosp,3.7556344512723166e-4,CHD,AORSF
txpalb_r,3.7428531569465675e-4,CHD,AORSF
slddpsc,3.738477012351706e-4,CHD,AORSF
lssild,3.7228786009936544e-4,CHD,AORSF
chd_triat,3.7204448888616254e-4,CHD,AORSF
dhcab,3.676758949375949e-4,CHD,AORSF
lpacebiv,3.655346825117458e-4,CHD,AORSF
egfr_change,3.642850220308631e-4,CHD,AORSF
txtp_r,3.6415362235477566e-4,CHD,AORSF
chd_pa,3.6212133275692973e-4,CHD,AORSF
chd_tga,3.5907987876576523e-4,CHD,AORSF
durcarst,3.569427089901447e-4,CHD,AORSF
lsttperf,3.554429183366429e-4,CHD,AORSF
hxprenat,3.5481584095857087e-4,CHD,AORSF
txbrp,3.54278475018658e-4,CHD,AORSF
lsnox,3.5376406344778843e-4,CHD,AORSF
dhiv,3.5375314564764515e-4,CHD,AORSF
lsbci,3.5318004208901503e-4,CHD,AORSF
hxsyn,3.5290232143249346e-4,CHD,AORSF
hxarryth,3.514405133192835e-4,CHD,AORSF
slvad,3.513807937491593e-4,CHD,AORSF
lsast,3.491110450042712e-4,CHD,AORSF
neuroth,3.483457884411082e-4,CHD,AORSF
chd_ctga,3.451009067278192e-4,CHD,AORSF
lbnp,3.448817090019484e-4,CHD,AORSF
txicu,3.4403063050291187e-4,CHD,AORSF
chd_hrh,3.426959249366563e-4,CHD,AORSF
chd_avsep,3.4260060149977103e-4,CHD,AORSF
tdsacl1,3.3484480706687003e-4,CHD,AORSF
lcmvpcr,3.346952650894042e-4,CHD,AORSF
txbco,3.3427613017038765e-4,CHD,AORSF
lssvcsat,3.3195582199992086e-4,CHD,AORSF
hxpb,3.315721112854997e-4,CHD,AORSF
hxiso,3.310725106437623e-4,CHD,AORSF
chd_ahih,3.286384932087832e-4,CHD,AORSF
hxresp,3.2857240090145663e-4,CHD,AORSF
dmhhyten,3.2822070706782557e-4,CHD,AORSF
