feature,importance,cohort,model
ecmo_combined,5.522917279123458,CHD,CatBoost
txalt,5.470185946978033,CHD,CatBoost
txbun_r,5.335804464091345,CHD,CatBoost
txecmo,4.082320044499853,CHD,CatBoost
lbun_r,3.503252024262297,CHD,CatBoost
txivino,3.2374369410980606,CHD,CatBoost
txast,2.644528897317144,CHD,CatBoost
lsbaosat,2.450530381690747,CHD,CatBoost
lsfprat,2.1683411574264726,CHD,CatBoost
txbun_r_high,1.8762880960987938,CHD,CatBoost
bmi_txpl,1.54149258029329,CHD,CatBoost
chd_avsep,1.4717170833979423,CHD,CatBoost
ltg_r,1.4431616057611685,CHD,CatBoost
hxmed,1.3456143154804392,CHD,CatBoost
txbcdc,1.2363645231123426,CHD,CatBoost
dhbsab,1.1611904566216535,CHD,CatBoost
hbsab,1.153416785862076,CHD,CatBoost
hxfail,0.9831694139664899,CHD,CatBoost
lsalt,0.9581721866755146,CHD,CatBoost
txcreat_r,0.9266001845008623,CHD,CatBoost
drhtype,0.9102026438733103,CHD,CatBoost
slicu,0.9077273471892445,CHD,CatBoost
height_txpl,0.8962374104989189,CHD,CatBoost
donisch,0.8780587237576843,CHD,CatBoost
txtdsxm,0.8756437962725726,CHD,CatBoost
age_listing,0.8735332477982418,CHD,CatBoost
rabotype,0.8734576706951356,CHD,CatBoost
lschool,0.8715869597548251,CHD,CatBoost
txsa_r,0.8674068326360004,CHD,CatBoost
txsa_r_low,0.8657670039776849,CHD,CatBoost
egfr_tx,0.8563777278962127,CHD,CatBoost
chd_tr,0.8371248773331538,CHD,CatBoost
txbili_t_r,0.8356717447401046,CHD,CatBoost
lscstat,0.8344318889098807,CHD,CatBoost
lsfprab,0.8331492632733842,CHD,CatBoost
lshemagt,0.8246380200122329,CHD,CatBoost
esteject,0.8222254746209161,CHD,CatBoost
hlatxpre,0.817578973234059,CHD,CatBoost
hxchb,0.814205368562366,CHD,CatBoost
chd_mart,0.8085461668614214,CHD,CatBoost
egfr_listing,0.805179106370162,CHD,CatBoost
lssab_r,0.8046848330440399,CHD,CatBoost
weight_txpl,0.8005748091795478,CHD,CatBoost
txvent,0.7986755002680783,CHD,CatBoost
txbco,0.787680929175293,CHD,CatBoost
height_listing,0.7736592565159336,CHD,CatBoost
dmechod,0.7686955208422483,CHD,CatBoost
txbnp,0.7586542220815018,CHD,CatBoost
chd_hlh,0.7447119853877455,CHD,CatBoost
lpacebiv,0.7396646438832981,CHD,CatBoost
prm_list,0.7393505063698238,CHD,CatBoost
lssvcsat,0.7273416714696377,CHD,CatBoost
ttndr,0.7200705451763008,CHD,CatBoost
txtp_r,0.7198087397168138,CHD,CatBoost
don_vpr,0.7170251120382541,CHD,CatBoost
donor_age,0.7164195784881906,CHD,CatBoost
dmhothr,0.7135689321491233,CHD,CatBoost
weight_listing,0.7128426030457294,CHD,CatBoost
lsbco,0.7073685102820063,CHD,CatBoost
txbpcw,0.7030931991700909,CHD,CatBoost
weight_donor,0.6952877020346576,CHD,CatBoost
txmcsd,0.694260571861633,CHD,CatBoost
txtg_r,0.6934659380637647,CHD,CatBoost
chd_papvr,0.6907009080138098,CHD,CatBoost
slivino,0.6827792941474478,CHD,CatBoost
hcab,0.6825076180407655,CHD,CatBoost
chd_anom,0.6789622902652124,CHD,CatBoost
lsbram,0.6767680453034127,CHD,CatBoost
txbdsxn,0.6664648498473459,CHD,CatBoost
txno2,0.6657710531364465,CHD,CatBoost
lsbrp,0.6563630608136296,CHD,CatBoost
hxpb,0.650685404110165,CHD,CatBoost
chd_ahih,0.6456786521548707,CHD,CatBoost
txnpruss,0.6455069574339654,CHD,CatBoost
txbpam,0.6332375133358512,CHD,CatBoost
lsnorepi,0.629835595348922,CHD,CatBoost
hxaf_fl,0.6222984727547488,CHD,CatBoost
chd_sv,0.6222403178934641,CHD,CatBoost
cmv,0.6162228701406767,CHD,CatBoost
incarctn,0.6151351145161714,CHD,CatBoost
lcmvpcr,0.6122051776233571,CHD,CatBoost
egfr_change,0.6099555917852972,CHD,CatBoost
don_dop,0.6076894709921559,CHD,CatBoost
txtcdc,0.5929720108902511,CHD,CatBoost
hxtrans,0.5920820691827869,CHD,CatBoost
lsnitrop,0.5865911384055618,CHD,CatBoost
chd_patr,0.5857463272574297,CHD,CatBoost
txcstat,0.5852382743973293,CHD,CatBoost
hxgiot,0.5776726803749618,CHD,CatBoost
txcntry,0.574292137922334,CHD,CatBoost
lsrhfcl,0.5712590527989888,CHD,CatBoost
