feature,importance,cohort,model
dmechod,15.141314602244023,CHD,RSF
bmi_txpl,12.627938269236164,CHD,RSF
egfr_change,12.428778121923484,CHD,RSF
lbun_r,12.30654315938275,CHD,RSF
txast,12.13483774103015,CHD,RSF
egfr_tx,11.873511055581401,CHD,RSF
donisch,11.771879045657942,CHD,RSF
txbun_r,11.645005477819451,CHD,RSF
weight_txpl,11.306724005621726,CHD,RSF
txalt,11.227045353361857,CHD,RSF
donor_age,10.994506651782823,CHD,RSF
egfr_listing,10.928268786965528,CHD,RSF
height_donor,10.819820543969238,CHD,RSF
age_txpl_months,10.80023225277632,CHD,RSF
age_txpl,10.593806055369033,CHD,RSF
height_txpl,10.51213652623232,CHD,RSF
weight_donor,10.35581081623657,CHD,RSF
txtp_r,10.331734629297955,CHD,RSF
txsa_r,9.877546605248252,CHD,RSF
lsalt,9.772590890353833,CHD,RSF
txbili_t_r,9.644337507096367,CHD,RSF
dcircod,9.63899610906993,CHD,RSF
weight_listing,9.621377718980751,CHD,RSF
fracshor,9.485467130556435,CHD,RSF
lsast,9.417807902080645,CHD,RSF
lsbili_t_r,9.41577814178756,CHD,RSF
esteject,9.413156378851985,CHD,RSF
age_listing,9.393510646140319,CHD,RSF
lbnp,9.325814086946014,CHD,RSF
lcreat_r,9.270743962172643,CHD,RSF
lssab_r,9.226461156761578,CHD,RSF
height_listing,9.03889060463702,CHD,RSF
lstp_r,8.961716430152517,CHD,RSF
txcreat_r,8.79487738291595,CHD,RSF
ltg_r,8.347317227190464,CHD,RSF
txtg_r,7.482838484508358,CHD,RSF
lssvcsat,7.401028338719024,CHD,RSF
lsbpam,7.251529858351418,CHD,RSF
cprmin,7.168766300890321,CHD,RSF
prm_list,6.7500585008960154,CHD,RSF
lsbci,6.632660714443403,CHD,RSF
lsfprat,6.610412970521475,CHD,RSF
lsbrp,6.540315155975618,CHD,RSF
lsbaosat,6.505400462449009,CHD,RSF
lchol_r,6.505304507343552,CHD,RSF
durcarst,6.400428082683911,CHD,RSF
txcrp_r,6.355710157808372,CHD,RSF
lsbrs,6.203282340861805,CHD,RSF
lsbram,5.994351842694726,CHD,RSF
lsbpcw,5.875162596241807,CHD,RSF
lsfprab,5.779304531278639,CHD,RSF
