feature,importance,cohort,model
chd_alcapa,15.19736582580424,CHD,Simple_Calculator
chd_raa,14.820768505506013,CHD,Simple_Calculator
chd_dolv,13.796653887690725,CHD,Simple_Calculator
chd_lsvc,13.745206638368927,CHD,Simple_Calculator
chd_hb,5.415427388556303,CHD,Simple_Calculator
chd_papvr,5.289396377689819,CHD,Simple_Calculator
chd_avd,3.9812804785040443,CHD,Simple_Calculator
txfcpraDone,3.52828230422734,CHD,Simple_Calculator
txfcpraNot.Done,3.375426702504767,CHD,Simple_Calculator
chd_ps,3.3682875212429755,CHD,Simple_Calculator
chd_si,1.900184441533073,CHD,Simple_Calculator
chd_tart,1.610915904166596,CHD,Simple_Calculator
egfr_listing_catnormal,1.269140075509962,CHD,Simple_Calculator
ecmo_combined,1.2373752654206909,CHD,Simple_Calculator
chd_iivc,1.0801468378598342,CHD,Simple_Calculator
chd_unk,0.9727445346265938,CHD,Simple_Calculator
slecmo,0.8894415436576616,CHD,Simple_Calculator
hxtrach,0.7679363880940112,CHD,Simple_Calculator
chd_aspl,0.7669969435956638,CHD,Simple_Calculator
chd_bivc,0.7063031135023722,CHD,Simple_Calculator
chd_tr,0.6381982978730338,CHD,Simple_Calculator
chd_pspl,0.61758967368803,CHD,Simple_Calculator
egfr_listing_catMISSING,0.6140877358455339,CHD,Simple_Calculator
egfr_listing_catmoderate,0.6082527454637805,CHD,Simple_Calculator
egfr_listing_catsevere,0.5675976527567727,CHD,Simple_Calculator
chd_lvotoas,0.5203606062378571,CHD,Simple_Calculator
chd_heter,0.48636535488153126,CHD,Simple_Calculator
hxfonlvr_bin,0.4834758780014189,CHD,Simple_Calculator
chd_dex,0.44703257540666097,CHD,Simple_Calculator
egfr_tx_catMISSING,0.4243252947794979,CHD,Simple_Calculator
chd_aa,0.39777116041094523,CHD,Simple_Calculator
chd_anom,0.38887510997120706,CHD,Simple_Calculator
chd_ar,0.38474554538450745,CHD,Simple_Calculator
chd_mart,0.3800081734513177,CHD,Simple_Calculator
egfr_tx_catnormal,0.3691490833176616,CHD,Simple_Calculator
chd_mr,0.35670266237280035,CHD,Simple_Calculator
hxsurg,0.3385904616865177,CHD,Simple_Calculator
chd_ma,0.31098318717434514,CHD,Simple_Calculator
chd_mstn,0.3056961563629643,CHD,Simple_Calculator
txecmo,0.2984675225503636,CHD,Simple_Calculator
chd_ctga,0.29346794959979633,CHD,Simple_Calculator
chd_dilv,0.2849606128892098,CHD,Simple_Calculator
ltxtrach,0.2821105868126715,CHD,Simple_Calculator
txvad,0.2761611162025343,CHD,Simple_Calculator
egfr_tx_catsevere,0.2464051294397032,CHD,Simple_Calculator
lsfcpraDone,0.2243437952324979,CHD,Simple_Calculator
egfr_tx_catmoderate,0.2070803269040147,CHD,Simple_Calculator
chd_ahih,0.19049593247595692,CHD,Simple_Calculator
chd_tga,0.18741708234939145,CHD,Simple_Calculator
chd_shone,0.17614930307674084,CHD,Simple_Calculator
chd_ebst,0.172449630691237,CHD,Simple_Calculator
chd_patrd,0.16958475762217137,CHD,Simple_Calculator
chd_vsd,0.16695092810948503,CHD,Simple_Calculator
txsa_r,0.1645121950050519,CHD,Simple_Calculator
chd_pa,0.15999241833920483,CHD,Simple_Calculator
chd_patr,0.15037049420709134,CHD,Simple_Calculator
chd_hrh,0.1386351833448059,CHD,Simple_Calculator
chd_triat,0.1384703793686342,CHD,Simple_Calculator
chd_sv,0.1198687315636331,CHD,Simple_Calculator
chd_tapvr,0.1186038314234546,CHD,Simple_Calculator
txsa_r_low,0.11791655085297545,CHD,Simple_Calculator
txalt_high,0.11112201082482993,CHD,Simple_Calculator
chd_avsep,0.10879618438676153,CHD,Simple_Calculator
txvent,0.10137077349726217,CHD,Simple_Calculator
txbili_t_r_high,0.09777736741265236,CHD,Simple_Calculator
chd_tof,0.0826992332713686,CHD,Simple_Calculator
chd_hlh,0.06063906171746206,CHD,Simple_Calculator
age_listing,0.059311901632970586,CHD,Simple_Calculator
age_txpl,0.04793721501405737,CHD,Simple_Calculator
txbili_t_r,0.040443608645755184,CHD,Simple_Calculator
txtp_r,0.010900840275620346,CHD,Simple_Calculator
egfr_listing,0.00958999657831266,CHD,Simple_Calculator
egfr_change,0.008412768415852132,CHD,Simple_Calculator
egfr_tx,0.005267108574178405,CHD,Simple_Calculator
txpalb_r,0.0051265817603375965,CHD,Simple_Calculator
lsfprab,0.003182722229508986,CHD,Simple_Calculator
lsfprat,0.0027960522475860548,CHD,Simple_Calculator
txalt,5.762530759386916e-4,CHD,Simple_Calculator
