feature,importance,cohort,model
ltxtrach,0.09215026949414708,CHD,XGBoost
txbun_r,0.04294815544267823,CHD,XGBoost
neuroth,0.02940400265092668,CHD,XGBoost
lstp_r,0.026733296019288907,CHD,XGBoost
txnomcsd,0.024174422723941793,CHD,XGBoost
txbcdc,0.023855063814120357,CHD,XGBoost
bmi_txpl,0.02305983946869297,CHD,XGBoost
lpace,0.022417529669894982,CHD,XGBoost
lsalt,0.020720509950980397,CHD,XGBoost
anxinj,0.020249214540372172,CHD,XGBoost
lbnp,0.01978848335805058,CHD,XGBoost
egfr_tx,0.01856030714842489,CHD,XGBoost
txast,0.01769700340163351,CHD,XGBoost
drisk,0.017584998731789574,CHD,XGBoost
durcarst,0.017010669729952715,CHD,XGBoost
hxhep,0.016763765615563635,CHD,XGBoost
lldl_r,0.016665577453118793,CHD,XGBoost
txbnp,0.016132545792446676,CHD,XGBoost
lssab_r,0.015683383595073517,CHD,XGBoost
lcreat_r,0.01564522053381501,CHD,XGBoost
lsast,0.015276809142720732,CHD,XGBoost
chd_papvr,0.015001986329770433,CHD,XGBoost
txbun_r_high,0.014526798819329693,CHD,XGBoost
txecmo,0.01424972466862135,CHD,XGBoost
lsbco,0.01343140362835701,CHD,XGBoost
lbun_r,0.013264430704481097,CHD,XGBoost
lchol_r,0.012923803149928229,CHD,XGBoost
txsa_r,0.012139300705758792,CHD,XGBoost
txicu,0.012039867858224952,CHD,XGBoost
lsbpam,0.011760362972516397,CHD,XGBoost
lsbrs,0.011640371147734065,CHD,XGBoost
ecmo_combined,0.011546755038157828,CHD,XGBoost
lsbrp,0.01150116684270585,CHD,XGBoost
esteject,0.011021008102060258,CHD,XGBoost
egfr_listing,0.010536409523030756,CHD,XGBoost
lscntry,0.010505734420486156,CHD,XGBoost
txalt,0.010444854492805135,CHD,XGBoost
txbili_t_r,0.01042215939989597,CHD,XGBoost
hxplyspl,0.010279476525244075,CHD,XGBoost
donisch,0.01016439999278416,CHD,XGBoost
height_donor,0.010089818847914028,CHD,XGBoost
spschool,0.010030129247193695,CHD,XGBoost
txmilrin,0.009830263227419528,CHD,XGBoost
fracshor,0.009826432887512511,CHD,XGBoost
txbrs,0.009693849565454158,CHD,XGBoost
chd_anom,0.00965118446648532,CHD,XGBoost
height_listing,0.009410857145980351,CHD,XGBoost
slicu,0.009114571731047901,CHD,XGBoost
txidtsys,0.009106228655823195,CHD,XGBoost
egfr_change,0.009059115117763306,CHD,XGBoost
txsilden,0.008999357225069235,CHD,XGBoost
dhxnone,0.00851701058842984,CHD,XGBoost
dmhothr,0.00851632381509437,CHD,XGBoost
txbci,0.007958787105547415,CHD,XGBoost
txcreat_r,0.007877321580116298,CHD,XGBoost
txtp_r,0.007875916877143518,CHD,XGBoost
lsbili_t_r,0.007644132124340462,CHD,XGBoost
age_listing,0.0073104578506125555,CHD,XGBoost
lsbci,0.0071687938039130044,CHD,XGBoost
ttndr,0.007025096005735284,CHD,XGBoost
hxmarfns,0.0068697265970900714,CHD,XGBoost
hxfonlvr,0.006796303186530439,CHD,XGBoost
txvent,0.006659288397917538,CHD,XGBoost
txbram,0.006624755303153148,CHD,XGBoost
weight_donor,0.006593990388709572,CHD,XGBoost
hxple,0.006578969259175914,CHD,XGBoost
hxpb,0.006563820803469801,CHD,XGBoost
slvad,0.00654220301945113,CHD,XGBoost
