feature,importance,cohort,model
prim_dx,0.005366559080914261,Combined,AORSF
hxsurg,0.005241729999087605,Combined,AORSF
lsbaosat,0.0031053125473138278,Combined,AORSF
ecmo_combined,0.0024792791332157943,Combined,AORSF
chd_hlh,0.0022902720706434467,Combined,AORSF
txecmo,0.0022599132796795214,Combined,AORSF
txbaosat,0.0019123143052445547,Combined,AORSF
sec_dx,0.0017159011377385393,Combined,AORSF
txsa_r_low,0.001705908277260557,Combined,AORSF
txbun_r_high,0.0015678265120152154,Combined,AORSF
lsfprat,0.0014792554673617416,Combined,AORSF
egfr_tx_cat,0.001433973606689318,Combined,AORSF
txbun_r,0.0013495838285209837,Combined,AORSF
txvent,0.001293931010547514,Combined,AORSF
txfcpra,0.0011883176793799975,Combined,AORSF
txsa_r,0.0011324066567459522,Combined,AORSF
prm_list,0.0011295183722843866,Combined,AORSF
age_listing,0.0010860543137091166,Combined,AORSF
txbdsxn,0.0010668385742946648,Combined,AORSF
txtdsxm,0.0010629227890988008,Combined,AORSF
height_txpl,0.001062242816004983,Combined,AORSF
txaboinc,0.0010519277110776118,Combined,AORSF
age_txpl_months,0.001036018452402939,Combined,AORSF
hxmed,9.73865945216068e-4,Combined,AORSF
weight_donor,9.72104764380901e-4,Combined,AORSF
efind,9.603457783739249e-4,Combined,AORSF
rabotype,9.532790495144786e-4,Combined,AORSF
slinods,9.525335322552298e-4,Combined,AORSF
hxtrans,9.491492242016787e-4,Combined,AORSF
age_txpl,9.356614648612275e-4,Combined,AORSF
txbili_t_r_high,8.819815526397005e-4,Combined,AORSF
txbcdc,8.598585380483785e-4,Combined,AORSF
hxple,8.174328829490141e-4,Combined,AORSF
lsfprab,8.11338611917236e-4,Combined,AORSF
drhtype,8.027707252462089e-4,Combined,AORSF
weight_listing,7.801735216123285e-4,Combined,AORSF
height_listing,7.711606285573276e-4,Combined,AORSF
hbsab,7.708961215782625e-4,Combined,AORSF
txtcdc,7.68142161082344e-4,Combined,AORSF
height_donor,7.634840368736474e-4,Combined,AORSF
lscntry,7.613328206973451e-4,Combined,AORSF
ltg_r,7.607969859569788e-4,Combined,AORSF
txsvcsat,7.513840237288014e-4,Combined,AORSF
dhxnone,7.365228857908035e-4,Combined,AORSF
txtg_r,7.330379698501436e-4,Combined,AORSF
lsbpcw,7.132209206138908e-4,Combined,AORSF
don_t4,7.121978504354082e-4,Combined,AORSF
txidtsys,7.057794676636962e-4,Combined,AORSF
donspxm,6.982720081769587e-4,Combined,AORSF
chd_tof,6.951137140179081e-4,Combined,AORSF
txnomcsd,6.797371500467592e-4,Combined,AORSF
dcmv,6.739598957965898e-4,Combined,AORSF
hxrenins,6.685202650293085e-4,Combined,AORSF
txcntry,6.529125655328579e-4,Combined,AORSF
lshemagt,6.450283299627949e-4,Combined,AORSF
slddpsc,6.448066510736591e-4,Combined,AORSF
lsbpam,6.405925662514378e-4,Combined,AORSF
lbun_r,6.263306457553965e-4,Combined,AORSF
slvent,6.238672730846754e-4,Combined,AORSF
ltxtrach,6.143097088607609e-4,Combined,AORSF
txbili_t_r,6.113597578966914e-4,Combined,AORSF
lssvcsat,6.086987022874035e-4,Combined,AORSF
slicu,5.958913935289725e-4,Combined,AORSF
txbili_d_r,5.934388087235891e-4,Combined,AORSF
lscstat,5.911859317284302e-4,Combined,AORSF
txhemo,5.903691649775022e-4,Combined,AORSF
hxcpr,5.894582334072746e-4,Combined,AORSF
lssab_r,5.864014932672719e-4,Combined,AORSF
don_t3,5.821779143082148e-4,Combined,AORSF
don_dop,5.772147363160246e-4,Combined,AORSF
weight_txpl,5.755333347348414e-4,Combined,AORSF
txast,5.709933366723813e-4,Combined,AORSF
lsaboinc,5.601749842720103e-4,Combined,AORSF
don_oth,5.518113518413059e-4,Combined,AORSF
ebv,5.498536433477972e-4,Combined,AORSF
hxgiot,5.496408734332515e-4,Combined,AORSF
hlatxpre,5.476146259232812e-4,Combined,AORSF
txicu,5.472432831252224e-4,Combined,AORSF
slecmo,5.350848428851276e-4,Combined,AORSF
chd_ctga,5.247245838254653e-4,Combined,AORSF
bmi_txpl,5.213319800727116e-4,Combined,AORSF
txalt,5.206981425768884e-4,Combined,AORSF
hxneuro,5.199236382471483e-4,Combined,AORSF
hxprenat,5.171531723455419e-4,Combined,AORSF
dtime,5.118013350390042e-4,Combined,AORSF
txivino,5.116937306132679e-4,Combined,AORSF
fracshor,5.050352180954778e-4,Combined,AORSF
