feature,importance,cohort,model
ecmo_combined,9.383824768811202,Combined,CatBoost
hxspcrad,7.726676740322494,Combined,CatBoost
atrskhst,5.92311031753184,Combined,CatBoost
sec_dx,4.527722082670744,Combined,CatBoost
hxmalig,4.2633128542397305,Combined,CatBoost
hxmet,4.197780336190435,Combined,CatBoost
txecmo,4.056174547889884,Combined,CatBoost
chd_hlh,3.802843134635171,Combined,CatBoost
txbun_r,3.653592873349625,Combined,CatBoost
hxsurg,3.4811453963183356,Combined,CatBoost
dmhothr,3.360032230261657,Combined,CatBoost
chd_vsd,3.0254555696935093,Combined,CatBoost
prim_dx,2.7112988162112552,Combined,CatBoost
hxfail,2.605624447181847,Combined,CatBoost
txalt,2.5812293790725422,Combined,CatBoost
lbun_r,2.5272577307942132,Combined,CatBoost
chd_tof,2.4825989324170754,Combined,CatBoost
chd_sv,2.264426520373992,Combined,CatBoost
chd_tart,2.2469065382581195,Combined,CatBoost
txbun_r_high,2.129311290463032,Combined,CatBoost
lshpo2,2.024490314306565,Combined,CatBoost
txnitro,2.0185424996764563,Combined,CatBoost
txpbnp_r,1.9519426112598375,Combined,CatBoost
hxarryth,1.8462205807470926,Combined,CatBoost
chd_avsep,1.8110945452582556,Combined,CatBoost
chd_tga,1.8023394374589483,Combined,CatBoost
chd_ebst,1.8005647405930103,Combined,CatBoost
lssab_r,1.7972001681987018,Combined,CatBoost
drpr,1.7970516376964984,Combined,CatBoost
txsa_r_low,1.6977237097400681,Combined,CatBoost
lsfprat,1.6407337424759016,Combined,CatBoost
txivino,1.6352687075360484,Combined,CatBoost
egfr_tx,1.5402208523736725,Combined,CatBoost
lsbaosat,1.495637147459007,Combined,CatBoost
chd_ctga,1.4109471057499914,Combined,CatBoost
ltg_r,1.3654503484903853,Combined,CatBoost
dtime,1.3519132161505985,Combined,CatBoost
txbili_t_r,1.3236094982132598,Combined,CatBoost
dmechod,1.2712907588146416,Combined,CatBoost
dhbsab,1.2506458825664062,Combined,CatBoost
lsrhfcl,1.239176988880295,Combined,CatBoost
txtdsxm,1.221254281680869,Combined,CatBoost
ebv,1.2196813729362872,Combined,CatBoost
chd_patr,1.1805958389901876,Combined,CatBoost
chd_bivc,1.136186939834142,Combined,CatBoost
egfr_tx_cat,1.1299876997193214,Combined,CatBoost
hbsab,1.1283857912518314,Combined,CatBoost
drhtype,1.123516629717089,Combined,CatBoost
txast,1.110860770279709,Combined,CatBoost
txepine,1.0947920116588372,Combined,CatBoost
tdsacl1,1.0607274041894563,Combined,CatBoost
egfr_listing,1.0449997839851923,Combined,CatBoost
txbdsxn,1.0132621006721387,Combined,CatBoost
rpr,0.9997494693879414,Combined,CatBoost
txpgi,0.9878285632371622,Combined,CatBoost
chd_ps,0.9804179143773497,Combined,CatBoost
txtg_r,0.979047071306036,Combined,CatBoost
atrial,0.963003125821919,Combined,CatBoost
weight_listing,0.9629198975048056,Combined,CatBoost
lsnorepi,0.9607729858880588,Combined,CatBoost
txo2,0.9370748863738771,Combined,CatBoost
dhxnone,0.9313894501721859,Combined,CatBoost
lssvcsat,0.9188288855059357,Combined,CatBoost
txicu,0.8919145767758773,Combined,CatBoost
lsbram,0.8887253907358906,Combined,CatBoost
