feature,importance,cohort,model
dmechod,26.774749930687886,Combined,RSF
bmi_txpl,21.847480825672065,Combined,RSF
egfr_tx,21.380552979519067,Combined,RSF
weight_txpl,21.277911923616337,Combined,RSF
egfr_change,21.242230613239308,Combined,RSF
donisch,20.95406788446043,Combined,RSF
txbun_r,20.655647392874148,Combined,RSF
lbun_r,20.603693617261136,Combined,RSF
lbnp,19.682687227270826,Combined,RSF
txalt,19.52606690112355,Combined,RSF
txtp_r,19.230982717765407,Combined,RSF
lsast,19.191372392280364,Combined,RSF
egfr_listing,19.080348094795767,Combined,RSF
donor_age,18.963269977216502,Combined,RSF
txast,18.940200516335516,Combined,RSF
lsalt,18.768770253353775,Combined,RSF
height_donor,18.627418909572693,Combined,RSF
age_txpl_months,18.523211293452775,Combined,RSF
age_txpl,18.41134069034682,Combined,RSF
height_txpl,18.348512805205107,Combined,RSF
txbili_t_r,18.302499186119846,Combined,RSF
weight_donor,18.0072073476111,Combined,RSF
weight_listing,17.841935890812376,Combined,RSF
txsa_r,17.649711344334314,Combined,RSF
lstp_r,17.492770319468555,Combined,RSF
age_listing,17.2274067992515,Combined,RSF
lcreat_r,17.179033526743815,Combined,RSF
lsbili_t_r,17.072451861651235,Combined,RSF
dcircod,16.916156364650305,Combined,RSF
esteject,16.250138311237873,Combined,RSF
txcreat_r,16.205734216242703,Combined,RSF
height_listing,15.976132717273302,Combined,RSF
lssab_r,15.471975256733046,Combined,RSF
cprmin,15.084469803090569,Combined,RSF
fracshor,15.062284800933726,Combined,RSF
ltg_r,14.873941622003604,Combined,RSF
txtg_r,14.422622625509076,Combined,RSF
durcarst,14.409645934788736,Combined,RSF
lsbrp,14.217139699228843,Combined,RSF
lchol_r,13.707370087044412,Combined,RSF
prm_list,12.989705751361214,Combined,RSF
lldl_r,12.61865896571377,Combined,RSF
lsbrs,12.60245608297951,Combined,RSF
lsbram,12.524384933971247,Combined,RSF
lsbpam,12.15373769861159,Combined,RSF
lssvcsat,11.864304387467188,Combined,RSF
lsbaosat,11.481054634683018,Combined,RSF
ter_dx,11.467897414215189,Combined,RSF
txbnp,11.408688219612614,Combined,RSF
lsbci,11.343271127584979,Combined,RSF
lsfprat,11.341664871114672,Combined,RSF
lhdl_r,11.024849741562619,Combined,RSF
lcrp_r,10.955434352235303,Combined,RSF
txcrp_r,10.666109979841929,Combined,RSF
lsfprab,10.487689003638316,Combined,RSF
lsbpcw,10.32850131751063,Combined,RSF
txbili_d_r,9.712013433500278,Combined,RSF
lsbili_d_r,9.701812056087585,Combined,RSF
lsbco,9.333956817225744,Combined,RSF
txcstat,9.263119833236617,Combined,RSF
txtdsxm,9.254611637285816,Combined,RSF
txchol_r,8.974339723483258,Combined,RSF
txbpam,8.972726823179741,Combined,RSF
txbrs,8.785754672394422,Combined,RSF
lscstat,8.753135743059564,Combined,RSF
txbdsxn,8.744312158172537,Combined,RSF
txtcdc,8.17201486328265,Combined,RSF
txbcdc,8.007157867168994,Combined,RSF
rabotype,7.988459323000473,Combined,RSF
txbaosat,7.853814834538391,Combined,RSF
txbram,7.592732735016873,Combined,RSF
dabotype,7.541802629463961,Combined,RSF
txbrp,7.376202568874952,Combined,RSF
lvldl_r,7.281230034629489,Combined,RSF
egfr_tx_cat,7.276608278210532,Combined,RSF
txbci,7.232453077261082,Combined,RSF
statlist,7.151212908622345,Combined,RSF
txldl_r,7.063136406971425,Combined,RSF
txsvcsat,6.994209855425383,Combined,RSF
lspbnp_r,6.830415018015746,Combined,RSF
txbco,6.602596708576547,Combined,RSF
ttndr,6.379209046728079,Combined,RSF
egfr_listing_cat,6.363341638340208,Combined,RSF
txbpcw,6.3428296094468894,Combined,RSF
lspalb_r,6.308542968253086,Combined,RSF
prim_dx,6.234809846092374,Combined,RSF
sec_dx,6.1542690583763076,Combined,RSF
txpbnp_r,6.0922342971113865,Combined,RSF
txhdl_r,5.855944543773092,Combined,RSF
dhbsab,5.5425828408092634,Combined,RSF
slinods,5.483957900074161,Combined,RSF
txpalb_r,5.449984001077667,Combined,RSF
draboat,5.17157135561762,Combined,RSF
drhtype,5.148525579959211,Combined,RSF
donspxm,4.859762717140482,Combined,RSF
hxdysdia,4.665621201384377,Combined,RSF
dcmv,4.658061161116477,Combined,RSF
txedp,4.6145487476375555,Combined,RSF
debv,4.530679632650355,Combined,RSF
dtoxo,4.425412698654214,Combined,RSF
lspcmt,4.377535613612056,Combined,RSF
lsnyha,3.8080362567300674,Combined,RSF
efind,3.72335599187878,Combined,RSF
lscntry,3.6318201806759074,Combined,RSF
txcntry,3.5929699121603673,Combined,RSF
ecmo_combined,3.446906393796515,Combined,RSF
lsfpres,3.308105823036083,Combined,RSF
txecmo,3.303706384014527,Combined,RSF
hxsurg,3.1165046323906003,Combined,RSF
txdcd,3.063201123940291,Combined,RSF
txivino,2.919122376181078,Combined,RSF
don_vpr,2.892033975363905,Combined,RSF
don_t4,2.835327849425831,Combined,RSF
lsdcd,2.8346237879244875,Combined,RSF
ebv,2.8055618372014357,Combined,RSF
cmv,2.7193979619980024,Combined,RSF
hxtrans,2.6978003501154957,Combined,RSF
hbsab,2.6395466973684094,Combined,RSF
drpr,2.6365962913099357,Combined,RSF
chd_hlh,2.5128101137735936,Combined,RSF
cpr,2.4885963083620637,Combined,RSF
txicu,2.4869734178088105,Combined,RSF
hxarryth,2.48124396174333,Combined,RSF
ttrmax,2.481030479369342,Combined,RSF
lshemo,2.4177505728942275,Combined,RSF
slivino,2.395515075077641,Combined,RSF
txsa_r_low,2.394815620401193,Combined,RSF
don_dop,2.3703609445209874,Combined,RSF
hxmed,2.344424747823428,Combined,RSF
txvad,2.3382906015455536,Combined,RSF
txaboinc,2.3379576364534795,Combined,RSF
dhbcab,2.336218705152785,Combined,RSF
dhxnone,2.323658049233506,Combined,RSF
txfontp,2.3191784186918136,Combined,RSF
lsrhfcl,2.2701978567430126,Combined,RSF
txvent,2.254947687517992,Combined,RSF
pcage,2.1680884062421555,Combined,RSF
txnomcsd,2.154463635624698,Combined,RSF
lsmilrin,2.0990802758023284,Combined,RSF
slicu,2.0830694047289264,Combined,RSF
txbun_r_high,2.059759846715036,Combined,RSF
slvent,2.0205610276224983,Combined,RSF
dhcab,1.9924609395103159,Combined,RSF
txvldl_r,1.9839505033149953,Combined,RSF
hxcpr,1.9801907749197811,Combined,RSF
lsaboinc,1.9546689131217192,Combined,RSF
ltxtrach,1.9514111516673298,Combined,RSF
hxfail,1.9501814781347324,Combined,RSF
atrial,1.9168936174102904,Combined,RSF
don_levo,1.906335997490182,Combined,RSF
txfcpra,1.8350421681633926,Combined,RSF
txbili_t_r_high,1.8124265251605236,Combined,RSF
txhemo,1.808767778071715,Combined,RSF
pacemake,1.7917156057416146,Combined,RSF
lpacebiv,1.791715204400305,Combined,RSF
don_t3,1.7907661887246076,Combined,RSF
lsprocm,1.7894858521149577,Combined,RSF
