feature,importance,cohort,model
ecmo_combined,1.049791294034841,Combined,Simple_Calculator
primary_etiologyCardiomyopathy,1.0184126136834941,Combined,Simple_Calculator
egfr_listing_catnormal,0.8723704399520422,Combined,Simple_Calculator
slecmo,0.781955937385182,Combined,Simple_Calculator
hxtrach,0.7184370620668257,Combined,Simple_Calculator
txfcpraDone,0.7038452209887824,Combined,Simple_Calculator
primary_etiologyCongenital.HD,0.6877220768226515,Combined,Simple_Calculator
primary_etiologyMyocarditis,0.542425736064321,Combined,Simple_Calculator
ltxtrach,0.5354639184266726,Combined,Simple_Calculator
txfcpraNot.Done,0.50434068671017,Combined,Simple_Calculator
egfr_listing_catmoderate,0.4227316638327312,Combined,Simple_Calculator
egfr_listing_catsevere,0.42078798087179803,Combined,Simple_Calculator
egfr_listing_catMISSING,0.3933420277808544,Combined,Simple_Calculator
hxsurg,0.2920966115966365,Combined,Simple_Calculator
txvad,0.23723186526118792,Combined,Simple_Calculator
primary_etiologyOther..Specify,0.22360611896441168,Combined,Simple_Calculator
egfr_tx_catnormal,0.21067123984134753,Combined,Simple_Calculator
lsfcpraDone,0.20319761683612736,Combined,Simple_Calculator
egfr_tx_catmoderate,0.18684146954494835,Combined,Simple_Calculator
txecmo,0.1608441459992182,Combined,Simple_Calculator
egfr_tx_catMISSING,0.15192945530722352,Combined,Simple_Calculator
txsa_r,0.1332539864757139,Combined,Simple_Calculator
txsa_r_low,0.13254125047447557,Combined,Simple_Calculator
egfr_tx_catsevere,0.10078427480900849,Combined,Simple_Calculator
txalt_high,0.09514682135250781,Combined,Simple_Calculator
txvent,0.09137183790856912,Combined,Simple_Calculator
chd_hlh,0.07395360410052873,Combined,Simple_Calculator
txbili_t_r_high,0.05860089858607972,Combined,Simple_Calculator
age_listing,0.030766787550303654,Combined,Simple_Calculator
age_txpl,0.028125062234217454,Combined,Simple_Calculator
txtp_r,0.015382817723211819,Combined,Simple_Calculator
txbili_t_r,0.013841842443939276,Combined,Simple_Calculator
txpalb_r,0.003645822376114892,Combined,Simple_Calculator
lsfprat,0.003321250579870232,Combined,Simple_Calculator
egfr_tx,0.0032510717380695264,Combined,Simple_Calculator
egfr_listing,0.003182475207506905,Combined,Simple_Calculator
egfr_change,0.0028308360506101456,Combined,Simple_Calculator
lsfprab,0.001969092382299323,Combined,Simple_Calculator
txalt,3.743806736944575e-4,Combined,Simple_Calculator
