feature,importance,cohort,model
ltxtrach,0.0767887632196945,Combined,XGBoost
txnomcsd,0.06659327646733548,Combined,XGBoost
chd_papvr,0.032718695737563565,Combined,XGBoost
txsa_r,0.02740872769062871,Combined,XGBoost
egfr_tx,0.023071437809513193,Combined,XGBoost
chd_anom,0.02225067819427757,Combined,XGBoost
txbun_r,0.020308521050810845,Combined,XGBoost
donisch,0.019120713758997144,Combined,XGBoost
txecmo,0.018107588195645483,Combined,XGBoost
txast,0.017733128394522783,Combined,XGBoost
lsalt,0.0166057352255641,Combined,XGBoost
lbun_r,0.01633386087122961,Combined,XGBoost
lbnp,0.014714092796254248,Combined,XGBoost
height_listing,0.0143215038052608,Combined,XGBoost
neuroth,0.014143727294854228,Combined,XGBoost
prim_dx,0.014129427199596116,Combined,XGBoost
sec_dx,0.01399477470079386,Combined,XGBoost
durcarst,0.013902916058085853,Combined,XGBoost
lpace,0.013683151453036594,Combined,XGBoost
bmi_txpl,0.013329761335683527,Combined,XGBoost
txdcd,0.012266900046200133,Combined,XGBoost
lstp_r,0.0120015966324507,Combined,XGBoost
chd_unk,0.011810331302804586,Combined,XGBoost
hxhep,0.011226703882156554,Combined,XGBoost
lsast,0.011072478704276975,Combined,XGBoost
chd_iivc,0.011012045301882802,Combined,XGBoost
lsbaosat,0.010660666545893075,Combined,XGBoost
txbci,0.010498675657588488,Combined,XGBoost
txalt,0.010477605295271003,Combined,XGBoost
lssab_r,0.010306910556138964,Combined,XGBoost
txtp_r,0.010179650461473353,Combined,XGBoost
age_listing,0.00955834774653971,Combined,XGBoost
height_donor,0.009221556147532247,Combined,XGBoost
drisk,0.009032480303894901,Combined,XGBoost
lldl_r,0.008980146456804316,Combined,XGBoost
age_txpl,0.008928387444668671,Combined,XGBoost
lsbili_t_r,0.00892314339002555,Combined,XGBoost
tdsacl1,0.008745970954810115,Combined,XGBoost
ter_dx,0.008562955479719091,Combined,XGBoost
egfr_change,0.008480657399695592,Combined,XGBoost
lsbpam,0.008396987267069906,Combined,XGBoost
egfr_listing,0.008396865467752684,Combined,XGBoost
txbili_t_r,0.008348635352362174,Combined,XGBoost
egfr_tx_cat,0.008266218790831687,Combined,XGBoost
esteject,0.008215764853167919,Combined,XGBoost
lcreat_r,0.008045682561699317,Combined,XGBoost
lsbpcw,0.008032038689557996,Combined,XGBoost
lchol_r,0.007976570301520821,Combined,XGBoost
injdrugs,0.007943453914309916,Combined,XGBoost
lsbco,0.007881791545437082,Combined,XGBoost
lsbrs,0.007750819403919986,Combined,XGBoost
height_txpl,0.007654120138243074,Combined,XGBoost
txbnp,0.007550715385299817,Combined,XGBoost
txcreat_r,0.007370012159845998,Combined,XGBoost
lsbci,0.00733982125461513,Combined,XGBoost
fracshor,0.007214036633470956,Combined,XGBoost
lsbrp,0.007179594109713446,Combined,XGBoost
hxple,0.007000039664178627,Combined,XGBoost
lpacebiv,0.006984330627582202,Combined,XGBoost
dmhothr,0.006932397719806425,Combined,XGBoost
chd_lvotoas,0.006720610611039792,Combined,XGBoost
cprmin,0.006446296536009187,Combined,XGBoost
lsfprab,0.006332105344934981,Combined,XGBoost
hxdmd,0.006329346369871082,Combined,XGBoost
chd_patrd,0.006127739736929266,Combined,XGBoost
weight_listing,0.005963337087554707,Combined,XGBoost
chd_ctga,0.0059020038263689475,Combined,XGBoost
txpge,0.005865489883807352,Combined,XGBoost
chd_ahih,0.005828847395641156,Combined,XGBoost
ecmo_combined,0.005789963245932405,Combined,XGBoost
chd_tapvr,0.005757095827704221,Combined,XGBoost
txbrs,0.005566216026968743,Combined,XGBoost
lcrp_r,0.0055609353501416955,Combined,XGBoost
lscntry,0.005514433437475756,Combined,XGBoost
txmilrin,0.005455037547207172,Combined,XGBoost
txbaosat,0.0054037949083159875,Combined,XGBoost
ltg_r,0.005327754619009695,Combined,XGBoost
don_levo,0.00527874576921322,Combined,XGBoost
slicu,0.005174612001907556,Combined,XGBoost
lsldpt,0.005028740265346877,Combined,XGBoost
chd_pspl,0.005026089523771642,Combined,XGBoost
chd_sv,0.00492581180380203,Combined,XGBoost
lebvpcr,0.004914818432715108,Combined,XGBoost
don_mil,0.0048789517435410615,Combined,XGBoost
aaschool,0.004829217282575546,Combined,XGBoost
chd_ar,0.004790915171636077,Combined,XGBoost
chd_tr,0.004682870316311827,Combined,XGBoost
hxpb,0.004619360226121591,Combined,XGBoost
rdopdose,0.004525924309702042,Combined,XGBoost
hxfonlvr,0.004469414067074123,Combined,XGBoost
don_epi,0.00445304332487907,Combined,XGBoost
don_oth,0.0043577436806609025,Combined,XGBoost
txsa_r_low,0.004323618710273034,Combined,XGBoost
atrskshs,0.004302624610484134,Combined,XGBoost
lsfprat,0.004194850779380986,Combined,XGBoost
incarctn,0.004164260849136999,Combined,XGBoost
txbili_d_r,0.004099225675372426,Combined,XGBoost
txtg_r,0.0040989540493918284,Combined,XGBoost
txvent,0.00408189843915351,Combined,XGBoost
txpbnp_r,0.003969711842503198,Combined,XGBoost
chd_avsep,0.0038717587493466744,Combined,XGBoost
hxsurg,0.0038242688987287885,Combined,XGBoost
lhdl_r,0.0038077670053412414,Combined,XGBoost
lspbnp_r,0.0037961832663654565,Combined,XGBoost
mthrhiv,0.003749855741140165,Combined,XGBoost
chd_bivc,0.0037186316273939684,Combined,XGBoost
txbili_t_r_high,0.0036573431833065804,Combined,XGBoost
lsmilrin,0.0036459038962648755,Combined,XGBoost
hemdilut,0.003643220716044858,Combined,XGBoost
lsbram,0.003636147088959539,Combined,XGBoost
ttndr,0.0036358071614377347,Combined,XGBoost
don_nsyn,0.0036240214725354975,Combined,XGBoost
txbram,0.003610339034086421,Combined,XGBoost
txcrp_r,0.00360050952814061,Combined,XGBoost
hxfail,0.0035943653989847445,Combined,XGBoost
txsvcsat,0.0035524523806829238,Combined,XGBoost
txicu,0.0035379800036803113,Combined,XGBoost
lsrhfcl,0.0035329743431538187,Combined,XGBoost
txldl_r,0.003528468878122008,Combined,XGBoost
lsbili_d_r,0.003516995270669087,Combined,XGBoost
txinhosp,0.0035154963771899727,Combined,XGBoost
txbrp,0.0034908844327890616,Combined,XGBoost
cmv,0.0034659327954414568,Combined,XGBoost
donor_age,0.003462720945879758,Combined,XGBoost
dptxangi,0.0034563779973694198,Combined,XGBoost
lssvcsat,0.0034165895630905692,Combined,XGBoost
dhxnone,0.0034033503045191086,Combined,XGBoost
hxaicd,0.0032691951542068586,Combined,XGBoost
spschool,0.0032691161994241632,Combined,XGBoost
txhdl_r,0.0032437141245868417,Combined,XGBoost
chd_patr,0.003198486382939175,Combined,XGBoost
txidtsys,0.0031750179761681806,Combined,XGBoost
dcircod,0.003131625636541904,Combined,XGBoost
weight_donor,0.0031151026739464657,Combined,XGBoost
statlist,0.0030588555647303407,Combined,XGBoost
chd_hlh,0.003042983006085053,Combined,XGBoost
txcstat,0.003041547506701516,Combined,XGBoost
chd_avd,0.0029994198205483334,Combined,XGBoost
hxfonlvr_bin,0.0029918648068953282,Combined,XGBoost
chd_aspl,0.0029452126652111162,Combined,XGBoost
chd_heter,0.0029281640174782897,Combined,XGBoost
chd_triat,0.002912664843481429,Combined,XGBoost
txvad,0.0028936840157170905,Combined,XGBoost
riskothr,0.0028795418018894054,Combined,XGBoost
pacemake,0.0028777672878597628,Combined,XGBoost
atrskhst,0.002830783959347466,Combined,XGBoost
lsprocm,0.002807935431033951,Combined,XGBoost
txchol_r,0.002790806902261537,Combined,XGBoost
txbpam,0.0027846343986819132,Combined,XGBoost
txpalb_r,0.002774984746813125,Combined,XGBoost
lsttperf,0.0027666319977053366,Combined,XGBoost
chd_pa,0.002728473864557514,Combined,XGBoost
chd_tof,0.002726028328919476,Combined,XGBoost
