feature,importance,cohort,model
txvad,0.0022777920741060935,Myocardio,AORSF
dtime,0.0022207046576911272,Myocardio,AORSF
txtdsxm,0.0022111166190197148,Myocardio,AORSF
egfr_tx_cat,0.002187312673001697,Myocardio,AORSF
txaboinc,0.0021527925639619095,Myocardio,AORSF
txsa_r_low,0.0017189502670713736,Myocardio,AORSF
age_txpl_months,0.0016938117772502706,Myocardio,AORSF
lsnyha,0.0016902449359745692,Myocardio,AORSF
txcntry,0.001442424061352213,Myocardio,AORSF
prim_dx,0.0014252017704229575,Myocardio,AORSF
lscntry,0.001354743468833894,Myocardio,AORSF
efind,0.0013465421898164493,Myocardio,AORSF
weight_donor,0.0013294086462263357,Myocardio,AORSF
txivino,0.001312567719910645,Myocardio,AORSF
lsfprat,0.0013055585355651728,Myocardio,AORSF
txldpt,0.0013004501654173125,Myocardio,AORSF
txnomcsd,0.0012754888728672882,Myocardio,AORSF
ltg_r,0.0012737583930943364,Myocardio,AORSF
don_t4,0.001245450547635493,Myocardio,AORSF
slvent,0.001195611353446206,Myocardio,AORSF
txbaosat,0.001182124062993664,Myocardio,AORSF
txbdsxn,0.0011817007500637433,Myocardio,AORSF
donspxm,0.0011694822444561156,Myocardio,AORSF
ecmo_combined,0.001151058948235663,Myocardio,AORSF
lbun_r,0.0011438495616384388,Myocardio,AORSF
hxchb,0.0011366552719927125,Myocardio,AORSF
txtg_r,0.0011349254266449754,Myocardio,AORSF
slnomcsd,0.001126851417362188,Myocardio,AORSF
lbnp,0.001118996493879249,Myocardio,AORSF
egfr_listing_cat,0.0011016293970897081,Myocardio,AORSF
txicu,0.0010972276632498868,Myocardio,AORSF
pacemake,0.0010605334273020356,Myocardio,AORSF
age_txpl,0.0010489622760889365,Myocardio,AORSF
age_listing,0.001030929570826175,Myocardio,AORSF
dmhhyten,0.0010272154268364307,Myocardio,AORSF
height_donor,0.0010267862005509574,Myocardio,AORSF
lsbram,0.0010258222591088258,Myocardio,AORSF
slicu,9.965546191941003e-4,Myocardio,AORSF
cmv,9.868283720570502e-4,Myocardio,AORSF
donor_age,9.847490962886839e-4,Myocardio,AORSF
lsbrp,9.669149809004543e-4,Myocardio,AORSF
txinhosp,9.433113656330208e-4,Myocardio,AORSF
txbili_t_r,9.393442330355214e-4,Myocardio,AORSF
hxcpr,9.230528109856042e-4,Myocardio,AORSF
height_listing,9.077974283576843e-4,Myocardio,AORSF
statlist,9.033447347320067e-4,Myocardio,AORSF
slhosp,8.890778911894088e-4,Myocardio,AORSF
txbun_r,8.886908170243955e-4,Myocardio,AORSF
txsvcsat,8.84952480188582e-4,Myocardio,AORSF
txbram,8.732553661288745e-4,Myocardio,AORSF
bmi_txpl,8.634784926648115e-4,Myocardio,AORSF
dhxnone,8.564398271362079e-4,Myocardio,AORSF
hxaf_fl,8.511635710624404e-4,Myocardio,AORSF
lsfprab,8.350243089832131e-4,Myocardio,AORSF
don_t3,8.312287870360085e-4,Myocardio,AORSF
lsmilrin,8.234254584645983e-4,Myocardio,AORSF
cpr,8.212313249101682e-4,Myocardio,AORSF
hxrenins,8.139686057197993e-4,Myocardio,AORSF
txsa_r,8.136683225552839e-4,Myocardio,AORSF
weight_listing,8.123071159687064e-4,Myocardio,AORSF
txtcdc,8.068551047176366e-4,Myocardio,AORSF
don_vpr,7.993083295555525e-4,Myocardio,AORSF
slvad,7.905574016598116e-4,Myocardio,AORSF
hbsab,7.81078287893884e-4,Myocardio,AORSF
txecmo,7.805101519493678e-4,Myocardio,AORSF
lsdcd,7.75655897008342e-4,Myocardio,AORSF
txbcdc,7.604015059429698e-4,Myocardio,AORSF
height_txpl,7.543779900363625e-4,Myocardio,AORSF
lvldl_r,7.444061644988188e-4,Myocardio,AORSF
hxarryth,7.430921584349361e-4,Myocardio,AORSF
slinods,7.394472926803859e-4,Myocardio,AORSF
hxtrans,7.18234735022171e-4,Myocardio,AORSF
txmcsd,6.969876423085932e-4,Myocardio,AORSF
lsbrs,6.907978220421269e-4,Myocardio,AORSF
dabotype,6.883935073720714e-4,Myocardio,AORSF
lchol_r,6.881056427393444e-4,Myocardio,AORSF
donisch,6.793988624278443e-4,Myocardio,AORSF
lshemo,6.729251778288234e-4,Myocardio,AORSF
cprmin,6.692786149360714e-4,Myocardio,AORSF
bicaval,6.629441405109095e-4,Myocardio,AORSF
txalt_high,6.492636474141396e-4,Myocardio,AORSF
lsaboinc,6.453814234037248e-4,Myocardio,AORSF
drisk,6.443926230748556e-4,Myocardio,AORSF
slivino,6.422944486281128e-4,Myocardio,AORSF
hxshock,6.371026551331714e-4,Myocardio,AORSF
txalt,6.364901230100289e-4,Myocardio,AORSF
sec_dx,6.362261661226633e-4,Myocardio,AORSF
lsbili_d_r,6.274716976818977e-4,Myocardio,AORSF
esteject,6.24719155753209e-4,Myocardio,AORSF
egfr_tx,6.19766395425494e-4,Myocardio,AORSF
lschool,6.197083686303692e-4,Myocardio,AORSF
lspalb_r,6.100902570394792e-4,Myocardio,AORSF
lshpo2,6.071122628586595e-4,Myocardio,AORSF
rabotype,6.019641563631058e-4,Myocardio,AORSF
txfcpra,6.005805885153016e-4,Myocardio,AORSF
txbili_t_r_high,5.949716217031238e-4,Myocardio,AORSF
lsrhfcl,5.941632679325125e-4,Myocardio,AORSF
durcarst,5.937549113951428e-4,Myocardio,AORSF
fracshor,5.928235684148118e-4,Myocardio,AORSF
lcreat_r,5.915242640474453e-4,Myocardio,AORSF
dcmv,5.902258223810655e-4,Myocardio,AORSF
lsbpam,5.875710850628353e-4,Myocardio,AORSF
slecmo,5.861380414635534e-4,Myocardio,AORSF
rdobdose,5.837241900936888e-4,Myocardio,AORSF
lsbpcw,5.828757701404564e-4,Myocardio,AORSF
hxsurg,5.807293101821818e-4,Myocardio,AORSF
hxvfib,5.784202218902814e-4,Myocardio,AORSF
don_dop,5.76027723332343e-4,Myocardio,AORSF
txvent,5.735171339170426e-4,Myocardio,AORSF
lsbaosat,5.73335415825577e-4,Myocardio,AORSF
atrial,5.697214352464256e-4,Myocardio,AORSF
dhbsab,5.652790043022235e-4,Myocardio,AORSF
lcrp_r,5.647379818320909e-4,Myocardio,AORSF
hxvtach,5.64133863488817e-4,Myocardio,AORSF
lebvpcr,5.607846277965916e-4,Myocardio,AORSF
dptxecho,5.603649688813543e-4,Myocardio,AORSF
lsbco,5.580374315054662e-4,Myocardio,AORSF
txhemo,5.561095530244311e-4,Myocardio,AORSF
txbpcw,5.537144560435097e-4,Myocardio,AORSF
lpacebiv,5.503737315920766e-4,Myocardio,AORSF
debv,5.487443988147557e-4,Myocardio,AORSF
txcrp_r,5.487108226461048e-4,Myocardio,AORSF
don_epi,5.475171260297023e-4,Myocardio,AORSF
prm_list,5.403426931148148e-4,Myocardio,AORSF
hxmed,5.392801531953508e-4,Myocardio,AORSF
drhtype,5.376373018321465e-4,Myocardio,AORSF
lsalt,5.368028201879334e-4,Myocardio,AORSF
lhdl_r,5.36342004156028e-4,Myocardio,AORSF
ltxtrach,5.343429554654569e-4,Myocardio,AORSF
txcreat_r,5.289233189629725e-4,Myocardio,AORSF
lssvcsat,5.281436535959922e-4,Myocardio,AORSF
txhemagt,5.227625782898364e-4,Myocardio,AORSF
drpr,5.208442591276248e-4,Myocardio,AORSF
egfr_listing,5.20408714637997e-4,Myocardio,AORSF
lstp_r,5.194980395048971e-4,Myocardio,AORSF
txmilrin,5.178010383405283e-4,Myocardio,AORSF
lshemagt,5.111833312497794e-4,Myocardio,AORSF
weight_txpl,5.06962756052243e-4,Myocardio,AORSF
txast,5.014054290235386e-4,Myocardio,AORSF
txpbnp_r,4.995394352173963e-4,Myocardio,AORSF
ttrmax,4.960615563427156e-4,Myocardio,AORSF
lsprocm,4.959624118117536e-4,Myocardio,AORSF
don_oth,4.94958525328746e-4,Myocardio,AORSF
don_mil,4.942852213619236e-4,Myocardio,AORSF
txbun_r_high,4.940005687862031e-4,Myocardio,AORSF
status_txpl,4.889584642271635e-4,Myocardio,AORSF
lspbnp_r,4.878055844795048e-4,Myocardio,AORSF
tdsa,4.8271131820074205e-4,Myocardio,AORSF
tdsacl2,4.8204785382279593e-4,Myocardio,AORSF
lldl_r,4.782444810545899e-4,Myocardio,AORSF
hxneuro,4.7546684712490204e-4,Myocardio,AORSF
lsfpres,4.747691968091564e-4,Myocardio,AORSF
toxo,4.735516119324572e-4,Myocardio,AORSF
lscstat,4.7298883241391273e-4,Myocardio,AORSF
txbrs,4.6604668015337743e-4,Myocardio,AORSF
lsmshemo,4.657558297042955e-4,Myocardio,AORSF
don_nsyn,4.577411223263428e-4,Myocardio,AORSF
txdcd,4.564574857255736e-4,Myocardio,AORSF
hbcab,4.547758001807388e-4,Myocardio,AORSF
dhbsag,4.543244828336513e-4,Myocardio,AORSF
ter_dx,4.5255125176939167e-4,Myocardio,AORSF
txbpam,4.5242527107778224e-4,Myocardio,AORSF
tdsacl1,4.5052415254009216e-4,Myocardio,AORSF
dmhothr,4.4623525868889134e-4,Myocardio,AORSF
egfr_change,4.4589386867100323e-4,Myocardio,AORSF
lsbili_t_r,4.4559861152119464e-4,Myocardio,AORSF
spschool,4.434146143436873e-4,Myocardio,AORSF
lsfcpra,4.426811424601797e-4,Myocardio,AORSF
ebv,4.393134821678309e-4,Myocardio,AORSF
hxaicd,4.3691601236148095e-4,Myocardio,AORSF
lsast,4.360672690742217e-4,Myocardio,AORSF
lsttperf,4.351264540254988e-4,Myocardio,AORSF
txvldl_r,4.351204572903905e-4,Myocardio,AORSF
dhcab,4.3501560538126044e-4,Myocardio,AORSF
txbili_d_r,4.28837026286008e-4,Myocardio,AORSF
txldl_r,4.197119547492278e-4,Myocardio,AORSF
txpalb_r,4.156864493284963e-4,Myocardio,AORSF
dhbcab,4.106176560519153e-4,Myocardio,AORSF
dmhinf,4.0991970503710635e-4,Myocardio,AORSF
don_levo,4.087043083920675e-4,Myocardio,AORSF
txchol_r,4.0810506328204884e-4,Myocardio,AORSF
hxfail,4.041498655369973e-4,Myocardio,AORSF
hxmalig,4.034082166782598e-4,Myocardio,AORSF
txbci,4.0291545164824636e-4,Myocardio,AORSF
roprdsc1,3.991327318344565e-4,Myocardio,AORSF
lsldpt,3.92899670591529e-4,Myocardio,AORSF
hxgiot,3.8851767903650336e-4,Myocardio,AORSF
txbrp,3.866842955438328e-4,Myocardio,AORSF
hxgi,3.788528303650513e-4,Myocardio,AORSF
hlatxpre,3.760743280647838e-4,Myocardio,AORSF
slddpsc,3.712269337883884e-4,Myocardio,AORSF
hxotresp,3.641960580235705e-4,Myocardio,AORSF
dtoxo,3.637027130290267e-4,Myocardio,AORSF
hxpuldis,3.605791772185598e-4,Myocardio,AORSF
txedp,3.6045486350836525e-4,Myocardio,AORSF
lsbci,3.581543868133063e-4,Myocardio,AORSF
txfontp,3.576480986546113e-4,Myocardio,AORSF
aaschool,3.525493055298473e-4,Myocardio,AORSF
atrskshs,3.4155505574234846e-4,Myocardio,AORSF
txbco,3.405842141743071e-4,Myocardio,AORSF
dhiv,3.3931976197878945e-4,Myocardio,AORSF
atrskhst,3.349938542865244e-4,Myocardio,AORSF
txidtsys,3.3106948398597995e-4,Myocardio,AORSF
lsnox,3.201847520074866e-4,Myocardio,AORSF
donspecp,3.199175779993227e-4,Myocardio,AORSF
dptxangi,3.193838244147893e-4,Myocardio,AORSF
don_dob,3.1741077759748853e-4,Myocardio,AORSF
rdopdose,3.1381920263993853e-4,Myocardio,AORSF
lsvaso,3.134782853511454e-4,Myocardio,AORSF
hxmet,3.0826443665637907e-4,Myocardio,AORSF
txo2,3.065803546055095e-4,Myocardio,AORSF
txcstat,3.0266165770499254e-4,Myocardio,AORSF
techunk,3.024477289093967e-4,Myocardio,AORSF
txepine,2.934004142481273e-4,Myocardio,AORSF
txbnp,2.898350243456136e-4,Myocardio,AORSF
donspac,2.885125406962106e-4,Myocardio,AORSF
hxpermyo,2.8700421333446386e-4,Myocardio,AORSF
ttndr,2.855530101236089e-4,Myocardio,AORSF
dhxunk,2.7020257728868825e-4,Myocardio,AORSF
txno2,2.697843209404754e-4,Myocardio,AORSF
dmhdiab,2.650787833238958e-4,Myocardio,AORSF
dmechod,2.646105890923346e-4,Myocardio,AORSF
draboat,2.645981610080812e-4,Myocardio,AORSF
incarctn,2.6276307934726536e-4,Myocardio,AORSF
txtp_r,2.619293105892765e-4,Myocardio,AORSF
hxdysdia,2.550810612181046e-4,Myocardio,AORSF
hxcva,2.5466300655646823e-4,Myocardio,AORSF
riskothr,2.481023103799404e-4,Myocardio,AORSF
hxsyn,2.437957626882205e-4,Myocardio,AORSF
ttmaxvo2,2.4019223614065653e-4,Myocardio,AORSF
lsdobut,2.3942168431091533e-4,Myocardio,AORSF
hxprenat,2.348107026673611e-4,Myocardio,AORSF
lcmvpcr,2.3062916474284452e-4,Myocardio,AORSF
txhdl_r,2.274603087459008e-4,Myocardio,AORSF
txdopa,2.2446854870328115e-4,Myocardio,AORSF
dcircod,2.2059987228113283e-4,Myocardio,AORSF
neuroth,2.146138436118468e-4,Myocardio,AORSF
lsdopa,2.124698337947171e-4,Myocardio,AORSF
pcage,2.1081442768328178e-4,Myocardio,AORSF
lsnitrop,1.9323781217522312e-4,Myocardio,AORSF
txnpruss,1.8455962452559098e-4,Myocardio,AORSF
hxresp,1.7921005327571664e-4,Myocardio,AORSF
mthrhiv,1.7912399745689684e-4,Myocardio,AORSF
abseptmo,1.7280401929506601e-4,Myocardio,AORSF
lssab_r,1.6631604131874068e-4,Myocardio,AORSF
hxnoonan,1.620382068286304e-4,Myocardio,AORSF
hemdilut,1.5860411931868106e-4,Myocardio,AORSF
hbsag,1.538910499012329e-4,Myocardio,AORSF
mitreg,1.5363936832862214e-4,Myocardio,AORSF
hxlymleu,1.5144178882137553e-4,Myocardio,AORSF
primels,1.4830091901155634e-4,Myocardio,AORSF
hcab,1.4765602725863987e-4,Myocardio,AORSF
hiscanc,1.4625983591888049e-4,Myocardio,AORSF
cancpro,1.4594617462542896e-4,Myocardio,AORSF
hxdiab,1.4263466649735374e-4,Myocardio,AORSF
tdsaunk,1.4217828534184845e-4,Myocardio,AORSF
dhxinsul,1.384217994721131e-4,Myocardio,AORSF
rpr,1.2866617311396245e-4,Myocardio,AORSF
dptxnorm,1.189029579409517e-4,Myocardio,AORSF
hxdmd,1.0921235353183145e-4,Myocardio,AORSF
hxmit,1.0569342046361926e-4,Myocardio,AORSF
dwma,1.0442921711993428e-4,Myocardio,AORSF
lspcmt,9.635515479919792e-5,Myocardio,AORSF
lpace,9.53167259385948e-5,Myocardio,AORSF
hxhep,9.472616432856543e-5,Myocardio,AORSF
lspgi,9.164525036414393e-5,Myocardio,AORSF
lssild,8.467312306286619e-5,Myocardio,AORSF
hxbeckmd,8.391734928479944e-5,Myocardio,AORSF
txdobut,7.180874960173103e-5,Myocardio,AORSF
lsnorepi,5.818554512723351e-5,Myocardio,AORSF
fwma,5.3578331594888864e-5,Myocardio,AORSF
