feature,importance,cohort,model
prim_dx,8.403450655731467,Myocardio,CatBoost
txicu,5.468736633272253,Myocardio,CatBoost
lldl_r,4.565680197133925,Myocardio,CatBoost
egfr_tx_cat,3.6642038433464057,Myocardio,CatBoost
rdobdose,3.6199942283088427,Myocardio,CatBoost
donor_age,3.469872087162648,Myocardio,CatBoost
txvad,3.4464974943812354,Myocardio,CatBoost
egfr_tx,3.288398762890424,Myocardio,CatBoost
txnomcsd,2.8789974952777415,Myocardio,CatBoost
don_epi,2.819048696412041,Myocardio,CatBoost
lcreat_r,2.8010309486797382,Myocardio,CatBoost
drpr,2.793713634459347,Myocardio,CatBoost
lvldl_r,2.731703316484108,Myocardio,CatBoost
weight_txpl,2.5776334983655302,Myocardio,CatBoost
txchol_r,2.524642654653741,Myocardio,CatBoost
lbun_r,2.486332536945675,Myocardio,CatBoost
txtdsxm,2.479261116643688,Myocardio,CatBoost
txvasopr,2.4462437057723427,Myocardio,CatBoost
hxmarfns,2.4005562395968782,Myocardio,CatBoost
txtcdc,2.396511117655312,Myocardio,CatBoost
txbdsxn,2.377240101419902,Myocardio,CatBoost
height_txpl,2.3681504370067814,Myocardio,CatBoost
weight_listing,2.341560930489471,Myocardio,CatBoost
txbun_r,2.229690504347889,Myocardio,CatBoost
lschool,2.187853713813148,Myocardio,CatBoost
lsrhfcl,2.160240045714934,Myocardio,CatBoost
ltg_r,2.147164360110397,Myocardio,CatBoost
hcab,2.092703304014229,Myocardio,CatBoost
roprdsc1,2.0656578280587885,Myocardio,CatBoost
rpr,2.014942765662381,Myocardio,CatBoost
hxmit,2.008842766035218,Myocardio,CatBoost
txsa_r,2.0054292483252687,Myocardio,CatBoost
toxo,1.9880349937848603,Myocardio,CatBoost
lsalt,1.9315339436529448,Myocardio,CatBoost
lsnyha,1.928732091973444,Myocardio,CatBoost
lhdl_r,1.9243510434812983,Myocardio,CatBoost
slivino,1.8277246519444839,Myocardio,CatBoost
lsbco,1.8252515047179376,Myocardio,CatBoost
