feature,importance,cohort,model
dmechod,10.883883813775348,Myocardio,RSF
lbnp,10.784269893713544,Myocardio,RSF
weight_txpl,10.575189788636429,Myocardio,RSF
ter_dx,10.506780150877846,Myocardio,RSF
lsast,9.205847591382051,Myocardio,RSF
egfr_tx,9.010603506482111,Myocardio,RSF
txtp_r,8.975048325316465,Myocardio,RSF
bmi_txpl,8.923089044377447,Myocardio,RSF
donisch,8.899149533162287,Myocardio,RSF
weight_listing,8.8437287003702,Myocardio,RSF
lstp_r,8.753845639303224,Myocardio,RSF
txbun_r,8.522331972109235,Myocardio,RSF
lsalt,8.496310950101194,Myocardio,RSF
txalt,8.450485437073478,Myocardio,RSF
lbun_r,8.375149290920627,Myocardio,RSF
donor_age,8.27111323239896,Myocardio,RSF
egfr_listing,8.246283806161978,Myocardio,RSF
egfr_change,8.208865733607077,Myocardio,RSF
durcarst,8.152173046950391,Myocardio,RSF
lcreat_r,8.138398551127965,Myocardio,RSF
txbili_t_r,8.009577267895171,Myocardio,RSF
age_listing,7.974211569097657,Myocardio,RSF
weight_donor,7.755658086336226,Myocardio,RSF
height_txpl,7.684080619816443,Myocardio,RSF
cprmin,7.6766914949772005,Myocardio,RSF
lsbrp,7.658357505082913,Myocardio,RSF
txcreat_r,7.568948005062091,Myocardio,RSF
txsa_r,7.515287954287413,Myocardio,RSF
age_txpl_months,7.391400154928508,Myocardio,RSF
lchol_r,7.2924990758982355,Myocardio,RSF
height_donor,7.219595434072459,Myocardio,RSF
age_txpl,7.173445863901512,Myocardio,RSF
height_listing,7.148575911996866,Myocardio,RSF
lsbili_t_r,7.11676849441785,Myocardio,RSF
dcircod,7.0436268381523695,Myocardio,RSF
txtg_r,6.784118665610912,Myocardio,RSF
lhdl_r,6.770139420934302,Myocardio,RSF
lsbrs,6.7602039767074755,Myocardio,RSF
lsbram,6.751225960732243,Myocardio,RSF
txast,6.695688921136407,Myocardio,RSF
lssab_r,6.228596666798862,Myocardio,RSF
lldl_r,6.219081372475598,Myocardio,RSF
ltg_r,6.167123643482113,Myocardio,RSF
esteject,5.941947309005874,Myocardio,RSF
fracshor,5.657240258634681,Myocardio,RSF
txbrs,5.5029259119853196,Myocardio,RSF
lcrp_r,5.469915236310981,Myocardio,RSF
txbnp,4.944552573262173,Myocardio,RSF
prm_list,4.8575549884694516,Myocardio,RSF
lsfprab,4.8092644357035645,Myocardio,RSF
txbili_d_r,4.7230846478409445,Myocardio,RSF
txcrp_r,4.6780323571424445,Myocardio,RSF
lssvcsat,4.540083500550403,Myocardio,RSF
lsbaosat,4.399363844945436,Myocardio,RSF
lsbci,4.366251004580613,Myocardio,RSF
lsbpcw,4.345874788614447,Myocardio,RSF
txcstat,4.33226300571729,Myocardio,RSF
txldl_r,4.321467911681921,Myocardio,RSF
lsbpam,4.266978426391415,Myocardio,RSF
txchol_r,4.253351692539685,Myocardio,RSF
lsbili_d_r,4.116335967898576,Myocardio,RSF
lvldl_r,4.081705820190351,Myocardio,RSF
sec_dx,4.063169275208887,Myocardio,RSF
lsbco,4.060695636393959,Myocardio,RSF
txtdsxm,4.0293162777447975,Myocardio,RSF
lscstat,3.9060273919225663,Myocardio,RSF
lspalb_r,3.8235590485623527,Myocardio,RSF
txbci,3.809890274339162,Myocardio,RSF
rabotype,3.8037419251748035,Myocardio,RSF
egfr_tx_cat,3.6943534165311727,Myocardio,RSF
lsfprat,3.6901054796445445,Myocardio,RSF
txbpam,3.6848352965301845,Myocardio,RSF
txbram,3.5951928702253135,Myocardio,RSF
txtcdc,3.5738725890317355,Myocardio,RSF
txhdl_r,3.519126257867553,Myocardio,RSF
dabotype,3.4782579701828906,Myocardio,RSF
statlist,3.4125155909732867,Myocardio,RSF
txbdsxn,3.3856471948580307,Myocardio,RSF
