feature,importance,cohort,model
hxtrach,12.211215435149947,Myocardio,Simple_Calculator
ltxtrach,2.0034003146952406,Myocardio,Simple_Calculator
ecmo_combined,1.0044239282003031,Myocardio,Simple_Calculator
slecmo,0.8518199667848155,Myocardio,Simple_Calculator
egfr_listing_catnormal,0.7606230716844317,Myocardio,Simple_Calculator
txalt_high,0.31975371340247893,Myocardio,Simple_Calculator
txfcpraDone,0.31405789394304917,Myocardio,Simple_Calculator
egfr_tx_catmoderate,0.3126155910061662,Myocardio,Simple_Calculator
txfcpraNot.Done,0.29153690384162856,Myocardio,Simple_Calculator
txecmo,0.28827693573818164,Myocardio,Simple_Calculator
egfr_tx_catMISSING,0.2857723237969354,Myocardio,Simple_Calculator
txvad,0.2765216206033449,Myocardio,Simple_Calculator
egfr_listing_catsevere,0.26246507902851757,Myocardio,Simple_Calculator
egfr_listing_catMISSING,0.24527419757288924,Myocardio,Simple_Calculator
egfr_tx_catnormal,0.17626820097082604,Myocardio,Simple_Calculator
egfr_listing_catmoderate,0.16605717324142158,Myocardio,Simple_Calculator
hxsurg,0.15742685709958515,Myocardio,Simple_Calculator
txsa_r_low,0.14928913711141395,Myocardio,Simple_Calculator
age_txpl,0.12405241846225641,Myocardio,Simple_Calculator
age_listing,0.11965338919400237,Myocardio,Simple_Calculator
lsfcpraDone,0.10382286083265001,Myocardio,Simple_Calculator
txsa_r,0.09574691074991457,Myocardio,Simple_Calculator
egfr_tx_catsevere,0.08903744064231982,Myocardio,Simple_Calculator
txbili_t_r_high,0.0771284763692755,Myocardio,Simple_Calculator
txvent,0.05573677093066303,Myocardio,Simple_Calculator
txtp_r,0.03474438998841677,Myocardio,Simple_Calculator
txpalb_r,0.020558793716065227,Myocardio,Simple_Calculator
egfr_listing,0.007523500831525086,Myocardio,Simple_Calculator
egfr_tx,0.006586321271923296,Myocardio,Simple_Calculator
egfr_change,0.006269460468885273,Myocardio,Simple_Calculator
txbili_t_r,0.004428849238272633,Myocardio,Simple_Calculator
lsfprab,0.00409098558692321,Myocardio,Simple_Calculator
lsfprat,0.0025381037911318366,Myocardio,Simple_Calculator
txalt,4.583494719071485e-4,Myocardio,Simple_Calculator
