feature,importance,cohort,model
txnomcsd,0.09342688816075982,Myocardio,XGBoost
ltxtrach,0.03304432658629466,Myocardio,XGBoost
txdcd,0.030669536494099574,Myocardio,XGBoost
durcarst,0.030183889972918876,Myocardio,XGBoost
age_listing,0.024438233116952455,Myocardio,XGBoost
hxpb,0.02365728495408361,Myocardio,XGBoost
txsa_r,0.0217998670175644,Myocardio,XGBoost
txalt,0.02149368410064255,Myocardio,XGBoost
lstp_r,0.02128122667883078,Myocardio,XGBoost
lsalt,0.019869451439022183,Myocardio,XGBoost
lsast,0.018158628136965494,Myocardio,XGBoost
weight_listing,0.01815107993737411,Myocardio,XGBoost
age_txpl,0.017368184895953865,Myocardio,XGBoost
txmilrin,0.016699444174036383,Myocardio,XGBoost
txast,0.015134197757196557,Myocardio,XGBoost
lssab_r,0.014763923970213007,Myocardio,XGBoost
egfr_change,0.014296804827783425,Myocardio,XGBoost
txbun_r,0.013961155275388803,Myocardio,XGBoost
lsbpcw,0.013582376752068128,Myocardio,XGBoost
txtp_r,0.013377379855858322,Myocardio,XGBoost
cprmin,0.013280391521546007,Myocardio,XGBoost
lbun_r,0.013057535605742689,Myocardio,XGBoost
height_listing,0.013008851832671904,Myocardio,XGBoost
lbnp,0.012800435898168643,Myocardio,XGBoost
sec_dx,0.012050773187293248,Myocardio,XGBoost
donisch,0.011961160596321942,Myocardio,XGBoost
lcreat_r,0.011870900894921634,Myocardio,XGBoost
mthrhiv,0.011802979313802218,Myocardio,XGBoost
egfr_tx,0.011800920226325135,Myocardio,XGBoost
prim_dx,0.011535005826428413,Myocardio,XGBoost
bmi_txpl,0.011393901566876348,Myocardio,XGBoost
lsfprat,0.011377276760183224,Myocardio,XGBoost
lchol_r,0.011123908544636062,Myocardio,XGBoost
lsbpam,0.011093623403251544,Myocardio,XGBoost
txbili_t_r,0.010959463877919634,Myocardio,XGBoost
txcrp_r,0.010840206195768901,Myocardio,XGBoost
ltg_r,0.010837046638989285,Myocardio,XGBoost
lldl_r,0.010481781402713873,Myocardio,XGBoost
esteject,0.010436755837816034,Myocardio,XGBoost
atrskshs,0.010364730727712258,Myocardio,XGBoost
lsbci,0.009710385177471309,Myocardio,XGBoost
txbnp,0.009680883130928773,Myocardio,XGBoost
lebvpcr,0.009632241216526142,Myocardio,XGBoost
lssvcsat,0.00926939604482337,Myocardio,XGBoost
txcreat_r,0.009075205443187974,Myocardio,XGBoost
neuroth,0.008451541452610234,Myocardio,XGBoost
lsfprab,0.008441650295190346,Myocardio,XGBoost
lsbili_t_r,0.008339814080849179,Myocardio,XGBoost
weight_donor,0.008281012683454762,Myocardio,XGBoost
lsbco,0.008266147460169435,Myocardio,XGBoost
lsbrs,0.008205765565923619,Myocardio,XGBoost
txdopa,0.008133874482488,Myocardio,XGBoost
hxfail,0.007921900647136675,Myocardio,XGBoost
egfr_listing,0.007603682016833826,Myocardio,XGBoost
hxaicd,0.007561486942691941,Myocardio,XGBoost
txidtsys,0.007545308312316252,Myocardio,XGBoost
lsbram,0.007314688254008584,Myocardio,XGBoost
hxvfib,0.007313061869161185,Myocardio,XGBoost
age_txpl_months,0.007291348069421843,Myocardio,XGBoost
fracshor,0.007060162381074488,Myocardio,XGBoost
injdrugs,0.006985812502048743,Myocardio,XGBoost
txcstat,0.006778613520676746,Myocardio,XGBoost
draboat,0.006743463474716846,Myocardio,XGBoost
ter_dx,0.006357019369401201,Myocardio,XGBoost
don_levo,0.006356984192381315,Myocardio,XGBoost
lsbili_d_r,0.006336655291791997,Myocardio,XGBoost
tdsacl1,0.00621589098899771,Myocardio,XGBoost
hxrenins,0.006141232896762019,Myocardio,XGBoost
lshemo,0.005867289202187004,Myocardio,XGBoost
hxchb,0.005635831571889164,Myocardio,XGBoost
txtg_r,0.005586300724280046,Myocardio,XGBoost
lpacebiv,0.005580568206442919,Myocardio,XGBoost
slivino,0.005567824962680203,Myocardio,XGBoost
lcrp_r,0.00556158693232404,Myocardio,XGBoost
height_donor,0.005491852670168914,Myocardio,XGBoost
height_txpl,0.005481881681280631,Myocardio,XGBoost
txhemo,0.00547555710841384,Myocardio,XGBoost
txbci,0.005361664447885295,Myocardio,XGBoost
donor_age,0.005275026651122113,Myocardio,XGBoost
incarctn,0.005218122265566926,Myocardio,XGBoost
cpr,0.00501242287717713,Myocardio,XGBoost
txldl_r,0.004989832417583987,Myocardio,XGBoost
txvad,0.004846336137517466,Myocardio,XGBoost
lsdcd,0.004842685443664258,Myocardio,XGBoost
lsttperf,0.00466199939708396,Myocardio,XGBoost
txbili_d_r,0.004652674963239403,Myocardio,XGBoost
toxo,0.004650689288247398,Myocardio,XGBoost
hemdilut,0.0046081618813097885,Myocardio,XGBoost
txbco,0.004589738246879054,Myocardio,XGBoost
txchol_r,0.00457090271779184,Myocardio,XGBoost
dmhhyten,0.00453796132203734,Myocardio,XGBoost
lsrhfcl,0.004458879564365157,Myocardio,XGBoost
txsa_r_low,0.004337664160214335,Myocardio,XGBoost
txbpcw,0.004335934540304977,Myocardio,XGBoost
dhbsab,0.004276911058972394,Myocardio,XGBoost
weight_txpl,0.00403646668679204,Myocardio,XGBoost
don_t3,0.004000005613615355,Myocardio,XGBoost
don_epi,0.003961547660438936,Myocardio,XGBoost
txbrp,0.003910488104463369,Myocardio,XGBoost
hxgiot,0.003909867671647435,Myocardio,XGBoost
lsnorepi,0.0038851319139119093,Myocardio,XGBoost
debv,0.0038799640830895757,Myocardio,XGBoost
txfcpra,0.003791721519044396,Myocardio,XGBoost
txbpam,0.0037256714854062368,Myocardio,XGBoost
txivino,0.00362368698652719,Myocardio,XGBoost
dcircod,0.0036204087960290945,Myocardio,XGBoost
txbrs,0.00360682325683078,Myocardio,XGBoost
txo2,0.003576312858189326,Myocardio,XGBoost
txmcsd,0.0035426804930716446,Myocardio,XGBoost
txecmo,0.0034902010324600555,Myocardio,XGBoost
hlatxpre,0.0034133737222440167,Myocardio,XGBoost
txbaosat,0.0034025289431543694,Myocardio,XGBoost
lhdl_r,0.003397383890454448,Myocardio,XGBoost
don_t4,0.0033835864827339492,Myocardio,XGBoost
txhdl_r,0.0033723395034804806,Myocardio,XGBoost
hxaf_fl,0.003311755241727256,Myocardio,XGBoost
txtcdc,0.0032628506753647037,Myocardio,XGBoost
txldpt,0.003251312219207782,Myocardio,XGBoost
txvldl_r,0.0032505805000038416,Myocardio,XGBoost
lsfcpra,0.003223356214738196,Myocardio,XGBoost
efind,0.0031664400451209295,Myocardio,XGBoost
txbcdc,0.0031145520162749376,Myocardio,XGBoost
statlist,0.0030744045939940625,Myocardio,XGBoost
spschool,0.0030201991241668013,Myocardio,XGBoost
don_dop,0.003011464135740474,Myocardio,XGBoost
txicu,0.0029774070572612904,Myocardio,XGBoost
lsprocm,0.002976977709821534,Myocardio,XGBoost
donspecp,0.002975988832367403,Myocardio,XGBoost
hxnoonan,0.0029719119261429716,Myocardio,XGBoost
lsbrp,0.0029058171264375646,Myocardio,XGBoost
drisk,0.002829269958038415,Myocardio,XGBoost
slnomcsd,0.0027795951952409455,Myocardio,XGBoost
ebv,0.0027692225947002587,Myocardio,XGBoost
hxsurg,0.002744768603465126,Myocardio,XGBoost
lsbaosat,0.00274332680396639,Myocardio,XGBoost
dcmv,0.0027083843900509975,Myocardio,XGBoost
hbsag,0.00269104971425553,Myocardio,XGBoost
don_nsyn,0.002686770529204623,Myocardio,XGBoost
ttndr,0.0026803499333985835,Myocardio,XGBoost
