feature,importance,Cohort,Model
bmi_txpl,59.09364240923864,CHD,RSF
egfr_tx,54.26831948384237,CHD,RSF
weight_txpl,52.752991619389114,CHD,RSF
age_txpl,51.7590757860797,CHD,RSF
age_listing,50.61049487101353,CHD,RSF
txalt,50.03727908243729,CHD,RSF
txast,49.89670698250551,CHD,RSF
height_txpl,48.621322514679015,CHD,RSF
txtp_r,45.00955430929205,CHD,RSF
txsa_r,44.48979168318924,CHD,RSF
txcreat_r,42.380002738276296,CHD,RSF
txbili_t_r,42.1894504132876,CHD,RSF
lsfprat,25.413119976486612,CHD,RSF
txbili_d_r,21.364697921033578,CHD,RSF
txpalb_r,13.61976935943809,CHD,RSF
chd_hlh,9.950396038642836,CHD,RSF
hxfail,6.880746499283908,CHD,RSF
txecmo,6.845057442975732,CHD,RSF
txvent,6.58356497655631,CHD,RSF
txvad,5.62460275440412,CHD,RSF
slvent,5.2582747108785695,CHD,RSF
hxcpr,5.212800534541005,CHD,RSF
lsfcpra,4.7104172351048845,CHD,RSF
txfcpra,4.131072690185517,CHD,RSF
hxsurg,3.5973883163251923,CHD,RSF
donspac,3.434490887375649,CHD,RSF
hlatxpre,3.420052708663603,CHD,RSF
hxrenins,3.165836014263716,CHD,RSF
slnomcsd,3.060583531008252,CHD,RSF
slvad,2.4609446787719844,CHD,RSF
hxshock,2.3582723452162195,CHD,RSF
slecmo,2.2992339519944758,CHD,RSF
hxfonlvr,2.209727784037442,CHD,RSF
hxdysdia,2.111309663263819,CHD,RSF
hxtrach,2.0644141394874715,CHD,RSF
ltxtrach,1.504664456911932,CHD,RSF
txecmo,0.012078316038049248,CHD,AORSF
txsa_r,0.007610230178906549,CHD,AORSF
txast,0.00684306313004889,CHD,AORSF
txvent,0.006276387721777167,CHD,AORSF
age_listing,0.005360114059861496,CHD,AORSF
txalt,0.005116996749762339,CHD,AORSF
height_txpl,0.0036547769120146936,CHD,AORSF
hxdysdia,0.0034321345459591484,CHD,AORSF
age_txpl,0.0034198427732138434,CHD,AORSF
lsfprat,0.003290722677998662,CHD,AORSF
weight_txpl,0.0032698587640334065,CHD,AORSF
hxsurg,0.0028472222353743844,CHD,AORSF
txcreat_r,0.0027419564090441426,CHD,AORSF
bmi_txpl,0.0027090003571634998,CHD,AORSF
txvad,0.0023896440358573815,CHD,AORSF
hlatxpre,0.0022119587591668054,CHD,AORSF
chd_hlh,0.0020300712244430757,CHD,AORSF
txbili_t_r,0.0019592258721449415,CHD,AORSF
egfr_tx,0.0019458836909064634,CHD,AORSF
hxcpr,0.0019255485516786206,CHD,AORSF
slnomcsd,0.0018255513197099266,CHD,AORSF
txtp_r,0.0018143097031438954,CHD,AORSF
slecmo,0.0017021382764144447,CHD,AORSF
donspac,0.0016960995237359834,CHD,AORSF
hxtrach,0.0014224597485219643,CHD,AORSF
hxrenins,0.0013877403059607096,CHD,AORSF
hxshock,0.0013332793372832262,CHD,AORSF
txbili_d_r,0.0012945760869074085,CHD,AORSF
txpalb_r,0.00128640102359421,CHD,AORSF
slvad,0.0012495496991420617,CHD,AORSF
hxfonlvr,0.001209498531431119,CHD,AORSF
hxfail,0.0011591432157991048,CHD,AORSF
