Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits,feature,importance,Rank,Base_Feature,Category,Potential_Intervention,Modifiability,Best_Model
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txsa_r,10.478127141982368,1,txsa,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txast,8.442434963456552,2,txast,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,lsast,8.159524983592608,3,lsast,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,lstp_r,8.066732241928742,4,lstp,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,lcreat_r,8.028576438640588,5,lcreat,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txcreat_r,7.966169955447401,6,txcreat,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,lsalt,7.953995640582195,7,lsalt,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txbili_t_r,7.400405752608034,8,txbili,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txalt,7.367040498207713,9,txalt,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txtp_r,7.244405748013924,10,txtp,NA,NA,NA,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,txvad,5.90506076729739,11,txvad,Cardiac,VAD support,Partially Modifiable,CatBoost
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50,weight_listing,5.135197973516125,12,weight,NA,NA,NA,CatBoost
