feature,importance,Cohort,Model
weight_txpl,45.02154941894131,MyoCardio,RSF
egfr_tx,43.6391419984781,MyoCardio,RSF
bmi_txpl,42.87761522118201,MyoCardio,RSF
age_listing,40.85465143301907,MyoCardio,RSF
age_txpl,38.90653444339667,MyoCardio,RSF
height_txpl,38.3213420095068,MyoCardio,RSF
txalt,38.027992902928744,MyoCardio,RSF
txtp_r,36.576557290953374,MyoCardio,RSF
txbili_t_r,35.30749172353883,MyoCardio,RSF
txcreat_r,35.18431240183292,MyoCardio,RSF
txast,34.760252477490965,MyoCardio,RSF
txsa_r,33.275307835892356,MyoCardio,RSF
txbili_d_r,19.787443819828024,MyoCardio,RSF
lsfprat,13.801189310088438,MyoCardio,RSF
txpalb_r,8.28964236862904,MyoCardio,RSF
txvad,6.362613765510936,MyoCardio,RSF
slvent,4.703207433143367,MyoCardio,RSF
hxdysdia,4.671641338729975,MyoCardio,RSF
hxfail,4.435838876022484,MyoCardio,RSF
hxcpr,4.3482308787570885,MyoCardio,RSF
slvad,4.193981060973464,MyoCardio,RSF
slnomcsd,4.0970693133633995,MyoCardio,RSF
txfcpra,3.6537643801203137,MyoCardio,RSF
hxsurg,3.536218713149205,MyoCardio,RSF
lsfcpra,3.5327822435199248,MyoCardio,RSF
txvent,3.3481480134440393,MyoCardio,RSF
hxshock,2.9379675627622848,MyoCardio,RSF
hlatxpre,2.815351518189676,MyoCardio,RSF
txecmo,2.5917201410336714,MyoCardio,RSF
slecmo,2.43685886694351,MyoCardio,RSF
ltxtrach,2.3491869002890247,MyoCardio,RSF
hxrenins,2.2536325006587794,MyoCardio,RSF
donspac,2.1808830493944633,MyoCardio,RSF
hxtrach,0.0017493179866642043,MyoCardio,RSF
txvad,0.012617214281002757,MyoCardio,AORSF
age_txpl,0.007481128338469118,MyoCardio,AORSF
slvent,0.006506633693506582,MyoCardio,AORSF
hxdysdia,0.0045744142996439075,MyoCardio,AORSF
txsa_r,0.004568653637167803,MyoCardio,AORSF
bmi_txpl,0.004386278790083146,MyoCardio,AORSF
height_txpl,0.0042407628255260454,MyoCardio,AORSF
age_listing,0.00408479555381608,MyoCardio,AORSF
weight_txpl,0.004017468389516466,MyoCardio,AORSF
slnomcsd,0.00397209742231351,MyoCardio,AORSF
lsfprat,0.003959014441319853,MyoCardio,AORSF
txecmo,0.0038876345072552066,MyoCardio,AORSF
txalt,0.00381966025258062,MyoCardio,AORSF
hxrenins,0.0035906048567201755,MyoCardio,AORSF
hxcpr,0.003444443258204554,MyoCardio,AORSF
hlatxpre,0.003265753718960712,MyoCardio,AORSF
slvad,0.0031972162735043174,MyoCardio,AORSF
txcreat_r,0.0028711264783781994,MyoCardio,AORSF
txtp_r,0.002749992538204551,MyoCardio,AORSF
txbili_t_r,0.0025894850446083117,MyoCardio,AORSF
hxshock,0.002489441639641911,MyoCardio,AORSF
ltxtrach,0.002232106767194124,MyoCardio,AORSF
txbili_d_r,0.002145760323694559,MyoCardio,AORSF
slecmo,0.0021457098024209326,MyoCardio,AORSF
txvent,0.001937241098716457,MyoCardio,AORSF
hxsurg,0.001913666639472798,MyoCardio,AORSF
txast,0.0015831729247407593,MyoCardio,AORSF
hxfail,0.0015822123179943714,MyoCardio,AORSF
txpalb_r,0.0015325049416659942,MyoCardio,AORSF
donspac,0.0012542346095168419,MyoCardio,AORSF
lsfcpra,8.10343267999284e-4,MyoCardio,AORSF
egfr_tx,8.00867834978088e-4,MyoCardio,AORSF
txfcpra,7.549132952094724e-4,MyoCardio,AORSF
txsa_r,16.641932805806757,MyoCardio,CatBoost
egfr_tx,10.55814845451222,MyoCardio,CatBoost
txalt,9.799423180572415,MyoCardio,CatBoost
txcreat_r,9.305077033966546,MyoCardio,CatBoost
txbili_t_r,8.225428270666752,MyoCardio,CatBoost
txvad,7.335739551613689,MyoCardio,CatBoost
txbili_d_r,7.180893686057553,MyoCardio,CatBoost
age_txpl,6.222333668737617,MyoCardio,CatBoost
bmi_txpl,6.020875763995832,MyoCardio,CatBoost
hxrenins,5.432819228076737,MyoCardio,CatBoost
weight_txpl,5.28350296973384,MyoCardio,CatBoost
txast,5.263293191660479,MyoCardio,CatBoost
height_txpl,5.170538837949464,MyoCardio,CatBoost
age_listing,5.098282980835147,MyoCardio,CatBoost
txtp_r,4.997612060918971,MyoCardio,CatBoost
hxdysdia,4.729338080748957,MyoCardio,CatBoost
lsfprat,3.647674353846982,MyoCardio,CatBoost
slvent,3.076219761373439,MyoCardio,CatBoost
hxcpr,2.4429483101116167,MyoCardio,CatBoost
slnomcsd,2.012393925500975,MyoCardio,CatBoost
txvent,1.587023739544812,MyoCardio,CatBoost
donspac,1.4741688031612326,MyoCardio,CatBoost
slvad,1.122236605128499,MyoCardio,CatBoost
slecmo,1.0793423628020968,MyoCardio,CatBoost
hxsurg,1.060962034062634,MyoCardio,CatBoost
hxshock,0.9609842454007668,MyoCardio,CatBoost
txpalb_r,0.9229002674444807,MyoCardio,CatBoost
txecmo,0.9091142628725501,MyoCardio,CatBoost
txfcpra,0.8063264561131144,MyoCardio,CatBoost
lsfcpra,0.7927045942071158,MyoCardio,CatBoost
hxfail,0.5981912763334913,MyoCardio,CatBoost
ltxtrach,0.49754568917499403,MyoCardio,CatBoost
hlatxpre,0.2790112895524648,MyoCardio,CatBoost
hxtrach,0.058853967805590296,MyoCardio,CatBoost
age_listing,0.12881960975869775,MyoCardio,XGBoost
age_txpl,0.07741476045459547,MyoCardio,XGBoost
txcreat_r,0.07589719351198779,MyoCardio,XGBoost
egfr_tx,0.0750378733264512,MyoCardio,XGBoost
txalt,0.06768303649894818,MyoCardio,XGBoost
txsa_r,0.06628773407544755,MyoCardio,XGBoost
txbili_t_r,0.05520915984781027,MyoCardio,XGBoost
txast,0.05263160841240139,MyoCardio,XGBoost
