Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits,feature,importance,Rank,Base_Feature,Category,Potential_Intervention,Modifiability,Best_Model
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txalt,16.49991381230535,1,txalt,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txecmo,10.223639453436617,2,txecmo,Cardiac,ECMO support,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txast,9.53717325087415,3,txast,Liver Function,Liver function monitoring,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txsa_r,7.835422970410989,4,txsa,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,egfr_tx,6.384779297582352,5,egfr,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,bmi_txpl,6.359835636188056,6,bmi,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,lsfprat,6.2665316938172735,7,lsfprat,Immunology,Flow PRA T-cell (desensitization possible),Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txtp_r,5.798751809298693,8,txtp,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,weight_txpl,5.63130175757955,9,weight,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,height_txpl,5.087690666809757,10,height,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txcreat_r,4.721685403463947,11,txcreat,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txbili_t_r,3.56655007882393,12,txbili,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,age_listing,3.2520252065352335,13,age,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txvent,3.0239277270520692,14,txvent,Respiratory,Ventilation weaning plan,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,age_txpl,2.6515637812641097,15,age,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,chd_hlh,2.5181175686414177,16,chd,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txbili_d_r,2.1957962985234696,17,txbili,NA,NA,NA,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,txfcpra,1.466043478578777,18,txfcpra,Immunology,PRA monitoring,Partially Modifiable,CatBoost
CHD,CatBoost,0.5686998188550094,0.029645344155599752,0.5167262325808943,0.619451876891357,50,slvent,1.236015803310794,19,slvent,Respiratory,Ventilation support,Partially Modifiable,CatBoost
