Cohort,Model,C_Index_Mean,C_Index_SD,C_Index_CI_Lower,C_Index_CI_Upper,n_splits
CHD,RSF,0.4432399488681237,0.027816418317510676,0.40122635294050657,0.5003993967931106,50
CHD,AORSF,0.420788275055913,0.02652591228571194,0.38055343992547214,0.47288522161469165,50
CHD,CatBoost,0.5579303263346621,0.027400850747087025,0.5066890882345344,0.6056354456188242,50
CHD,XGBoost,0.46624364587293216,0.029908336711277263,0.3963384242106824,0.5174600263341567,50
CHD,XGBoost_RF,0.4446329714463337,0.02925580916462834,0.3856370058604066,0.49914351646931715,50
MyoCardio,RSF,0.44210586308311994,0.0389019872157397,0.37221199223189017,0.4938119117648012,50
MyoCardio,AORSF,0.41482620194622344,0.03425354265293616,0.35475475615512786,0.4723503267462341,50
MyoCardio,CatBoost,0.5385140432469411,0.03368167318700572,0.47870940460801836,0.5960118939029291,50
MyoCardio,XGBoost,0.4427192353149037,0.03518177883113921,0.38350384581538866,0.5086344825561857,50
MyoCardio,XGBoost_RF,0.4367568598659939,0.03251277514605223,0.383042088952378,0.4997983386511031,50
