iter	Cox
0	-5968.80062
1	-5968.470846
2	-5968.19533
3	-5967.898471
4	-5967.588755
5	-5967.170521
6	-5966.855791
7	-5966.735973
8	-5966.027828
9	-5965.80773
10	-5965.541739
11	-5965.225931
12	-5965.03717
13	-5964.538108
14	-5964.191884
15	-5963.960275
16	-5963.775831
17	-5963.55244
18	-5963.357844
19	-5963.266592
20	-5963.088381
21	-5962.881089
22	-5962.777624
23	-5962.507063
24	-5962.133415
25	-5961.846962
26	-5961.574914
27	-5960.843694
28	-5960.639779
29	-5960.493444
30	-5959.962311
31	-5959.764338
32	-5959.604301
33	-5959.301014
34	-5959.390926
35	-5959.068814
36	-5959.133314
37	-5958.968086
38	-5958.717615
39	-5958.28817
40	-5958.029371
41	-5957.843901
42	-5957.774893
43	-5957.569084
44	-5957.402757
45	-5957.155009
46	-5957.029108
47	-5956.531072
48	-5956.270892
49	-5955.937478
50	-5955.721381
51	-5955.500534
52	-5955.35721
53	-5955.09136
54	-5954.687752
55	-5954.316182
56	-5954.309888
57	-5954.083475
58	-5953.794143
59	-5953.701644
60	-5953.525131
61	-5953.310349
62	-5953.227709
63	-5953.024192
64	-5952.704853
65	-5952.408023
66	-5952.168968
67	-5951.939613
68	-5951.74532
69	-5951.599593
70	-5951.499807
71	-5951.25554
72	-5951.094082
73	-5950.991525
74	-5950.983196
75	-5950.664976
76	-5950.608533
77	-5950.553133
78	-5950.320621
79	-5950.202249
80	-5950.002667
81	-5949.954292
82	-5949.983468
83	-5949.729922
84	-5949.567238
85	-5949.253073
86	-5949.206278
87	-5949.069928
88	-5948.913091
89	-5948.81847
90	-5948.644781
91	-5948.309083
92	-5948.075819
93	-5948.042673
94	-5947.712874
95	-5947.476921
96	-5947.18305
97	-5947.110448
98	-5946.970324
99	-5946.789368
100	-5946.355639
101	-5946.254179
102	-5946.10204
103	-5946.165285
104	-5946.152672
105	-5946.030865
106	-5945.961156
107	-5945.961871
108	-5945.606195
109	-5945.245363
110	-5945.256895
111	-5945.125485
112	-5944.971084
113	-5944.584328
114	-5944.488707
115	-5944.417509
116	-5944.322348
117	-5944.235066
118	-5944.125206
119	-5944.002915
120	-5943.87839
121	-5943.803912
122	-5943.551962
123	-5943.448962
124	-5943.258489
125	-5943.098381
126	-5943.070033
127	-5942.94648
128	-5942.746955
129	-5942.68348
130	-5942.410739
131	-5942.295481
132	-5942.118473
133	-5941.943353
134	-5941.812087
135	-5941.74832
136	-5941.636076
137	-5941.614807
138	-5941.766933
139	-5941.721163
140	-5941.592636
141	-5941.458621
142	-5941.256082
143	-5941.052368
144	-5940.892774
145	-5940.813683
146	-5940.685594
147	-5940.613336
148	-5940.364952
149	-5940.174001
150	-5940.114213
151	-5939.898797
152	-5939.627244
153	-5939.598678
154	-5939.380998
155	-5939.30882
156	-5939.224472
157	-5939.1589
158	-5939.067163
159	-5939.019492
160	-5938.720944
161	-5938.574322
162	-5938.536153
163	-5938.565742
164	-5938.323483
165	-5938.19042
166	-5937.993156
167	-5937.828328
168	-5937.650776
169	-5937.556814
170	-5937.586821
171	-5937.469183
172	-5937.488069
173	-5937.510082
174	-5937.410125
175	-5937.238834
176	-5937.142117
177	-5937.038463
178	-5936.86919
179	-5936.736542
180	-5936.705214
181	-5936.779874
182	-5936.75466
183	-5936.550435
184	-5936.394663
185	-5936.340832
186	-5936.077928
187	-5935.917339
188	-5935.796148
189	-5935.849154
190	-5935.904695
191	-5935.782792
192	-5935.765831
193	-5935.576769
194	-5935.474686
195	-5935.42488
196	-5935.160257
197	-5935.104691
198	-5935.001985
199	-5934.842986
200	-5934.842322
201	-5934.855427
202	-5934.779275
203	-5934.820612
204	-5934.748284
205	-5934.713035
206	-5934.668732
207	-5934.493825
208	-5934.226027
209	-5934.259031
210	-5934.337879
211	-5934.280845
212	-5934.244423
213	-5934.126786
214	-5934.038848
215	-5934.096536
216	-5933.973608
217	-5934.083206
218	-5934.179093
219	-5934.043226
220	-5934.244292
221	-5934.218842
222	-5934.168546
223	-5934.154701
224	-5934.014518
225	-5934.037557
226	-5933.9817
227	-5933.5441
228	-5933.319916
229	-5933.117019
230	-5932.965058
231	-5932.899799
232	-5932.85773
233	-5932.830498
234	-5932.795101
235	-5932.676838
236	-5932.745273
237	-5932.608512
238	-5932.542359
239	-5932.568743
240	-5932.548771
241	-5932.415475
242	-5932.170394
243	-5932.075474
244	-5932.175501
245	-5931.914009
246	-5932.002443
247	-5932.029125
248	-5932.096696
249	-5932.06953
250	-5932.081205
251	-5932.151424
252	-5932.044487
253	-5932.070126
254	-5931.933142
255	-5931.906185
256	-5931.769863
257	-5931.679949
258	-5931.517108
259	-5931.565445
260	-5931.364869
261	-5931.366931
262	-5931.342688
263	-5931.272414
264	-5931.134772
265	-5930.90878
266	-5930.647196
267	-5930.531321
268	-5930.448971
269	-5930.294928
270	-5930.066071
271	-5930.07742
272	-5930.047422
273	-5930.008674
274	-5929.866786
275	-5929.83506
276	-5929.395401
277	-5929.474861
278	-5929.305836
279	-5929.267505
280	-5928.998284
281	-5928.686561
282	-5928.442018
283	-5928.241392
284	-5928.186792
285	-5928.047895
286	-5927.759602
287	-5927.669538
288	-5927.79376
289	-5927.489036
290	-5927.429997
291	-5927.228033
292	-5927.095351
293	-5926.763109
294	-5926.557815
295	-5926.200115
296	-5926.205511
297	-5925.848993
298	-5925.861583
299	-5925.715486
300	-5925.600112
301	-5925.270035
302	-5925.315913
303	-5925.381889
304	-5925.054203
305	-5925.107923
306	-5924.986751
307	-5924.579866
308	-5924.569097
309	-5924.3673
310	-5924.396361
311	-5924.584749
312	-5924.559472
313	-5924.397994
314	-5924.267542
315	-5924.205152
316	-5924.201803
317	-5924.140488
318	-5923.959667
319	-5923.717744
320	-5923.460913
321	-5923.266632
322	-5923.305922
323	-5923.396942
324	-5923.210536
325	-5923.114244
326	-5922.906735
327	-5922.766648
328	-5922.87955
329	-5922.967302
330	-5922.740298
331	-5922.543459
332	-5922.374345
333	-5922.183095
334	-5922.120682
335	-5922.141394
336	-5921.90133
337	-5921.989178
338	-5921.882962
339	-5921.696132
340	-5921.66304
341	-5921.794838
342	-5921.600481
343	-5921.480408
344	-5921.337543
345	-5921.516702
346	-5920.842278
347	-5920.931599
348	-5920.711842
349	-5920.479363
350	-5920.312212
351	-5920.428409
352	-5920.369451
353	-5920.115419
354	-5919.946676
355	-5919.783151
356	-5919.819377
357	-5919.816746
358	-5919.530516
359	-5919.558065
360	-5919.418148
361	-5919.33306
362	-5919.281759
363	-5919.203571
364	-5919.030643
365	-5918.86045
366	-5918.721922
367	-5918.688116
368	-5918.505549
369	-5918.572225
370	-5918.353546
371	-5918.159118
372	-5918.013632
373	-5917.822212
374	-5917.63246
375	-5917.560583
376	-5917.539932
377	-5917.275099
378	-5917.100372
379	-5917.06567
380	-5916.913815
381	-5916.931234
382	-5916.767044
383	-5916.636109
384	-5916.426107
385	-5916.36845
386	-5916.274708
387	-5916.308642
388	-5916.122175
389	-5916.052212
390	-5915.960637
391	-5915.806758
392	-5915.664826
393	-5915.688692
394	-5915.702236
395	-5915.939471
396	-5916.050649
397	-5915.916999
398	-5915.678173
399	-5915.51469
400	-5915.451398
401	-5915.325146
402	-5915.248011
403	-5915.236282
404	-5915.070154
405	-5914.831017
406	-5914.880192
407	-5914.598624
408	-5914.498565
409	-5914.253966
410	-5914.365009
411	-5914.248268
412	-5914.299191
413	-5914.188353
414	-5913.946129
415	-5913.900543
416	-5913.858565
417	-5913.75841
418	-5913.701543
419	-5913.60959
420	-5913.585699
421	-5913.320531
422	-5913.305598
423	-5913.200592
424	-5913.261534
425	-5913.215017
426	-5913.357808
427	-5913.168153
428	-5913.175264
429	-5913.15458
430	-5913.217
431	-5913.13825
432	-5913.053763
433	-5913.098061
434	-5913.026201
435	-5912.946062
436	-5912.933497
437	-5913.019992
438	-5913.037836
439	-5912.977285
440	-5912.753072
441	-5912.676671
442	-5912.736871
443	-5912.69115
444	-5912.706115
445	-5912.738989
446	-5912.593619
447	-5912.442906
448	-5912.508328
449	-5912.326332
450	-5912.10123
451	-5911.995096
452	-5911.996465
453	-5912.064969
454	-5911.984185
455	-5911.746771
456	-5911.821603
457	-5912.004336
458	-5911.996449
459	-5912.076513
460	-5911.974986
461	-5911.976846
462	-5911.940526
463	-5911.865269
464	-5912.079463
465	-5911.962088
466	-5911.917251
467	-5911.928544
468	-5911.895894
469	-5912.000656
470	-5911.80119
471	-5911.816501
472	-5911.581144
473	-5911.616602
474	-5911.614564
475	-5911.661525
476	-5911.542259
477	-5911.568848
478	-5911.52685
479	-5911.292503
480	-5911.123829
481	-5911.172477
482	-5911.0812
483	-5911.306576
484	-5911.325365
485	-5911.346571
486	-5911.31438
487	-5911.103289
488	-5911.222294
489	-5911.306402
490	-5911.430078
491	-5911.322055
492	-5911.409203
493	-5911.435715
494	-5911.203537
495	-5911.169974
496	-5911.181533
497	-5911.16463
498	-5910.998554
499	-5911.128637
500	-5911.106397
501	-5911.007376
502	-5910.953477
503	-5910.890874
504	-5910.852206
505	-5911.008161
506	-5910.995503
507	-5911.025954
508	-5911.015917
509	-5910.8909
510	-5910.987081
511	-5911.133197
512	-5911.23176
513	-5911.325743
514	-5911.373799
515	-5911.326751
516	-5911.364888
517	-5911.407816
518	-5911.474217
519	-5911.465301
520	-5911.411586
521	-5911.192694
522	-5911.275034
523	-5911.230651
524	-5911.337174
525	-5911.342461
526	-5911.448925
527	-5911.341607
528	-5911.30024
529	-5911.246438
530	-5911.260081
531	-5911.361514
532	-5911.380124
533	-5911.403519
534	-5911.457218
535	-5911.365316
536	-5911.107273
537	-5911.133442
538	-5911.164434
539	-5910.930073
540	-5910.848173
541	-5910.848327
542	-5910.79887
543	-5910.837618
544	-5910.796521
545	-5910.84011
546	-5910.959496
547	-5910.852216
548	-5910.767745
549	-5910.748724
550	-5910.693091
551	-5910.742087
552	-5910.549456
553	-5910.424324
554	-5910.19903
555	-5910.205979
556	-5910.322514
557	-5910.282596
558	-5910.108502
559	-5910.046551
560	-5910.220454
561	-5910.304998
562	-5910.24943
563	-5910.200135
564	-5910.388611
565	-5910.580693
566	-5910.539072
567	-5910.605481
568	-5910.571607
569	-5910.533763
570	-5910.501962
571	-5910.476121
572	-5910.456158
573	-5910.659489
574	-5910.866255
575	-5910.988363
576	-5910.959241
577	-5910.832214
578	-5910.641988
579	-5910.853004
580	-5910.99017
581	-5911.204479
582	-5910.966037
583	-5911.183843
584	-5911.275719
585	-5911.251112
586	-5911.37866
587	-5911.507884
588	-5911.47961
589	-5911.382385
590	-5911.198851
591	-5911.195503
592	-5911.168441
593	-5911.143676
594	-5911.367752
595	-5911.595053
596	-5911.825542
597	-5912.059183
598	-5911.88073
599	-5912.117594
600	-5912.357544
601	-5912.461847
602	-5912.396508
603	-5912.640043
604	-5912.609685
605	-5912.713084
606	-5912.540637
607	-5912.648021
608	-5912.770078
609	-5913.017712
610	-5913.003273
611	-5913.253985
612	-5913.291619
613	-5913.27931
614	-5913.266386
615	-5913.34392
616	-5913.335807
617	-5913.435524
618	-5913.304218
619	-5913.313804
620	-5913.162514
621	-5913.237578
622	-5913.491567
623	-5913.325817
624	-5913.582802
625	-5913.597616
626	-5913.690483
627	-5913.676302
628	-5913.703097
629	-5913.962858
630	-5913.800253
631	-5914.048031
632	-5914.040681
633	-5914.03193
634	-5914.086719
635	-5914.352657
636	-5914.437822
637	-5914.706763
638	-5914.70319
639	-5914.70464
640	-5914.886888
641	-5914.961141
642	-5915.217859
643	-5915.060223
644	-5915.069069
645	-5915.234884
646	-5915.509834
647	-5915.608319
648	-5915.886165
649	-5915.732716
650	-5915.736887
651	-5916.01758
652	-5916.300834
653	-5916.586619
654	-5916.422999
655	-5916.540962
656	-5916.654684
657	-5916.69687
658	-5916.772404
659	-5916.733327
660	-5916.587943
661	-5916.596796
662	-5916.803012
663	-5916.807096
664	-5917.096595
665	-5917.106451
666	-5917.398505
667	-5917.364359
668	-5917.261454
669	-5917.344277
670	-5917.358542
671	-5917.354633
672	-5917.540042
673	-5917.716208
674	-5917.886987
675	-5917.979261
676	-5918.038302
677	-5918.334278
678	-5918.481771
679	-5918.751106
680	-5918.568541
681	-5918.868847
682	-5918.959747
683	-5919.119508
684	-5919.25057
685	-5919.553625
686	-5919.780095
687	-5919.841607
688	-5920.146596
689	-5920.251336
690	-5920.558995
691	-5920.867094
692	-5921.17727
693	-5921.00156
694	-5920.983784
695	-5921.296584
696	-5921.369703
697	-5921.505025
698	-5921.817807
699	-5922.098759
700	-5922.081885
701	-5922.113505
702	-5922.10686
703	-5922.116781
704	-5922.28139
705	-5922.381818
706	-5922.69895
707	-5922.708914
708	-5922.932916
709	-5922.764503
710	-5923.084451
711	-5923.406542
712	-5923.597226
713	-5923.921668
714	-5924.248196
715	-5924.326006
716	-5924.613438
717	-5924.942452
718	-5925.175659
719	-5925.246476
720	-5925.425166
721	-5925.419204
722	-5925.479973
723	-5925.605442
724	-5925.938532
725	-5926.267294
726	-5926.127643
727	-5926.210566
728	-5926.191754
729	-5926.527298
730	-5926.549982
731	-5926.738506
732	-5926.62844
733	-5926.460662
734	-5926.463603
735	-5926.802959
736	-5926.888905
737	-5926.978832
738	-5926.984595
739	-5926.593981
740	-5926.445898
741	-5926.524824
742	-5926.619836
743	-5926.628034
744	-5926.823603
745	-5926.905007
746	-5926.762852
747	-5926.855094
748	-5927.055631
749	-5927.400133
