iter	Passed	Remaining
0	207	413893
1	249	248963
2	292	194634
3	334	166825
4	376	150272
5	419	139347
6	462	131694
7	502	125027
8	544	120428
9	565	112497
10	604	109244
11	644	106812
12	685	104722
13	730	103657
14	771	102046
15	813	100866
16	856	99857
17	897	98848
18	938	97890
19	977	96730
20	1024	96535
21	1065	95792
22	1105	95014
23	1146	94375
24	1187	93777
25	1230	93385
26	1267	92621
27	1311	92368
28	1351	91862
29	1393	91522
30	1431	90942
31	1474	90684
32	1517	90422
33	1556	90004
34	1599	89778
35	1637	89346
36	1678	89047
37	1715	88594
38	1757	88357
39	1796	88017
40	1835	87724
41	1878	87577
42	1920	87393
43	1961	87178
44	2001	86963
45	2041	86709
46	2082	86513
47	2125	86423
48	2167	86321
49	2232	87051
50	2275	86941
51	2315	86747
52	2382	87519
53	2424	87371
54	2464	87154
55	2506	87026
56	2546	86798
57	2598	87003
58	2645	87039
59	2685	86837
60	2727	86710
61	2770	86607
62	2816	86604
63	2859	86495
64	2898	86275
65	2936	86059
66	2977	85907
67	3018	85767
68	3056	85549
69	3096	85376
70	3136	85213
71	3179	85130
72	3218	84970
73	3258	84815
74	3298	84669
75	3338	84526
76	3378	84365
77	3418	84227
78	3459	84112
79	3499	83981
80	3538	83840
81	3578	83702
82	3620	83618
83	3659	83460
84	3699	83350
85	3738	83211
86	3785	83229
87	3823	83078
88	3866	83018
89	3906	82900
90	3945	82761
91	3985	82647
92	4024	82523
93	4064	82412
94	4102	82260
95	4142	82167
96	4182	82049
97	4224	81999
98	4263	81860
99	4303	81763
100	4347	81734
101	4386	81629
102	4451	81982
103	4493	81915
104	4535	81849
105	4588	81980
106	4629	81903
107	4672	81848
108	4717	81834
109	4762	81826
110	4806	81791
111	4847	81707
112	4887	81624
113	4931	81587
114	4970	81477
115	5009	81355
116	5049	81266
117	5089	81179
118	5129	81077
119	5169	80993
120	5210	80908
121	5252	80851
122	5290	80737
123	5331	80658
124	5370	80552
125	5410	80473
126	5449	80369
127	5491	80305
128	5530	80218
129	5573	80173
130	5613	80094
131	5657	80059
132	5697	79983
133	5738	79909
134	5778	79823
