period,rank,feature,importance,cindex_td,cindex_ti
original,1,cpbypass,0.010379222729465041,0.9961441316447225,0.8997895887941403
original,2,dlist,0.004261462642731351,0.9961441316447225,0.8997895887941403
original,3,hxsurg,0.004137887351404888,0.9961441316447225,0.8997895887941403
original,4,prim_dx,0.0037255045529592723,0.9961441316447225,0.8997895887941403
original,5,sec_dx,0.003117797175571849,0.9961441316447225,0.8997895887941403
original,6,chd_hlh,0.0029130356357108898,0.9961441316447225,0.8997895887941403
original,7,lsvcma,0.00265176908074579,0.9961441316447225,0.8997895887941403
original,8,hxdysdia,0.0026404855679933383,0.9961441316447225,0.8997895887941403
original,9,txbaosat,0.002136677521364203,0.9961441316447225,0.8997895887941403
original,10,canlocpr,0.0021344579476066596,0.9961441316447225,0.8997895887941403
original,11,lsbaosat,0.002082808063378865,0.9961441316447225,0.8997895887941403
original,12,hxple,0.001909090147413866,0.9961441316447225,0.8997895887941403
original,13,txvent,0.0018935335958084388,0.9961441316447225,0.8997895887941403
original,14,isc_oth,0.001829038588209448,0.9961441316447225,0.8997895887941403
original,15,txaboinc,0.001766624322943714,0.9961441316447225,0.8997895887941403
original,16,txecmo,0.0016998012424033959,0.9961441316447225,0.8997895887941403
original,17,height_listing,0.0016665461851317802,0.9961441316447225,0.8997895887941403
original,18,canlocsp,0.0016611006051170064,0.9961441316447225,0.8997895887941403
original,19,sex,0.001649003437526761,0.9961441316447225,0.8997895887941403
original,20,race,0.0015381535089599647,0.9961441316447225,0.8997895887941403
full,1,cpbypass,0.008745822155217114,0.9955167868964615,0.9126995693166035
full,2,dlist,0.005242777786256457,0.9955167868964615,0.9126995693166035
full,3,prim_dx,0.004047890920527647,0.9955167868964615,0.9126995693166035
full,4,hxsurg,0.0035005340925807417,0.9955167868964615,0.9126995693166035
full,5,lsbaosat,0.0032705801337931445,0.9955167868964615,0.9126995693166035
full,6,txecmo,0.002973489533333072,0.9955167868964615,0.9126995693166035
full,7,lsvcma,0.0028206889686831715,0.9955167868964615,0.9126995693166035
full,8,sec_dx,0.002777889694135787,0.9955167868964615,0.9126995693166035
full,9,lspcmt,0.0024847051076690232,0.9955167868964615,0.9126995693166035
full,10,chd_hlh,0.002334716304242768,0.9955167868964615,0.9126995693166035
full,11,txaboinc,0.002265163005835561,0.9955167868964615,0.9126995693166035
full,12,rrace_b,0.0020661162942988776,0.9955167868964615,0.9126995693166035
full,13,txbaosat,0.0019459350360992679,0.9955167868964615,0.9126995693166035
full,14,pra_listing,0.0017288970111721468,0.9955167868964615,0.9126995693166035
full,15,sex,0.001610223922964975,0.9955167868964615,0.9126995693166035
full,16,ter_dx,0.0015165736722971739,0.9955167868964615,0.9126995693166035
full,17,txbun_r,0.001498607165616317,0.9955167868964615,0.9126995693166035
full,18,weight_donor,0.0013920100109670918,0.9955167868964615,0.9126995693166035
full,19,hxdysdia,0.001340944269892152,0.9955167868964615,0.9126995693166035
full,20,txsa_r,0.0013145666542776786,0.9955167868964615,0.9126995693166035
full_no_covid,1,cpbypass,0.009490538958584968,0.9974781062568958,0.903937769089443
full_no_covid,2,dlist,0.00499116148291981,0.9974781062568958,0.903937769089443
full_no_covid,3,hxdysdia,0.004435878920723881,0.9974781062568958,0.903937769089443
full_no_covid,4,hxsurg,0.0038328075317729388,0.9974781062568958,0.903937769089443
full_no_covid,5,txecmo,0.0034131589271670314,0.9974781062568958,0.903937769089443
full_no_covid,6,lspcmt,0.003341745167071317,0.9974781062568958,0.903937769089443
full_no_covid,7,canlocsp,0.0028308422172620296,0.9974781062568958,0.903937769089443
full_no_covid,8,prim_dx,0.0027479119107623345,0.9974781062568958,0.903937769089443
full_no_covid,9,lsbaosat,0.002576408987631853,0.9974781062568958,0.903937769089443
full_no_covid,10,chd_hlh,0.0024047838003752684,0.9974781062568958,0.903937769089443
full_no_covid,11,sec_dx,0.0018656958284747672,0.9974781062568958,0.903937769089443
full_no_covid,12,height_txpl,0.0018269532875717603,0.9974781062568958,0.903937769089443
full_no_covid,13,canlocpr,0.001618724505703103,0.9974781062568958,0.903937769089443
full_no_covid,14,race,0.001618283345567919,0.9974781062568958,0.903937769089443
full_no_covid,15,txbaosat,0.0014948184966169886,0.9974781062568958,0.903937769089443
full_no_covid,16,txbili_t_r,0.0014428805834687563,0.9974781062568958,0.903937769089443
full_no_covid,17,hxgiot,0.0014134133724945353,0.9974781062568958,0.903937769089443
full_no_covid,18,txaboinc,0.0013191845671706238,0.9974781062568958,0.903937769089443
full_no_covid,19,txnomcsd,0.0013172197636646154,0.9974781062568958,0.903937769089443
full_no_covid,20,rabotype,0.0013013072113174887,0.9974781062568958,0.903937769089443
