rank,original,full,full_no_covid
1,cpbypass,cpbypass,cpbypass
2,dlist,dlist,dlist
3,hxsurg,prim_dx,hxdysdia
4,prim_dx,hxsurg,hxsurg
5,sec_dx,lsbaosat,txecmo
6,chd_hlh,txecmo,lspcmt
7,lsvcma,lsvcma,canlocsp
8,hxdysdia,sec_dx,prim_dx
9,txbaosat,lspcmt,lsbaosat
10,canlocpr,chd_hlh,chd_hlh
11,lsbaosat,txaboinc,sec_dx
12,hxple,rrace_b,height_txpl
13,txvent,txbaosat,canlocpr
14,isc_oth,pra_listing,race
15,txaboinc,sex,txbaosat
16,txecmo,ter_dx,txbili_t_r
17,height_listing,txbun_r,hxgiot
18,canlocsp,weight_donor,txaboinc
19,sex,hxdysdia,txnomcsd
20,race,txsa_r,rabotype
