rank,original,full,full_no_covid
1,bmi_txpl,txpl_year,bmi_txpl
2,txbun_r,listing_year,txalt
3,txalt,bmi_txpl,txbun_r
4,egfr_tx,txalt,egfr_tx
5,txsa_r,txbun_r,txpl_year
6,listing_year,egfr_tx,listing_year
7,weight_txpl,txsa_r,txsa_r
8,txpl_year,age_listing,age_listing
9,age_listing,weight_txpl,weight_txpl
10,age_txpl,age_txpl,age_txpl
11,height_txpl,height_txpl,height_txpl
12,txcreat_r,txcreat_r,txcreat_r
13,pra_listing,pra_listing,pra_listing
14,hxmed,hxmed,hxmed
15,hxsurg,prim_dx,hxsurg
16,chd_sv,hxsurg,chd_sv
17,txecmo,txecmo,prim_dx
18,prim_dx,chd_sv,txecmo
19,tx_mcsd,tx_mcsd,tx_mcsd
