period,method,cindex,cindex_type
original,RSF,0.9987,time_dependent
original,CatBoost,0.8703,time_dependent
original,AORSF,0.9961,time_dependent
full,RSF,0.9982,time_dependent
full,CatBoost,0.8093,time_dependent
full,AORSF,0.9955,time_dependent
full_no_covid,RSF,0.9988,time_dependent
full_no_covid,CatBoost,0.87,time_dependent
full_no_covid,AORSF,0.9975,time_dependent
original,RSF,0.857,time_independent
original,CatBoost,0.8865,time_independent
original,AORSF,0.8998,time_independent
full,RSF,0.8829,time_independent
full,CatBoost,0.8208,time_independent
full,AORSF,0.9127,time_independent
full_no_covid,RSF,0.8599,time_independent
full_no_covid,CatBoost,0.8778,time_independent
full_no_covid,AORSF,0.9039,time_independent
