period,method,model_type,cindex_type,cindex
original,RSF,Selected_Wisotzkey,time_dependent,0.8958
original,RSF,Selected_Wisotzkey,time_independent,0.7302
original,CatBoost,Selected_Wisotzkey,time_dependent,0.8359
original,CatBoost,Selected_Wisotzkey,time_independent,0.86240000000000006
original,RSF,Selected_Wisotzkey,time_dependent,0.6989
original,RSF,Selected_Wisotzkey,time_independent,0.6109
original,RSF,All_Wisotzkey,time_dependent,0.979
original,RSF,All_Wisotzkey,time_independent,0.8159
original,CatBoost,All_Wisotzkey,time_dependent,0.8548
original,CatBoost,All_Wisotzkey,time_independent,0.8718
original,RSF,All_Wisotzkey,time_dependent,0.9682
original,RSF,All_Wisotzkey,time_independent,0.8186
full,RSF,Selected_Wisotzkey,time_dependent,0.9522
full,RSF,Selected_Wisotzkey,time_independent,0.8094
full,CatBoost,Selected_Wisotzkey,time_dependent,0.7051
full,CatBoost,Selected_Wisotzkey,time_independent,0.7319
full,RSF,Selected_Wisotzkey,time_dependent,0.8373
full,RSF,Selected_Wisotzkey,time_independent,0.7299
full,RSF,All_Wisotzkey,time_dependent,0.9819
full,RSF,All_Wisotzkey,time_independent,0.8489
full,CatBoost,All_Wisotzkey,time_dependent,0.7849
full,CatBoost,All_Wisotzkey,time_independent,0.793
full,RSF,All_Wisotzkey,time_dependent,0.9622
full,RSF,All_Wisotzkey,time_independent,0.8353
full_no_covid,RSF,Selected_Wisotzkey,time_dependent,0.9015
full_no_covid,RSF,Selected_Wisotzkey,time_independent,0.73740000000000006
full_no_covid,CatBoost,Selected_Wisotzkey,time_dependent,0.8314
full_no_covid,CatBoost,Selected_Wisotzkey,time_independent,0.8514
full_no_covid,RSF,Selected_Wisotzkey,time_dependent,0.6983
full_no_covid,RSF,Selected_Wisotzkey,time_independent,0.6118
full_no_covid,RSF,All_Wisotzkey,time_dependent,0.9803
full_no_covid,RSF,All_Wisotzkey,time_independent,0.8214
full_no_covid,CatBoost,All_Wisotzkey,time_dependent,0.8509
full_no_covid,CatBoost,All_Wisotzkey,time_independent,0.8603
full_no_covid,RSF,All_Wisotzkey,time_dependent,0.9703
full_no_covid,RSF,All_Wisotzkey,time_independent,0.8203
