period,rank,feature,importance,cindex_td,cindex_ti
original,1,dlist,0.007689185532934266,0.9987178438721115,0.8570256292902181
original,2,cpbypass,0.005349038122536132,0.9987178438721115,0.8570256292902181
original,3,prim_dx,0.003740665259953631,0.9987178438721115,0.8570256292902181
original,4,txecmo,0.003140698889974089,0.9987178438721115,0.8570256292902181
original,5,sec_dx,0.0031295588347778286,0.9987178438721115,0.8570256292902181
original,6,hxsurg,0.002338734658407028,0.9987178438721115,0.8570256292902181
original,7,lsfprab,0.0013418804536629572,0.9987178438721115,0.8570256292902181
original,8,lsbaosat,0.001262969180925296,0.9987178438721115,0.8570256292902181
original,9,txpl_year,9.921151574249526e-4,0.9987178438721115,0.8570256292902181
original,10,height_donor,9.893927490470006e-4,0.9987178438721115,0.8570256292902181
original,11,rec_t3,9.673238184734336e-4,0.9987178438721115,0.8570256292902181
original,12,race,8.664271737255435e-4,0.9987178438721115,0.8570256292902181
original,13,chd_hlh,8.39488707727509e-4,0.9987178438721115,0.8570256292902181
original,14,ter_dx,8.160520235252108e-4,0.9987178438721115,0.8570256292902181
original,15,donor_age,7.772350088168707e-4,0.9987178438721115,0.8570256292902181
original,16,txbun_r,7.443687520124327e-4,0.9987178438721115,0.8570256292902181
original,17,txtdsxm,7.239163230469542e-4,0.9987178438721115,0.8570256292902181
original,18,lbun_r,7.035474853938239e-4,0.9987178438721115,0.8570256292902181
original,19,pra_listing,6.678435006117593e-4,0.9987178438721115,0.8570256292902181
original,20,txbdsxn,6.167246789382171e-4,0.9987178438721115,0.8570256292902181
full,1,dlist,0.008756797516254572,0.9981910194882939,0.8829049375172562
full,2,cpbypass,0.005459553507373444,0.9981910194882939,0.8829049375172562
full,3,prim_dx,0.005296647989473925,0.9981910194882939,0.8829049375172562
full,4,sec_dx,0.003546220574146357,0.9981910194882939,0.8829049375172562
full,5,txecmo,0.002725907742540943,0.9981910194882939,0.8829049375172562
full,6,prm_list,0.0018107420012385934,0.9981910194882939,0.8829049375172562
full,7,lsbaosat,0.0016647052238386308,0.9981910194882939,0.8829049375172562
full,8,hxsurg,0.0016147683295655694,0.9981910194882939,0.8829049375172562
full,9,txbun_r,0.001482638616010563,0.9981910194882939,0.8829049375172562
full,10,txtdsxm,0.0014005995859984576,0.9981910194882939,0.8829049375172562
full,11,lsfprat,0.0013653104787750751,0.9981910194882939,0.8829049375172562
full,12,lbun_r,0.0012293357167674646,0.9981910194882939,0.8829049375172562
full,13,chd_hlh,0.0011234241192064067,0.9981910194882939,0.8829049375172562
full,14,txtcdc,0.001025484186223311,0.9981910194882939,0.8829049375172562
full,15,pra_listing,0.001000768367142412,0.9981910194882939,0.8829049375172562
full,16,txbaosat,9.132294763091271e-4,0.9981910194882939,0.8829049375172562
full,17,txbcdc,8.603333177537027e-4,0.9981910194882939,0.8829049375172562
full,18,rec_t3,8.337375391998803e-4,0.9981910194882939,0.8829049375172562
full,19,weight_txpl,7.790050312102059e-4,0.9981910194882939,0.8829049375172562
full,20,listing_year,7.629886485545871e-4,0.9981910194882939,0.8829049375172562
full_no_covid,1,dlist,0.008381990304594616,0.9987538010450743,0.8599201367129434
full_no_covid,2,cpbypass,0.004801301702192655,0.9987538010450743,0.8599201367129434
full_no_covid,3,prim_dx,0.003976865393553477,0.9987538010450743,0.8599201367129434
full_no_covid,4,txecmo,0.0037859126153987547,0.9987538010450743,0.8599201367129434
full_no_covid,5,sec_dx,0.003389807936058676,0.9987538010450743,0.8599201367129434
full_no_covid,6,lsbaosat,0.001596649691609486,0.9987538010450743,0.8599201367129434
full_no_covid,7,donor_age,0.0011789637444920636,0.9987538010450743,0.8599201367129434
full_no_covid,8,hxsurg,0.0011606546865968754,0.9987538010450743,0.8599201367129434
full_no_covid,9,rec_t3,0.0010493958193438335,0.9987538010450743,0.8599201367129434
full_no_covid,10,prm_list,0.0010023273317773976,0.9987538010450743,0.8599201367129434
full_no_covid,11,txtdsxm,9.326076781063292e-4,0.9987538010450743,0.8599201367129434
full_no_covid,12,txbdsxn,8.373689690077705e-4,0.9987538010450743,0.8599201367129434
full_no_covid,13,lsfprab,7.983686919499565e-4,0.9987538010450743,0.8599201367129434
full_no_covid,14,txbun_r,7.166128037186253e-4,0.9987538010450743,0.8599201367129434
full_no_covid,15,listing_year,6.834348448601913e-4,0.9987538010450743,0.8599201367129434
full_no_covid,16,lsfprat,6.729660904374146e-4,0.9987538010450743,0.8599201367129434
full_no_covid,17,txbaosat,6.342210309927825e-4,0.9987538010450743,0.8599201367129434
full_no_covid,18,txpl_year,6.075543039719078e-4,0.9987538010450743,0.8599201367129434
full_no_covid,19,lbun_r,5.548695366673057e-4,0.9987538010450743,0.8599201367129434
full_no_covid,20,rrace_b,5.528784327005545e-4,0.9987538010450743,0.8599201367129434
