period,rank,feature,importance,cindex
original,1,prim_dx,0.01664639557817348,0.8143376588892839
original,2,txecmo,0.009335209938596524,0.8143376588892839
original,3,hxsurg,0.008342768876514558,0.8143376588892839
original,4,txbun_r,0.007288264967030401,0.8143376588892839
original,5,txalt,0.00472835329293524,0.8143376588892839
original,6,txpl_year,0.003429265906582617,0.8143376588892839
original,7,hxmed,0.0025607933029299624,0.8143376588892839
original,8,listing_year,0.0024731966241034868,0.8143376588892839
original,9,weight_txpl,0.0019543553694934025,0.8143376588892839
original,10,pra_listing,0.001490127667036268,0.8143376588892839
original,11,bmi_txpl,0.0010443686767653273,0.8143376588892839
original,12,txsa_r,9.372557757869038e-4,0.8143376588892839
original,13,egfr_tx,1.664806469612943e-4,0.8143376588892839
original,14,tx_mcsd,0,0.8143376588892839
original,15,chd_sv,-0.001567198967484544,0.8143376588892839
full,1,prim_dx,0.019500570820852537,0.8478307642656258
full,2,txecmo,0.007524101084928295,0.8478307642656258
full,3,txbun_r,0.007465639001886181,0.8478307642656258
full,4,hxsurg,0.007329747449987695,0.8478307642656258
full,5,weight_txpl,0.004091581322771517,0.8478307642656258
full,6,hxmed,0.0034484909065897835,0.8478307642656258
full,7,listing_year,0.0030592378098524163,0.8478307642656258
full,8,pra_listing,0.002978958063011114,0.8478307642656258
full,9,txsa_r,0.0028331674149825368,0.8478307642656258
full,10,txpl_year,0.002808690013000401,0.8478307642656258
full,11,txalt,0.0024812669867664903,0.8478307642656258
full,12,bmi_txpl,0.0016640645024142038,0.8478307642656258
full,13,egfr_tx,0.0013441249452121045,0.8478307642656258
full,14,tx_mcsd,0,0.8478307642656258
full,15,chd_sv,-0.001291815759895055,0.8478307642656258
full_no_covid,1,prim_dx,0.015561560363828122,0.81839636059536
full_no_covid,2,txecmo,0.008458924937875993,0.81839636059536
full_no_covid,3,hxsurg,0.007538847221456716,0.81839636059536
full_no_covid,4,txbun_r,0.00662127392357025,0.81839636059536
full_no_covid,5,txalt,0.004932861134186832,0.81839636059536
full_no_covid,6,txpl_year,0.004237234360128493,0.81839636059536
full_no_covid,7,listing_year,0.0034790268472587866,0.81839636059536
full_no_covid,8,weight_txpl,0.0024495817968322128,0.81839636059536
full_no_covid,9,hxmed,0.0024216728578124068,0.81839636059536
full_no_covid,10,bmi_txpl,0.0012692575471157997,0.81839636059536
full_no_covid,11,pra_listing,0.001018287131111148,0.81839636059536
full_no_covid,12,txsa_r,7.755505171185205e-4,0.81839636059536
full_no_covid,13,egfr_tx,5.150973374254502e-4,0.81839636059536
full_no_covid,14,tx_mcsd,0,0.81839636059536
full_no_covid,15,chd_sv,-8.743440850764048e-4,0.81839636059536
