iter	Cox
0	-4777.245599
1	-4777.146662
2	-4776.798325
3	-4776.440771
4	-4776.177733
5	-4776.130169
6	-4775.996491
7	-4775.874781
8	-4775.478933
9	-4775.585343
10	-4775.617609
11	-4775.544313
12	-4775.38998
13	-4774.986067
14	-4775.017476
15	-4774.600809
16	-4774.414297
17	-4774.310844
18	-4774.23177
19	-4773.900259
20	-4773.743096
21	-4773.844571
22	-4773.585088
23	-4773.600958
24	-4773.623376
25	-4773.326981
26	-4773.169618
27	-4772.816055
28	-4772.912297
29	-4772.790451
30	-4772.613187
31	-4772.484393
32	-4771.84869
33	-4771.531468
34	-4771.396125
35	-4771.494581
36	-4771.376496
37	-4771.180406
38	-4770.769635
39	-4770.67867
40	-4770.698101
41	-4770.490614
42	-4770.221611
43	-4770.118561
44	-4770.039087
45	-4770.041959
46	-4769.491366
47	-4769.690981
48	-4769.521483
49	-4769.290098
50	-4769.226796
51	-4769.047188
52	-4768.949445
53	-4768.896776
54	-4768.534444
55	-4768.311644
56	-4768.275989
57	-4768.030168
58	-4767.793824
59	-4767.617676
60	-4767.558657
61	-4767.533809
62	-4767.250885
63	-4767.100928
64	-4766.808928
65	-4766.729886
66	-4766.330589
67	-4766.35045
68	-4766.215006
69	-4766.067101
70	-4766.077321
71	-4765.596609
72	-4765.548509
73	-4765.4136
74	-4765.436826
75	-4765.293663
76	-4765.367044
77	-4765.153246
78	-4764.873657
79	-4764.630446
80	-4764.6218
81	-4764.592939
82	-4764.585636
83	-4764.327092
84	-4763.937821
85	-4763.844677
86	-4763.470533
87	-4763.005882
88	-4762.984459
89	-4763.002164
90	-4763.000975
91	-4762.993354
92	-4762.797134
93	-4762.596114
94	-4762.762683
95	-4762.331627
96	-4762.397557
97	-4762.40082
98	-4762.347761
99	-4762.016179
100	-4761.895835
101	-4761.929809
102	-4761.618861
103	-4761.269478
104	-4761.243398
105	-4761.113835
106	-4760.993335
107	-4760.86904
108	-4760.740778
109	-4760.783506
110	-4760.672774
111	-4760.797422
112	-4760.451719
113	-4760.439471
114	-4760.101274
115	-4760.21748
116	-4759.962635
117	-4759.894523
118	-4760.039152
119	-4759.852035
120	-4759.841348
121	-4759.718518
122	-4759.423547
123	-4759.154054
124	-4759.052938
125	-4759.113634
126	-4759.027526
127	-4759.104583
128	-4758.875512
129	-4758.820046
130	-4758.49867
131	-4758.371316
132	-4758.23906
133	-4757.998676
134	-4757.439791
135	-4757.04402
136	-4757.160915
137	-4757.038152
138	-4756.873122
139	-4756.727594
140	-4756.600771
141	-4756.534848
142	-4756.190702
143	-4756.070583
144	-4755.861214
145	-4755.797117
146	-4755.668073
147	-4755.464448
148	-4755.564121
149	-4755.460382
150	-4755.423304
151	-4755.223598
152	-4755.161108
153	-4755.116482
154	-4755.102798
155	-4755.070979
156	-4754.970079
157	-4755.03937
158	-4754.978528
159	-4755.051033
160	-4754.900255
161	-4754.950249
162	-4755.040656
163	-4755.018243
164	-4754.875348
165	-4754.465455
166	-4754.279951
167	-4754.1643
168	-4754.099134
169	-4754.010715
170	-4753.734748
171	-4753.382531
172	-4753.495585
173	-4753.312435
174	-4753.156403
175	-4753.126879
176	-4752.864092
177	-4752.933306
178	-4752.662547
179	-4752.62996
180	-4752.564013
181	-4752.319492
182	-4752.298446
183	-4752.295058
184	-4752.349566
185	-4752.344837
186	-4752.168082
187	-4752.128876
188	-4751.819136
189	-4751.84499
190	-4751.837815
191	-4751.83117
192	-4751.681073
193	-4751.662074
194	-4751.581005
195	-4751.537897
196	-4751.269232
197	-4751.201522
198	-4751.180383
199	-4751.040954
200	-4751.018005
201	-4751.050805
202	-4751.195862
203	-4750.945177
204	-4750.952906
205	-4750.876398
206	-4750.914418
207	-4750.776916
208	-4750.564546
209	-4750.469049
210	-4750.582709
211	-4750.485307
212	-4750.291334
213	-4750.073344
214	-4750.014762
215	-4749.756453
216	-4749.723458
217	-4749.580423
218	-4749.592864
219	-4749.622493
220	-4749.626149
221	-4749.535148
222	-4749.340452
223	-4749.374579
224	-4749.176366
225	-4749.057126
226	-4749.014376
227	-4748.936105
228	-4748.958715
229	-4749.047833
230	-4748.896814
231	-4748.669171
232	-4748.6605
233	-4748.604525
234	-4748.744929
235	-4748.671865
236	-4748.714262
237	-4748.469446
238	-4748.558292
239	-4748.359807
240	-4748.274133
241	-4747.984488
242	-4747.70245
243	-4747.257951
244	-4747.084141
245	-4746.979376
246	-4747.035338
247	-4746.844913
248	-4746.743336
249	-4746.701227
250	-4746.630487
251	-4746.690993
252	-4746.3462
253	-4746.316167
254	-4746.199925
255	-4746.283328
256	-4746.190706
257	-4746.04004
258	-4745.922347
259	-4746.018627
260	-4745.975335
261	-4745.802527
262	-4745.739539
263	-4745.717244
264	-4745.617387
265	-4745.302528
266	-4745.037577
267	-4744.928037
268	-4744.463341
269	-4744.234872
270	-4744.34333
271	-4744.329606
272	-4744.23863
273	-4744.306489
274	-4744.366178
275	-4744.50496
276	-4744.453918
277	-4744.27349
278	-4743.880697
279	-4743.792094
280	-4743.828078
281	-4743.679558
282	-4743.377495
283	-4743.192691
284	-4743.293925
285	-4743.072735
286	-4742.965907
287	-4742.806963
288	-4742.860404
289	-4742.760032
290	-4742.488196
291	-4742.404372
292	-4742.34821
293	-4742.326109
294	-4742.20766
295	-4742.296329
296	-4742.403431
297	-4742.217635
298	-4742.1727
299	-4742.130801
300	-4742.13093
301	-4742.023701
302	-4742.097905
303	-4742.151879
304	-4742.185329
305	-4742.073188
306	-4742.180945
307	-4742.129434
308	-4742.254209
309	-4742.230028
310	-4742.22018
311	-4742.205058
312	-4742.121473
313	-4741.901255
314	-4741.789591
315	-4741.696529
316	-4741.694042
317	-4741.830831
318	-4741.783252
319	-4741.566965
320	-4741.585158
321	-4741.586078
322	-4741.629618
323	-4741.607856
324	-4741.625378
325	-4741.595955
326	-4741.548751
327	-4741.178266
328	-4741.335429
329	-4741.391422
330	-4741.224518
331	-4741.174058
332	-4741.060221
333	-4741.072394
334	-4741.025114
335	-4741.001737
336	-4741.15714
337	-4741.178528
338	-4741.166937
339	-4741.021851
340	-4741.058818
341	-4740.517358
342	-4740.723561
343	-4740.684256
344	-4740.669676
345	-4740.578047
346	-4740.386207
347	-4740.247761
348	-4740.290986
349	-4740.112765
350	-4740.241631
351	-4740.21823
352	-4739.957544
353	-4739.765624
354	-4739.419704
355	-4738.956222
356	-4739.100688
357	-4739.058707
358	-4739.136107
359	-4738.910418
360	-4738.856669
361	-4738.728618
362	-4738.488536
363	-4738.108273
364	-4738.163227
365	-4738.200707
366	-4738.223185
367	-4738.275869
368	-4738.244381
369	-4738.133855
370	-4738.349491
371	-4738.247997
372	-4738.270801
373	-4738.16415
374	-4738.216003
375	-4738.199908
376	-4738.152479
377	-4738.224557
378	-4737.796833
379	-4737.826768
380	-4737.712196
381	-4737.874457
382	-4737.871615
383	-4737.958664
384	-4737.579431
385	-4737.410968
386	-4737.221581
387	-4737.230187
388	-4737.302495
389	-4737.106711
390	-4736.709264
391	-4736.729911
392	-4736.548194
393	-4736.366374
394	-4736.080903
395	-4736.2504
396	-4736.191538
397	-4736.105926
398	-4735.983843
399	-4736.219409
400	-4736.04745
401	-4735.961274
402	-4735.902205
403	-4735.934669
404	-4735.863961
405	-4736.038144
406	-4735.86988
407	-4735.857005
408	-4735.859108
409	-4736.0406
410	-4736.161151
411	-4736.070277
412	-4736.020525
413	-4735.980958
414	-4735.745199
415	-4735.750851
416	-4735.716545
417	-4735.700239
418	-4735.682162
419	-4735.870473
420	-4735.635968
421	-4735.58849
422	-4735.78163
423	-4735.795188
424	-4735.734061
425	-4735.930273
426	-4735.845818
427	-4735.835893
428	-4735.793608
429	-4735.764881
430	-4735.774008
431	-4735.848295
432	-4735.864596
433	-4736.066803
434	-4736.143117
435	-4735.925442
436	-4735.755386
437	-4735.659394
438	-4735.689675
439	-4735.493501
440	-4735.699939
441	-4735.730815
442	-4735.643803
443	-4735.707437
444	-4735.861379
445	-4735.851167
446	-4735.904209
447	-4735.854408
448	-4735.886354
449	-4736.031075
450	-4736.200106
451	-4736.207385
452	-4736.20448
453	-4736.259755
454	-4736.262299
455	-4736.22233
456	-4736.314844
457	-4736.53591
458	-4736.613962
459	-4736.508444
460	-4736.603092
461	-4736.587019
462	-4736.64374
463	-4736.828718
464	-4736.807051
465	-4736.831681
466	-4736.99981
467	-4737.093238
468	-4737.075227
469	-4737.131674
470	-4737.028367
471	-4737.016312
472	-4737.002124
473	-4737.050242
474	-4736.960601
475	-4737.028259
476	-4737.194053
477	-4737.322065
478	-4737.526076
479	-4737.485984
480	-4737.567621
481	-4737.622354
482	-4737.812224
483	-4737.899026
484	-4737.950633
485	-4738.182826
486	-4738.274091
487	-4738.26028
488	-4738.241744
489	-4738.203433
490	-4738.37428
491	-4738.37269
492	-4738.68862
493	-4738.716759
494	-4738.711909
495	-4738.691265
496	-4738.516069
497	-4738.518649
498	-4738.426903
499	-4738.530575
500	-4738.579526
501	-4738.574296
502	-4738.760861
503	-4738.774294
504	-4738.884938
505	-4738.887189
506	-4738.999785
507	-4739.050982
508	-4739.05584
509	-4739.241575
510	-4739.37652
511	-4739.401914
512	-4739.585691
513	-4739.775266
514	-4739.646889
515	-4739.783466
516	-4739.971208
517	-4739.787651
518	-4739.885942
