iter	Passed	Remaining
0	34	34234
1	69	34537
2	114	38182
3	159	39774
4	234	46598
5	279	46348
6	323	45915
7	378	46939
8	420	46300
9	479	47487
10	524	47134
11	566	46649
12	607	46118
13	649	45773
14	692	45466
15	759	46690
16	800	46262
17	845	46116
18	887	45829
19	930	45579
20	973	45363
21	1014	45090
22	1076	45716
23	1120	45569
24	1164	45415
25	1207	45236
26	1248	44986
27	1289	44780
28	1331	44580
29	1375	44486
30	1419	44370
31	1460	44180
32	1502	44027
33	1571	44656
34	1612	44463
35	1656	44357
36	1698	44205
37	1741	44084
38	1784	43972
39	1828	43882
40	1873	43814
41	1922	43858
42	1970	43849
43	2015	43793
44	2061	43758
45	2108	43728
46	2153	43660
47	2208	43795
48	2253	43730
49	2296	43640
50	2369	44089
51	2412	43984
52	2487	44446
53	2536	44444
54	2581	44346
55	2625	44257
56	2668	44145
57	2707	43978
58	2748	43843
59	2805	43956
60	2863	44073
61	2915	44112
62	2957	43986
63	2997	43836
64	3053	43917
65	3093	43771
66	3143	43772
67	3184	43646
68	3226	43535
69	3268	43429
70	3309	43308
71	3350	43187
72	3393	43094
73	3435	42986
74	3478	42895
75	3518	42773
76	3558	42657
77	3601	42567
78	3643	42475
79	3691	42448
80	3733	42358
81	3774	42257
82	3817	42173
83	3878	42292
84	3929	42296
85	3974	42242
86	4023	42220
87	4066	42140
88	4114	42117
89	4172	42184
90	4212	42081
91	4268	42126
92	4313	42066
93	4356	41989
94	4400	41922
95	4463	42033
96	4517	42055
97	4562	41991
98	4608	41943
99	4659	41932
100	4708	41906
101	4753	41848
102	4799	41800
103	4841	41714
104	4884	41632
105	4925	41540
106	4970	41483
107	5012	41395
108	5056	41330
109	5099	41256
110	5143	41190
111	5188	41139
112	5233	41078
113	5277	41013
114	5321	40951
115	5366	40895
116	5412	40846
117	5457	40790
118	5501	40728
119	5545	40665
120	5600	40681
121	5650	40666
122	5698	40632
123	5741	40559
124	5784	40492
125	5829	40435
126	5879	40413
127	5922	40346
128	5967	40293
129	6012	40235
130	6064	40228
131	6108	40170
132	6153	40115
133	6204	40100
134	6248	40039
135	6291	39972
136	6335	39906
137	6379	39850
138	6423	39786
139	6468	39733
140	6511	39671
141	6563	39658
142	6635	39769
143	6679	39703
144	6720	39629
145	6761	39548
146	6804	39486
147	6850	39434
148	6895	39384
149	6940	39330
150	6984	39269
151	7024	39188
152	7065	39111
153	7111	39068
154	7156	39014
155	7207	38993
156	7250	38931
157	7294	38873
158	7335	38800
159	7381	38753
160	7438	38761
161	7492	38757
162	7534	38688
163	7582	38651
164	7624	38583
165	7671	38542
166	7720	38510
167	7761	38436
168	7801	38362
169	7842	38290
170	7884	38223
171	7927	38160
172	7970	38100
173	8013	38039
174	8057	37986
175	8099	37920
176	8147	37884
177	8190	37821
178	8230	37752
179	8257	37618
180	8309	37600
181	8354	37550
182	8398	37494
183	8438	37424
184	8480	37359
185	8524	37306
186	8568	37253
187	8610	37189
188	8652	37128
189	8722	37187
190	8783	37202
191	8822	37128
192	8867	37076
193	8905	36998
194	8965	37012
195	9005	36941
196	9042	36858
197	9080	36781
198	9118	36704
199	9156	36626
200	9202	36580
201	9243	36515
202	9289	36472
203	9350	36484
204	9397	36445
205	9439	36384
206	9480	36319
207	9526	36274
208	9579	36257
209	9642	36275
210	9684	36214
211	9725	36149
212	9766	36087
213	9845	36160
214	9885	36094
215	9932	36052
216	9971	35979
217	10011	35914
218	10052	35849
219	10110	35846
220	10163	35825
221	10211	35787
222	10267	35773
223	10307	35707
224	10350	35651
225	10391	35589
226	10429	35515
227	10468	35445
228	10516	35408
229	10553	35332
230	10591	35260
231	10628	35184
232	10666	35110
233	10702	35035
234	10739	34960
235	10778	34892
236	10861	34968
237	10902	34906
238	10949	34864
239	10991	34806
240	11028	34733
241	11066	34663
242	11108	34605
243	11147	34539
244	11188	34477
245	11227	34411
246	11265	34345
247	11304	34278
248	11343	34213
249	11385	34155
250	11436	34127
251	11474	34060
252	11513	33994
253	11554	33936
254	11595	33877
255	11662	33893
256	11717	33874
257	11762	33827
258	11800	33762
259	11840	33700
260	11880	33639
261	11924	33588
262	11965	33529
263	12004	33466
264	12041	33398
265	12079	33330
266	12129	33298
267	12168	33235
268	12205	33167
269	12241	33096
270	12278	33028
271	12315	32961
272	12355	32902
273	12394	32840
274	12441	32800
275	12479	32736
276	12517	32671
277	12556	32611
278	12593	32544
279	12631	32480
280	12669	32417
281	12706	32351
282	12743	32287
283	12785	32234
284	12822	32167
285	12859	32102
286	12897	32040
287	12961	32043
288	13011	32012
289	13051	31952
290	13091	31895
291	13134	31846
292	13174	31790
293	13213	31730
294	13252	31670
295	13291	31611
296	13330	31553
297	13371	31498
298	13409	31438
299	13448	31379
300	13495	31341
301	13540	31294
302	13578	31235
303	13638	31224
304	13679	31170
305	13717	31110
306	13761	31063
307	13801	31009
308	13840	30950
309	13885	30907
310	13925	30850
311	13962	30789
312	14013	30756
313	14053	30703
314	14101	30664
315	14139	30605
316	14177	30546
317	14213	30484
318	14254	30430
319	14293	30372
320	14337	30326
321	14376	30271
322	14414	30213
323	14452	30154
324	14494	30103
325	14532	30045
326	14574	29994
327	14613	29939
328	14650	29880
329	14690	29826
330	14730	29773
331	14767	29713
332	14809	29663
333	14845	29602
334	14881	29540
335	14924	29493
336	14986	29484
337	15038	29453
338	15088	29421
339	15133	29377
340	15172	29320
341	15212	29268
342	15253	29217
343	15293	29164
344	15342	29127
345	15382	29076
346	15425	29027
347	15468	28980
348	15506	28923
349	15551	28881
350	15596	28837
351	15635	28784
352	15674	28728
353	15712	28673
354	15750	28617
355	15789	28563
356	15826	28505
357	15866	28453
358	15924	28432
359	15964	28382
360	16001	28324
361	16039	28267
362	16079	28215
363	16116	28158
364	16151	28099
365	16192	28048
366	16231	27995
367	16281	27962
368	16324	27915
369	16362	27860
370	16405	27813
371	16445	27762
372	16482	27706
373	16521	27654
374	16559	27598
375	16599	27547
376	16644	27504
377	16683	27452
378	16724	27403
379	16770	27361
380	16808	27308
381	16844	27250
382	16881	27195
383	16919	27141
384	16957	27088
385	16998	27039
386	17038	26988
387	17078	26938
