iter	Passed	Remaining
0	160	320026
1	195	195222
2	238	158627
3	272	135830
4	307	122862
5	342	113978
6	378	107775
7	412	102651
8	447	98988
9	470	93569
10	505	91431
11	540	89509
12	575	87981
13	614	87165
14	650	86097
15	686	85152
16	720	84065
17	756	83271
18	790	82455
19	831	82286
20	866	81680
21	904	81321
22	943	81081
23	979	80610
24	1014	80121
25	1049	79662
26	1083	79206
27	1125	79234
28	1159	78825
29	1194	78468
30	1230	78142
31	1268	77984
32	1302	77640
33	1337	77330
34	1373	77125
35	1423	77666
36	1459	77457
37	1494	77142
38	1533	77109
39	1569	76916
40	1604	76644
41	1639	76446
42	1674	76204
43	1710	76024
44	1744	75772
45	1777	75499
46	1812	75323
47	1848	75159
48	1882	74942
49	1917	74776
50	1952	74604
51	1994	74728
52	2030	74595
53	2069	74564
54	2104	74427
55	2138	74243
56	2176	74194
57	2209	73987
58	2245	73867
59	2277	73646
60	2311	73481
61	2344	73284
62	2376	73080
63	2413	73005
64	2446	72843
65	2486	72856
66	2520	72710
67	2556	72625
68	2593	72567
69	2630	72518
70	2663	72351
71	2705	72436
72	2740	72342
73	2775	72248
74	2811	72156
75	2847	72091
76	2885	72057
77	2921	71993
78	2956	71892
79	2992	71824
80	3027	71732
81	3064	71672
82	3098	71553
83	3133	71463
84	3169	71410
85	3205	71343
86	3243	71323
87	3290	71501
88	3326	71429
89	3361	71336
90	3395	71236
91	3434	71224
92	3468	71126
93	3501	71005
94	3537	70941
95	3570	70822
96	3606	70759
97	3646	70770
98	3685	70767
99	3721	70700
100	3761	70724
101	3794	70608
102	3830	70549
103	3866	70487
104	3902	70423
105	3936	70336
106	3972	70284
107	4011	70271
108	4051	70279
109	4085	70190
110	4120	70130
111	4155	70055
112	4190	69984
113	4224	69894
114	4264	69908
115	4298	69813
116	4334	69766
117	4368	69677
118	4404	69617
119	4438	69530
120	4471	69436
121	4507	69385
122	4542	69311
123	4576	69242
124	4609	69149
125	4650	69161
126	4683	69071
127	4718	69015
128	4754	68960
129	4788	68883
130	4823	68811
131	4858	68758
132	4891	68658
133	4926	68609
134	4963	68567
135	4996	68487
136	5032	68436
137	5066	68366
138	5100	68282
139	5133	68196
140	5167	68124
141	5203	68082
142	5238	68022
143	5287	68147
144	5320	68065
145	5353	67977
146	5389	67942
147	5423	67867
148	5458	67808
149	5491	67724
150	5525	67659
151	5558	67585
152	5591	67497
153	5625	67436
154	5657	67343
155	5691	67274
156	5723	67192
157	5758	67133
158	5792	67065
159	5826	67005
160	5859	66932
161	5892	66851
162	5941	66965
163	5977	66914
164	6010	66842
165	6043	66767
166	6077	66706
167	6109	66623
168	6143	66561
169	6176	66491
170	6210	66431
171	6243	66358
172	6278	66303
173	6311	66230
174	6345	66170
175	6378	66102
176	6412	66048
177	6446	65981
178	6479	65913
179	6512	65852
180	6546	65785
181	6581	65738
182	6615	65685
183	6649	65625
184	6682	65559
185	6714	65488
186	6745	65398
187	6777	65327
188	6814	65299
189	6847	65231
190	6880	65167
191	6913	65101
192	6949	65065
193	6982	65005
194	7017	64957
195	7050	64896
196	7084	64841
197	7120	64801
198	7152	64735
199	7187	64686
200	7220	64622
201	7254	64571
202	7290	64540
203	7325	64489
204	7359	64441
205	7395	64404
206	7433	64391
207	7468	64346
208	7502	64292
209	7537	64244
210	7573	64214
211	7610	64183
212	7645	64139
213	7679	64087
214	7713	64043
215	7751	64022
216	7788	63994
217	7822	63945
218	7857	63898
219	7894	63877
220	7930	63839
221	7963	63783
222	7998	63738
223	8036	63721
224	8073	63687
225	8106	63631
226	8139	63576
227	8172	63516
228	8203	63445
229	8237	63393
230	8279	63401
231	8313	63354
232	8347	63308
233	8382	63263
234	8415	63202
235	8449	63159
236	8483	63107
237	8517	63056
238	8552	63018
239	8587	62975
240	8621	62929
241	8656	62888
242	8691	62847
243	8729	62825
244	8763	62776
245	8798	62732
246	8839	62735
247	8878	62724
248	8920	62729
249	8963	62747
250	9001	62724
251	9040	62707
252	9075	62669
253	9110	62629
254	9146	62588
255	9180	62542
256	9214	62493
257	9247	62435
258	9281	62389
259	9315	62342
260	9350	62304
261	9383	62248
262	9418	62205
263	9451	62154
264	9486	62110
265	9520	62063
266	9554	62016
267	9590	61983
268	9623	61927
269	9658	61883
270	9690	61828
271	9733	61837
272	9765	61773
273	9799	61728
274	9831	61667
275	9864	61615
276	9897	61561
277	9929	61507
278	9960	61442
279	9991	61376
280	10023	61317
281	10053	61249
282	10086	61195
283	10118	61138
284	10150	61082
285	10187	61052
286	10218	60990
287	10251	60937
288	10282	60878
289	10316	60833
290	10349	60780
291	10381	60724
292	10412	60662
293	10442	60595
294	10475	60544
295	10505	60477
296	10538	60425
297	10569	60364
298	10599	60301
299	10632	60253
300	10664	60196
301	10697	60147
302	10730	60099
303	10763	60046
304	10796	60002
305	10830	59959
306	10862	59900
307	10893	59843
308	10928	59807
309	10959	59748
310	10993	59705
311	11024	59646
312	11056	59592
313	11098	59593
314	11133	59555
315	11164	59498
316	11196	59444
317	11231	59408
318	11263	59355
319	11296	59307
320	11329	59259
321	11360	59199
322	11394	59160
323	11427	59113
324	11459	59057
325	11489	59000
326	11522	58953
327	11557	58913
328	11590	58869
329	11621	58812
330	11663	58811
331	11699	58778
332	11735	58745
333	11766	58690
334	11798	58639
335	11834	58606
336	11864	58547
337	11899	58510
338	11930	58455
339	11966	58423
340	11998	58373
341	12033	58339
342	12066	58290
343	12101	58256
344	12134	58210
345	12164	58150
346	12199	58113
347	12231	58064
348	12274	58066
349	12305	58011
350	12344	57993
351	12377	57947
352	12412	57912
353	12442	57855
354	12474	57803
355	12507	57761
356	12540	57713
357	12573	57669
358	12605	57618
359	12639	57578
360	12670	57525
361	12702	57478
362	12737	57443
363	12770	57395
364	12809	57377
365	12839	57319
366	12875	57288
367	12905	57234
368	12938	57188
369	12969	57135
370	13002	57092
371	13033	57041
372	13066	56994
373	13100	56957
374	13133	56909
375	13166	56867
376	13197	56816
377	13232	56780
378	13263	56729
379	13298	56691
380	13337	56675
381	13371	56635
382	13406	56599
383	13442	56570
384	13479	56544
385	13515	56510
386	13548	56468
387	13580	56423
388	13619	56403
389	13655	56373
390	13689	56334
391	13722	56290
392	13772	56315
393	13805	56272
394	13843	56248
395	13877	56209
396	13910	56168
397	13942	56120
398	13976	56083
399	14013	56053
400	14047	56015
401	14080	55970
402	14113	55929
403	14146	55884
404	14178	55836
405	14213	55802
406	14244	55753
407	14277	55709
408	14316	55691
409	14351	55656
410	14384	55611
411	14419	55579
412	14459	55560
413	14493	55522
414	14527	55485
415	14559	55438
416	14596	55411
417	14629	55367
418	14663	55327
419	14698	55292
420	14732	55256
421	14768	55222
422	14802	55187
423	14835	55142
424	14867	55097
425	14900	55055
426	14933	55014
427	14971	54989
428	15003	54943
429	15037	54905
430	15072	54867
431	15107	54834
432	15139	54788
433	15174	54753
434	15207	54710
435	15240	54671
436	15273	54629
437	15307	54589
438	15341	54551
439	15373	54507
440	15407	54466
441	15440	54424
442	15474	54386
443	15507	54346
444	15540	54305
445	15573	54264
446	15606	54222
447	15644	54197
448	15676	54152
449	15725	54164
450	15757	54119
451	15791	54083
452	15824	54041
453	15859	54005
454	15891	53961
455	15925	53923
456	15957	53877
457	15990	53837
458	16025	53800
459	16057	53756
460	16091	53719
461	16122	53670
462	16159	53642
463	16191	53599
464	16227	53569
465	16260	53527
466	16296	53496
467	16328	53451
468	16361	53410
469	16399	53386
470	16433	53346
471	16465	53304
472	16500	53268
473	16533	53229
474	16569	53196
475	16603	53158
476	16635	53116
477	16673	53089
478	16709	53059
479	16744	53023
480	16776	52980
481	16807	52933
482	16839	52889
483	16872	52847
484	16905	52807
485	16939	52771
486	16974	52736
487	17008	52698
488	17060	52716
489	17092	52674
490	17127	52636
491	17159	52593
492	17197	52569
493	17228	52523
494	17263	52487
495	17295	52443
496	17328	52403
497	17363	52369
498	17398	52334
499	17434	52302
500	17465	52257
501	17501	52225
502	17538	52195
503	17571	52156
504	17604	52114
505	17638	52078
506	17671	52039
507	17704	51997
508	17738	51961
509	17772	51924
510	17807	51888
511	17847	51868
512	17881	51832
513	17914	51791
514	17951	51761
515	17985	51724
516	18016	51678
517	18050	51643
518	18086	51610
519	18121	51577
520	18153	51533
521	18186	51492
522	18221	51458
523	18254	51420
524	18287	51378
525	18319	51336
526	18352	51296
527	18386	51259
528	18422	51226
529	18454	51185
530	18489	51150
531	18521	51108
532	18555	51070
533	18588	51031
534	18621	50991
535	18654	50952
536	18688	50913
537	18720	50871
538	18753	50832
539	18786	50792
540	18819	50753
541	18853	50717
542	18886	50677
543	18919	50637
544	18953	50599
545	18987	50563
546	19019	50521
547	19051	50479
548	19085	50443
549	19119	50405
550	19161	50390
551	19194	50349
552	19227	50312
553	19259	50270
554	19294	50236
555	19326	50194
556	19358	50151
557	19394	50119
558	19431	50090
559	19466	50056
560	19498	50015
561	19533	49979
562	19565	49939
563	19600	49905
564	19633	49866
565	19667	49829
566	19702	49793
567	19736	49758
568	19768	49717
569	19801	49677
570	19836	49642
571	19869	49604
572	19905	49571
573	19938	49532
574	19974	49502
575	20006	49461
576	20041	49427
577	20074	49387
578	20106	49345
579	20141	49312
580	20175	49275
581	20210	49241
582	20242	49200
583	20277	49166
584	20311	49130
585	20347	49097
586	20379	49057
587	20413	49019
588	20448	48985
589	20481	48947
590	20514	48909
591	20547	48869
592	20581	48833
593	20613	48793
594	20648	48757
595	20681	48719
596	20716	48684
597	20748	48645
598	20782	48607
599	20814	48567
600	20846	48527
601	20880	48489
602	20911	48446
603	20946	48411
604	20978	48371
605	21011	48333
606	21043	48293
607	21092	48290
608	21128	48260
609	21163	48224
610	21215	48229
611	21249	48192
612	21281	48151
613	21314	48113
614	21350	48081
615	21381	48039
616	21416	48004
617	21448	47963
618	21481	47926
619	21513	47884
620	21548	47851
621	21581	47812
622	21615	47776
623	21647	47735
624	21680	47697
625	21716	47665
626	21750	47629
627	21785	47595
628	21818	47556
629	21852	47519
630	21884	47480
631	21920	47447
632	21951	47406
633	21986	47372
634	22021	47337
635	22055	47301
636	22089	47265
637	22120	47223
638	22154	47185
639	22185	47144
640	22222	47114
641	22253	47071
642	22288	47037
643	22319	46994
644	22349	46950
645	22389	46928
646	22421	46886
647	22457	46855
648	22488	46814
649	22523	46780
650	22554	46737
651	22588	46700
652	22619	46659
653	22655	46626
654	22687	46587
655	22719	46547
656	22753	46511
657	22785	46471
658	22819	46434
659	22850	46393
660	22885	46360
661	22917	46319
662	22950	46282
663	22986	46249
664	23016	46206
665	23051	46171
666	23085	46135
667	23120	46102
668	23151	46060
669	23185	46024
670	23218	45987
671	23249	45945
672	23283	45909
673	23314	45867
674	23351	45839
675	23383	45798
676	23416	45761
677	23448	45720
678	23481	45684
679	23514	45646
680	23547	45608
681	23579	45568
682	23611	45528
683	23645	45492
684	23676	45452
685	23709	45414
686	23744	45381
687	23778	45344
688	23810	45305
689	23842	45267
690	23876	45230
691	23907	45189
692	23945	45160
693	23975	45118
694	24009	45082
695	24043	45046
696	24074	45005
697	24106	44966
698	24138	44927
699	24174	44895
700	24205	44853
701	24235	44811
702	24273	44783
703	24310	44752
704	24341	44712
705	24375	44676
706	24412	44646
707	24445	44609
708	24476	44569
709	24507	44527
710	24540	44489
711	24571	44449
712	24604	44412
713	24635	44372
714	24666	44331
715	24701	44296
716	24734	44259
717	24767	44223
718	24800	44184
719	24839	44158
720	24873	44124
721	24909	44091
722	24942	44055
723	24975	44016
724	25009	43982
725	25042	43945
726	25073	43904
727	25104	43863
728	25137	43826
729	25169	43788
730	25202	43750
731	25237	43717
732	25268	43676
733	25300	43637
734	25331	43597
735	25365	43562
736	25396	43521
737	25429	43485
738	25461	43446
739	25496	43413
740	25527	43372
741	25560	43336
742	25592	43296
743	25623	43256
744	25659	43225
745	25693	43189
746	25731	43160
747	25762	43121
748	25795	43083
749	25830	43050
750	25864	43016
751	25897	42978
752	25935	42949
753	25971	42918
754	26004	42881
755	26040	42850
756	26072	42810
757	26105	42774
758	26139	42739
759	26172	42702
760	26207	42668
761	26241	42633
762	26277	42601
763	26309	42563
764	26344	42529
765	26376	42491
766	26410	42456
767	26442	42417
768	26476	42382
769	26509	42345
770	26554	42329
771	26590	42296
772	26626	42264
773	26658	42226
774	26692	42191
775	26727	42157
776	26764	42127
777	26798	42091
778	26829	42052
779	26863	42018
780	26897	41982
781	26936	41954
782	26967	41915
783	27001	41879
784	27037	41847
785	27070	41811
786	27104	41775
787	27143	41749
788	27178	41714
789	27210	41676
790	27246	41644
791	27279	41608
792	27315	41575
793	27347	41538
794	27381	41502
795	27415	41468
796	27450	41434
797	27490	41407
798	27525	41374
799	27557	41336
800	27591	41301
801	27626	41267
802	27665	41240
803	27699	41204
804	27731	41166
805	27765	41130
806	27804	41103
807	27842	41075
808	27875	41038
809	27909	41002
810	27941	40964
811	27989	40949
812	28020	40910
813	28056	40878
814	28090	40842
815	28122	40805
816	28155	40768
817	28188	40732
818	28222	40696
819	28255	40660
820	28291	40627
821	28322	40589
822	28357	40555
823	28407	40543
824	28441	40507
825	28475	40472
826	28510	40439
827	28546	40405
828	28580	40371
829	28613	40334
830	28647	40299
831	28680	40263
832	28714	40227
833	28745	40188
834	28777	40150
835	28813	40117
836	28846	40081
837	28896	40068
838	28942	40050
839	28977	40017
840	29013	39984
841	29046	39947
842	29077	39908
843	29119	39883
844	29157	39854
845	29194	39822
846	29226	39785
847	29264	39756
848	29298	39720
849	29336	39690
850	29367	39651
851	29403	39619
852	29439	39586
853	29475	39554
854	29518	39531
855	29557	39501
856	29605	39485
