iter	Logloss
0	0.5315290991
1	0.4151923985
2	0.3502252741
3	0.3085433139
4	0.2740307429
5	0.2538259499
6	0.2347542021
7	0.2215246112
8	0.2128899208
9	0.2061040422
10	0.2000610829
11	0.1964614519
12	0.1908856364
13	0.1879436199
14	0.1854067852
15	0.183972714
16	0.1823957928
17	0.181302267
18	0.1794862376
19	0.1772888018
20	0.1752802313
21	0.1732756843
22	0.1718385729
23	0.169785675
24	0.1681274495
25	0.1668569341
26	0.1647033472
27	0.1634749459
28	0.1611795734
29	0.1594943198
30	0.1583271102
31	0.1579555733
32	0.1562395146
33	0.1546632065
34	0.1535917774
35	0.1532188988
36	0.1515611872
37	0.150115046
38	0.1478683813
39	0.1469632557
40	0.1454776787
41	0.1444358841
42	0.1424398903
43	0.1412325199
44	0.1404273824
45	0.1387726635
46	0.1376265591
47	0.1366791033
48	0.1358244068
49	0.135081386
50	0.1323835885
51	0.1317111368
52	0.1312085999
53	0.1303097264
54	0.1290391381
55	0.1281953651
56	0.1268534233
57	0.125813322
58	0.1247194572
59	0.123573028
60	0.12323862
61	0.122286432
62	0.1221476174
63	0.1206091767
64	0.1199640495
65	0.1194692579
66	0.1188072569
67	0.1185784288
68	0.1169147736
69	0.1166642213
70	0.1162436384
71	0.1159788904
72	0.1152906777
73	0.1143804214
74	0.1135908242
75	0.1133567607
76	0.1132669241
77	0.1121176668
78	0.1119781047
79	0.1114292095
80	0.1113407516
81	0.1105635936
82	0.1097417824
83	0.1086216098
84	0.1082318065
85	0.107098204
86	0.1069726723
87	0.1059305221
88	0.1049649412
89	0.1044382036
90	0.1030808917
91	0.10255196
92	0.1024723692
93	0.1019994541
94	0.1016434903
95	0.1010795992
96	0.1007183631
97	0.09995158936
98	0.09953682202
99	0.09940919851
