iter	Passed	Remaining
0	207	20570
1	241	11847
2	291	9416
3	339	8159
4	389	7406
5	439	6881
6	489	6496
7	538	6192
8	588	5948
9	637	5739
10	679	5501
11	730	5357
12	788	5276
13	839	5158
14	889	5040
15	939	4931
16	989	4828
17	1038	4728
18	1087	4635
19	1142	4571
20	1193	4488
21	1243	4409
22	1294	4332
23	1347	4267
24	1398	4195
25	1458	4151
26	1508	4078
27	1570	4038
28	1620	3966
29	1669	3896
30	1719	3826
31	1771	3764
32	1826	3709
33	1890	3669
34	1959	3638
35	2009	3572
36	2060	3508
37	2110	3444
38	2161	3380
39	2219	3329
40	2269	3265
41	2326	3212
42	2376	3149
43	2426	3088
44	2475	3026
45	2524	2964
46	2575	2903
47	2624	2843
48	2674	2784
49	2725	2725
50	2782	2673
51	2844	2625
52	2917	2586
53	2972	2532
54	3022	2473
55	3072	2413
56	3122	2355
57	3172	2297
58	3222	2239
59	3276	2184
60	3326	2126
61	3376	2069
62	3427	2012
63	3477	1955
64	3527	1899
65	3579	1843
66	3629	1787
67	3680	1732
68	3738	1679
69	3799	1628
70	3851	1573
71	3902	1517
72	3951	1461
73	4007	1407
74	4071	1357
75	4147	1309
76	4198	1253
77	4249	1198
78	4298	1142
79	4355	1088
80	4404	1033
81	4453	977
82	4502	922
83	4553	867
84	4609	813
85	4661	758
86	4711	704
87	4763	649
88	4821	595
89	4873	541
90	4922	486
91	4972	432
92	5022	378
93	5080	324
94	5130	270
95	5190	216
96	5241	162
97	5290	107
98	5341	53
99	5393	0
