Rank,feature,Model,importance,Normalized_Importance
1,hxsurg,AORSF,0.006079221968264431,1
1,hxsurg,CatBoost,5.375793343554213,1
1,txvldl_r,DeepHit (pycox),91.504684,1
1,txpalb_r,DeepSurv (pycox),88.14442,1
1,chd_si,LASSO,1.3897076119590968,1
1,dmechod,RSF (ranger),28.710921858493894,1
1,prm_list,XGBoost-Cox,0.04488706444210525,1
2,prim_dx,AORSF,0.004510584569605193,0.6871372928812159
2,sec_dx,CatBoost,5.332856994636381,0.9905244228667576
2,lspbnp_r,DeepHit (pycox),86.66825,0.6272496156838301
2,lsrhfcl,DeepSurv (pycox),85.40707,0.7193998363972968
2,hxrespun,LASSO,0.7137916729840529,0.4725489226130873
2,weight_txpl,RSF (ranger),25.922455859539326,0.7447008510277783
2,prim_dx,XGBoost-Cox,0.03712713222416977,0.747487902029833
3,lsbaosat,AORSF,0.002694235139411035,0.3248687403846857
3,chd_sv,CatBoost,3.1934911019493852,0.5183900415485476
3,txecmo,DeepHit (pycox),86.608955,0.6226796713740288
3,txbci,DeepSurv (pycox),85.14012,0.6920353365438823
3,hxtrach,LASSO,0.5562728928453037,0.3496291251914687
3,donisch,RSF (ranger),24.1538970667391,0.5827797249037676
3,durcarst,XGBoost-Cox,0.036695281335158585,0.7334352568607867
4,sec_dx,AORSF,0.002435184820116719,0.27320148812888806
4,ltg_r,CatBoost,2.7814484966794697,0.4274567976463006
4,txpbnp_r,DeepHit (pycox),86.424576,0.60846933724979
4,hxtrans,DeepSurv (pycox),84.573,0.6339010224143897
4,txecmo,LASSO,0.47365741150538426,0.2851601252331946
4,lbun_r,RSF (ranger),22.56836741376215,0.43761590679481605
4,lbun_r,XGBoost-Cox,0.03523768499952049,0.6860043388619276
5,slddpsc,AORSF,0.002431373929106729,0.2724414108293547
5,txecmo,CatBoost,2.752933447795128,0.4211638418647359
5,toxo,DeepHit (pycox),85.03713,0.5015370334660659
5,txsa_r,DeepSurv (pycox),82.81463,0.4536541012409605
5,chd_ps,LASSO,0.3911697074352628,0.22079083628147367
5,age_txpl,RSF (ranger),22.358314164078962,0.41838439531033933
5,txecmo,XGBoost-Cox,0.035076959733545146,0.6807742578549771
6,txecmo,AORSF,0.0020947100805888143,0.2052942402172225
6,txbun_r,CatBoost,2.4128131914122952,0.3461030645708566
6,lvldl_r,DeepHit (pycox),84.50868,0.46080869093272786
6,lhdl_r,DeepSurv (pycox),82.20013,0.3906629599788422
6,lsdobut,LASSO,0.37987472042410686,0.21197679192391733
6,txalt,RSF (ranger),21.48431979756836,0.33836548238103453
6,dhxnone,XGBoost-Cox,0.03343651199868086,0.6273932633427345
7,txbaosat,AORSF,0.0019105637288035749,0.16856648772654423
7,txvent,CatBoost,2.3034094789500346,0.3219588757372161
7,lhdl_r,DeepHit (pycox),84.48032,0.458622948110805
7,fracshor,DeepSurv (pycox),82.10882,0.3813029581747014
