feature,importance,Model,Cohort
txvldl_r,91.504684,DeepHit (pycox),Full Dataset
lspbnp_r,86.66825,DeepHit (pycox),Full Dataset
txecmo,86.608955,DeepHit (pycox),Full Dataset
txpbnp_r,86.424576,DeepHit (pycox),Full Dataset
toxo,85.03713,DeepHit (pycox),Full Dataset
lvldl_r,84.50868,DeepHit (pycox),Full Dataset
lhdl_r,84.48032,DeepHit (pycox),Full Dataset
don_dop,84.05557,DeepHit (pycox),Full Dataset
lsbco,81.31803,DeepHit (pycox),Full Dataset
donspac,80.971924,DeepHit (pycox),Full Dataset
hxpb,80.3593,DeepHit (pycox),Full Dataset
hxgiot,80.257545,DeepHit (pycox),Full Dataset
slecmo,80.17572,DeepHit (pycox),Full Dataset
dmhdiab,80.12608,DeepHit (pycox),Full Dataset
txbili_t_r,80.10319,DeepHit (pycox),Full Dataset
chd_lvotoas,80.00878,DeepHit (pycox),Full Dataset
chd_tof,79.699265,DeepHit (pycox),Full Dataset
lsbrp,79.4493,DeepHit (pycox),Full Dataset
rdopdose,79.44505,DeepHit (pycox),Full Dataset
txalt,79.42049,DeepHit (pycox),Full Dataset
txedp,79.112015,DeepHit (pycox),Full Dataset
rabotype,79.09981,DeepHit (pycox),Full Dataset
hlatxpre,78.799194,DeepHit (pycox),Full Dataset
lscstat,78.73725,DeepHit (pycox),Full Dataset
lssvcsat,78.52969,DeepHit (pycox),Full Dataset
don_t3,78.486534,DeepHit (pycox),Full Dataset
txldpt,78.21472,DeepHit (pycox),Full Dataset
hxple,78.153564,DeepHit (pycox),Full Dataset
dmhhyten,78.09451,DeepHit (pycox),Full Dataset
lpace,77.97569,DeepHit (pycox),Full Dataset
lcmvpcr,77.83476,DeepHit (pycox),Full Dataset
hxfail,77.79596,DeepHit (pycox),Full Dataset
txbnp,77.67254,DeepHit (pycox),Full Dataset
txcrp_r,77.075874,DeepHit (pycox),Full Dataset
hbcab,76.868614,DeepHit (pycox),Full Dataset
rdobdose,76.85632,DeepHit (pycox),Full Dataset
donspecp,76.62689,DeepHit (pycox),Full Dataset
chd_triat,76.498245,DeepHit (pycox),Full Dataset
lebvpcr,76.47455,DeepHit (pycox),Full Dataset
lsrhfcl,76.43582,DeepHit (pycox),Full Dataset
hbsab,76.04625,DeepHit (pycox),Full Dataset
chd_vsd,75.61384,DeepHit (pycox),Full Dataset
dmhothr,75.41991,DeepHit (pycox),Full Dataset
txchol_r,75.39015,DeepHit (pycox),Full Dataset
dmhinf,75.3778,DeepHit (pycox),Full Dataset
lsbci,75.26391,DeepHit (pycox),Full Dataset
chd_dilv,75.1856,DeepHit (pycox),Full Dataset
lsfcpra,75.0559,DeepHit (pycox),Full Dataset
chd_avsep,75.04057,DeepHit (pycox),Full Dataset
draboat,74.98228,DeepHit (pycox),Full Dataset
hxvtach,74.86185,DeepHit (pycox),Full Dataset
don_levo,74.756966,DeepHit (pycox),Full Dataset
chd_tga,74.74288,DeepHit (pycox),Full Dataset
aaschool,74.70458,DeepHit (pycox),Full Dataset
lpacebiv,74.6937,DeepHit (pycox),Full Dataset
cmv,74.41902,DeepHit (pycox),Full Dataset
hxaicd,74.32932,DeepHit (pycox),Full Dataset
esteject,74.22646,DeepHit (pycox),Full Dataset
lsbrs,74.17877,DeepHit (pycox),Full Dataset
chd_mstn,74.16958,DeepHit (pycox),Full Dataset
txcstat,73.95454,DeepHit (pycox),Full Dataset
txbci,73.91763,DeepHit (pycox),Full Dataset
ttndr,73.88137,DeepHit (pycox),Full Dataset
abseptmo,73.78514,DeepHit (pycox),Full Dataset
chd_hrh,73.23645,DeepHit (pycox),Full Dataset
dhxnone,73.025116,DeepHit (pycox),Full Dataset
txepine,72.876656,DeepHit (pycox),Full Dataset
don_dob,72.59217,DeepHit (pycox),Full Dataset
lschool,72.53733,DeepHit (pycox),Full Dataset
lbun_r,72.49453,DeepHit (pycox),Full Dataset
lbnp,72.492615,DeepHit (pycox),Full Dataset
lsalt,72.37635,DeepHit (pycox),Full Dataset
chd_ahih,72.17781,DeepHit (pycox),Full Dataset
hbsag,72.04161,DeepHit (pycox),Full Dataset
txsa_r,72.01822,DeepHit (pycox),Full Dataset
mitreg,71.84764,DeepHit (pycox),Full Dataset
txo2,71.80821,DeepHit (pycox),Full Dataset
txfontp,71.69796,DeepHit (pycox),Full Dataset
lsast,71.69349,DeepHit (pycox),Full Dataset
hxdysdia,71.6799,DeepHit (pycox),Full Dataset
hxtrans,71.65671,DeepHit (pycox),Full Dataset
chd_pa,71.48442,DeepHit (pycox),Full Dataset
donspxm,71.47608,DeepHit (pycox),Full Dataset
chd_anom,71.141556,DeepHit (pycox),Full Dataset
lsbram,71.10934,DeepHit (pycox),Full Dataset
txaboinc,71.011345,DeepHit (pycox),Full Dataset
hxmalig,70.99856,DeepHit (pycox),Full Dataset
dptxecho,70.96825,DeepHit (pycox),Full Dataset
don_nsyn,70.83874,DeepHit (pycox),Full Dataset
pcage,70.58729,DeepHit (pycox),Full Dataset
chd_mr,70.41482,DeepHit (pycox),Full Dataset
dcmv,70.374466,DeepHit (pycox),Full Dataset
fracshor,70.27439,DeepHit (pycox),Full Dataset
txldl_r,70.2178,DeepHit (pycox),Full Dataset
dcircod,70.20424,DeepHit (pycox),Full Dataset
hxprenat,70.187386,DeepHit (pycox),Full Dataset
don_t4,70.14954,DeepHit (pycox),Full Dataset
lsdcd,70.12891,DeepHit (pycox),Full Dataset
hxrenins,70.05033,DeepHit (pycox),Full Dataset
cprmin,69.75528,DeepHit (pycox),Full Dataset
txvent,69.75041,DeepHit (pycox),Full Dataset
txtg_r,69.7446,DeepHit (pycox),Full Dataset
