feature,importance,Model,Cohort
txpalb_r,88.14442,DeepSurv (pycox),Full Dataset
lsrhfcl,85.40707,DeepSurv (pycox),Full Dataset
txbci,85.14012,DeepSurv (pycox),Full Dataset
hxtrans,84.573,DeepSurv (pycox),Full Dataset
txsa_r,82.81463,DeepSurv (pycox),Full Dataset
lhdl_r,82.20013,DeepSurv (pycox),Full Dataset
fracshor,82.10882,DeepSurv (pycox),Full Dataset
txedp,81.206184,DeepSurv (pycox),Full Dataset
lsfprab,81.051605,DeepSurv (pycox),Full Dataset
lsfpres,81.04137,DeepSurv (pycox),Full Dataset
lspbnp_r,80.94431,DeepSurv (pycox),Full Dataset
lshemo,80.52944,DeepSurv (pycox),Full Dataset
rabotype,79.91601,DeepSurv (pycox),Full Dataset
lsbpcw,79.812996,DeepSurv (pycox),Full Dataset
lsttperf,79.75703,DeepSurv (pycox),Full Dataset
lvldl_r,79.745636,DeepSurv (pycox),Full Dataset
hxprenat,79.63847,DeepSurv (pycox),Full Dataset
tdsacl1,79.451805,DeepSurv (pycox),Full Dataset
hxaicd,79.24926,DeepSurv (pycox),Full Dataset
lsast,79.06624,DeepSurv (pycox),Full Dataset
dcircod,78.9012,DeepSurv (pycox),Full Dataset
dabotype,78.8034,DeepSurv (pycox),Full Dataset
esteject,78.5393,DeepSurv (pycox),Full Dataset
cmv,78.42914,DeepSurv (pycox),Full Dataset
hbsab,78.38908,DeepSurv (pycox),Full Dataset
draboat,77.83116,DeepSurv (pycox),Full Dataset
lsbpam,77.756355,DeepSurv (pycox),Full Dataset
hxrenins,77.61678,DeepSurv (pycox),Full Dataset
chd_tof,77.52465,DeepSurv (pycox),Full Dataset
don_dob,77.51797,DeepSurv (pycox),Full Dataset
lsfprat,77.352776,DeepSurv (pycox),Full Dataset
txbun_r,77.26142,DeepSurv (pycox),Full Dataset
don_levo,77.169106,DeepSurv (pycox),Full Dataset
lsmilrin,76.98213,DeepSurv (pycox),Full Dataset
donisch,76.873116,DeepSurv (pycox),Full Dataset
lbun_r,75.99508,DeepSurv (pycox),Full Dataset
lsnyha,75.966,DeepSurv (pycox),Full Dataset
hxchb,75.95467,DeepSurv (pycox),Full Dataset
slecmo,75.80767,DeepSurv (pycox),Full Dataset
status_txpl,75.54025,DeepSurv (pycox),Full Dataset
lsldpt,75.4656,DeepSurv (pycox),Full Dataset
rdopdose,75.35841,DeepSurv (pycox),Full Dataset
donspecp,75.34139,DeepSurv (pycox),Full Dataset
dhxunk,75.32969,DeepSurv (pycox),Full Dataset
txaboinc,75.16026,DeepSurv (pycox),Full Dataset
hxple,75.09253,DeepSurv (pycox),Full Dataset
txbili_d_r,74.62726,DeepSurv (pycox),Full Dataset
dtoxo,74.6043,DeepSurv (pycox),Full Dataset
txecmo,74.39721,DeepSurv (pycox),Full Dataset
lsbram,74.058174,DeepSurv (pycox),Full Dataset
lcmvpcr,73.70576,DeepSurv (pycox),Full Dataset
drhtype,73.4994,DeepSurv (pycox),Full Dataset
lpace,73.48392,DeepSurv (pycox),Full Dataset
don_t3,73.41794,DeepSurv (pycox),Full Dataset
lsdopa,73.40712,DeepSurv (pycox),Full Dataset
hxfail,73.26382,DeepSurv (pycox),Full Dataset
lchol_r,73.10115,DeepSurv (pycox),Full Dataset
chd_lvotoas,73.06058,DeepSurv (pycox),Full Dataset
txvent,72.93352,DeepSurv (pycox),Full Dataset
lsaboinc,72.91944,DeepSurv (pycox),Full Dataset
pcage,72.64244,DeepSurv (pycox),Full Dataset
durcarst,72.55482,DeepSurv (pycox),Full Dataset
don_vpr,72.46296,DeepSurv (pycox),Full Dataset
lsfcpra,72.200096,DeepSurv (pycox),Full Dataset
chd_avsep,72.108215,DeepSurv (pycox),Full Dataset
lssvcsat,72.010666,DeepSurv (pycox),Full Dataset
dmhothr,71.91633,DeepSurv (pycox),Full Dataset
lssab_r,71.80168,DeepSurv (pycox),Full Dataset
hxcpr,71.7957,DeepSurv (pycox),Full Dataset
don_epi,71.68388,DeepSurv (pycox),Full Dataset
chd_dilv,71.594284,DeepSurv (pycox),Full Dataset
don_t4,71.57569,DeepSurv (pycox),Full Dataset
txalt,71.546684,DeepSurv (pycox),Full Dataset
hxpb,71.54567,DeepSurv (pycox),Full Dataset
don_dop,71.504776,DeepSurv (pycox),Full Dataset
spschool,71.49872,DeepSurv (pycox),Full Dataset
rdobdose,71.426834,DeepSurv (pycox),Full Dataset
hxmalig,71.32142,DeepSurv (pycox),Full Dataset
txbnp,71.274704,DeepSurv (pycox),Full Dataset
don_nsyn,71.22115,DeepSurv (pycox),Full Dataset
lsbci,71.12439,DeepSurv (pycox),Full Dataset
txpbnp_r,71.0508,DeepSurv (pycox),Full Dataset
hxpuldis,71.04143,DeepSurv (pycox),Full Dataset
txinhosp,70.530136,DeepSurv (pycox),Full Dataset
txbili_t_r,70.39478,DeepSurv (pycox),Full Dataset
lldl_r,70.137566,DeepSurv (pycox),Full Dataset
txchol_r,70.13498,DeepSurv (pycox),Full Dataset
hxgi,70.11362,DeepSurv (pycox),Full Dataset
lscstat,70.03725,DeepSurv (pycox),Full Dataset
txfcpra,69.93031,DeepSurv (pycox),Full Dataset
aaschool,69.8956,DeepSurv (pycox),Full Dataset
prim_dx,69.82896,DeepSurv (pycox),Full Dataset
lcrp_r,69.55575,DeepSurv (pycox),Full Dataset
lsnox,69.21374,DeepSurv (pycox),Full Dataset
cpr,68.9293,DeepSurv (pycox),Full Dataset
donspac,68.69457,DeepSurv (pycox),Full Dataset
toxo,68.67075,DeepSurv (pycox),Full Dataset
hxvtach,68.627716,DeepSurv (pycox),Full Dataset
roprdsc1,68.58913,DeepSurv (pycox),Full Dataset
lschool,68.47562,DeepSurv (pycox),Full Dataset
ttndr,68.38057,DeepSurv (pycox),Full Dataset
lsbaosat,68.35454,DeepSurv (pycox),Full Dataset
txbpam,68.31242,DeepSurv (pycox),Full Dataset
txvad,68.30234,DeepSurv (pycox),Full Dataset
dmechod,68.16973,DeepSurv (pycox),Full Dataset
txldpt,68.08527,DeepSurv (pycox),Full Dataset
chd_sv,67.97051,DeepSurv (pycox),Full Dataset
lsbco,67.93272,DeepSurv (pycox),Full Dataset
dtime,67.91047,DeepSurv (pycox),Full Dataset
cprmin,67.878716,DeepSurv (pycox),Full Dataset
txtg_r,67.81917,DeepSurv (pycox),Full Dataset
ebv,67.466286,DeepSurv (pycox),Full Dataset
hxvfib,67.42794,DeepSurv (pycox),Full Dataset
chd_triat,67.3393,DeepSurv (pycox),Full Dataset
don_oth,67.189835,DeepSurv (pycox),Full Dataset
txdcd,67.022865,DeepSurv (pycox),Full Dataset
lsalt,66.634384,DeepSurv (pycox),Full Dataset
chd_tga,66.47232,DeepSurv (pycox),Full Dataset
lsdcd,66.395294,DeepSurv (pycox),Full Dataset
lsbili_t_r,66.281876,DeepSurv (pycox),Full Dataset
hxshock,66.27395,DeepSurv (pycox),Full Dataset
tdsa,66.23057,DeepSurv (pycox),Full Dataset
dmhdiab,66.19062,DeepSurv (pycox),Full Dataset
txbco,66.15556,DeepSurv (pycox),Full Dataset
hxsurg,66.14412,DeepSurv (pycox),Full Dataset
ltxtrach,65.89355,DeepSurv (pycox),Full Dataset
txfontp,65.79765,DeepSurv (pycox),Full Dataset
chd_vsd,65.73958,DeepSurv (pycox),Full Dataset
txivino,65.73432,DeepSurv (pycox),Full Dataset
txldl_r,65.68716,DeepSurv (pycox),Full Dataset
chd_hrh,65.678894,DeepSurv (pycox),Full Dataset
abseptmo,65.6486,DeepSurv (pycox),Full Dataset
lebvpcr,65.6249,DeepSurv (pycox),Full Dataset
lshpo2,65.554504,DeepSurv (pycox),Full Dataset
chd_patrd,65.48501,DeepSurv (pycox),Full Dataset
txcrp_r,65.48361,DeepSurv (pycox),Full Dataset
dmhhyten,65.439606,DeepSurv (pycox),Full Dataset
chd_tart,65.43031,DeepSurv (pycox),Full Dataset
txvldl_r,65.24232,DeepSurv (pycox),Full Dataset
dptxangi,65.091515,DeepSurv (pycox),Full Dataset
slvent,65.085495,DeepSurv (pycox),Full Dataset
tdsacomp,65.0686,DeepSurv (pycox),Full Dataset
hxfonlvr,65.01192,DeepSurv (pycox),Full Dataset
slivino,64.95925,DeepSurv (pycox),Full Dataset
txsvcsat,64.83302,DeepSurv (pycox),Full Dataset
hbcab,64.78508,DeepSurv (pycox),Full Dataset
hxaf_fl,64.75384,DeepSurv (pycox),Full Dataset
lpacebiv,64.708244,DeepSurv (pycox),Full Dataset
dmhinf,64.696075,DeepSurv (pycox),Full Dataset
